Stored fact information:
Course(ID1) => Min Interval: 3, Max Interval: 45
Course(ID4) => Min Interval: 20, Max Interval: 49
Course(ID15) => Min Interval: 1, Max Interval: 31
Course(ID17) => Min Interval: 0, Max Interval: 48
Course(ID21) => Min Interval: 1, Max Interval: 39
Course(ID35) => Min Interval: 3, Max Interval: 50
Course(ID37) => Min Interval: 6, Max Interval: 48
Course(ID40) => Min Interval: 6, Max Interval: 45
Course(ID55) => Min Interval: 10, Max Interval: 50
Course(ID62) => Min Interval: 0, Max Interval: 47
Course(ID66) => Min Interval: 2, Max Interval: 44
Course(ID68) => Min Interval: 6, Max Interval: 49
Course(ID73) => Min Interval: 8, Max Interval: 50
Course(ID74) => Min Interval: 2, Max Interval: 37
Course(ID83) => Min Interval: 3, Max Interval: 44
Course(ID101) => Min Interval: 2, Max Interval: 46
Course(ID103) => Min Interval: 0, Max Interval: 48
Course(ID105) => Min Interval: 2, Max Interval: 45
Course(ID107) => Min Interval: 2, Max Interval: 45
Course(ID118) => Min Interval: 2, Max Interval: 42
Course(ID124) => Min Interval: 1, Max Interval: 42
Course(ID134) => Min Interval: 4, Max Interval: 50
Course(ID136) => Min Interval: 0, Max Interval: 43
Course(ID139) => Min Interval: 13, Max Interval: 46
Course(ID146) => Min Interval: 0, Max Interval: 45
Course(ID171) => Min Interval: 0, Max Interval: 47
Course(ID181) => Min Interval: 5, Max Interval: 43
Course(ID183) => Min Interval: 1, Max Interval: 45
Course(ID191) => Min Interval: 13, Max Interval: 48
Course(ID192) => Min Interval: 14, Max Interval: 46
Course(ID195) => Min Interval: 3, Max Interval: 46
Course(ID197) => Min Interval: 2, Max Interval: 49
Course(ID202) => Min Interval: 1, Max Interval: 46
Course(ID206) => Min Interval: 8, Max Interval: 43
Course(ID210) => Min Interval: 6, Max Interval: 49
Course(ID223) => Min Interval: 6, Max Interval: 45
Course(ID230) => Min Interval: 5, Max Interval: 45
Course(ID239) => Min Interval: 3, Max Interval: 40
Course(ID246) => Min Interval: 4, Max Interval: 48
Course(ID248) => Min Interval: 12, Max Interval: 34
Course(ID252) => Min Interval: 7, Max Interval: 25
Course(ID255) => Min Interval: 5, Max Interval: 48
Course(ID260) => Min Interval: 9, Max Interval: 43
Course(ID264) => Min Interval: 7, Max Interval: 44
Course(ID268) => Min Interval: 2, Max Interval: 49
