Stored fact information:
LecturerCandidate(ID0) => Min Interval: 31, Max Interval: 40
LecturerCandidate(ID2) => Min Interval: 40, Max Interval: 42
LecturerCandidate(ID6) => Min Interval: 13, Max Interval: 49
LecturerCandidate(ID8) => Min Interval: 2, Max Interval: 36
LecturerCandidate(ID10) => Min Interval: 18, Max Interval: 48
LecturerCandidate(ID13) => Min Interval: 1, Max Interval: 49
LecturerCandidate(ID14) => Min Interval: 37, Max Interval: 47
LecturerCandidate(ID16) => Min Interval: 14, Max Interval: 23
LecturerCandidate(ID20) => Min Interval: 19, Max Interval: 28
LecturerCandidate(ID22) => Min Interval: 46, Max Interval: 46
LecturerCandidate(ID28) => Min Interval: 19, Max Interval: 48
LecturerCandidate(ID29) => Min Interval: 1, Max Interval: 44
LecturerCandidate(ID31) => Min Interval: 5, Max Interval: 45
LecturerCandidate(ID32) => Min Interval: 15, Max Interval: 23
LecturerCandidate(ID33) => Min Interval: 16, Max Interval: 50
LecturerCandidate(ID34) => Min Interval: 9, Max Interval: 46
LecturerCandidate(ID36) => Min Interval: 16, Max Interval: 41
LecturerCandidate(ID38) => Min Interval: 12, Max Interval: 35
LecturerCandidate(ID41) => Min Interval: 10, Max Interval: 42
LecturerCandidate(ID45) => Min Interval: 14, Max Interval: 42
LecturerCandidate(ID47) => Min Interval: 13, Max Interval: 45
LecturerCandidate(ID50) => Min Interval: 12, Max Interval: 50
LecturerCandidate(ID51) => Min Interval: 5, Max Interval: 39
LecturerCandidate(ID53) => Min Interval: 2, Max Interval: 48
LecturerCandidate(ID54) => Min Interval: 9, Max Interval: 45
LecturerCandidate(ID57) => Min Interval: 20, Max Interval: 41
LecturerCandidate(ID59) => Min Interval: 7, Max Interval: 43
LecturerCandidate(ID64) => Min Interval: 5, Max Interval: 48
LecturerCandidate(ID65) => Min Interval: 33, Max Interval: 46
LecturerCandidate(ID71) => Min Interval: 36, Max Interval: 47
LecturerCandidate(ID72) => Min Interval: 12, Max Interval: 12
LecturerCandidate(ID75) => Min Interval: 10, Max Interval: 48
LecturerCandidate(ID77) => Min Interval: 4, Max Interval: 32
LecturerCandidate(ID86) => Min Interval: 21, Max Interval: 50
LecturerCandidate(ID88) => Min Interval: 21, Max Interval: 41
LecturerCandidate(ID89) => Min Interval: 14, Max Interval: 41
LecturerCandidate(ID90) => Min Interval: 26, Max Interval: 39
LecturerCandidate(ID92) => Min Interval: 5, Max Interval: 28
LecturerCandidate(ID97) => Min Interval: 24, Max Interval: 52
LecturerCandidate(ID100) => Min Interval: 50, Max Interval: 50
LecturerCandidate(ID102) => Min Interval: 16, Max Interval: 18
LecturerCandidate(ID104) => Min Interval: 11, Max Interval: 38
LecturerCandidate(ID106) => Min Interval: 25, Max Interval: 25
LecturerCandidate(ID117) => Min Interval: 18, Max Interval: 48
LecturerCandidate(ID119) => Min Interval: 12, Max Interval: 21
LecturerCandidate(ID120) => Min Interval: 30, Max Interval: 39
LecturerCandidate(ID123) => Min Interval: 26, Max Interval: 47
LecturerCandidate(ID125) => Min Interval: 4, Max Interval: 48
LecturerCandidate(ID131) => Min Interval: 4, Max Interval: 47
LecturerCandidate(ID133) => Min Interval: 10, Max Interval: 50
LecturerCandidate(ID135) => Min Interval: 21, Max Interval: 40
LecturerCandidate(ID138) => Min Interval: 10, Max Interval: 48
LecturerCandidate(ID140) => Min Interval: 15, Max Interval: 37
LecturerCandidate(ID144) => Min Interval: 24, Max Interval: 41
LecturerCandidate(ID148) => Min Interval: 9, Max Interval: 35
LecturerCandidate(ID150) => Min Interval: 9, Max Interval: 47
LecturerCandidate(ID153) => Min Interval: 6, Max Interval: 51
LecturerCandidate(ID156) => Min Interval: 10, Max Interval: 33
LecturerCandidate(ID161) => Min Interval: 26, Max Interval: 42
LecturerCandidate(ID165) => Min Interval: 7, Max Interval: 28
LecturerCandidate(ID168) => Min Interval: 29, Max Interval: 35
LecturerCandidate(ID173) => Min Interval: 12, Max Interval: 47
