Stored fact information:
Organization(ID11) => Min Interval: 0, Max Interval: 50
Organization(ID31) => Min Interval: 6, Max Interval: 50
Organization(ID45) => Min Interval: 4, Max Interval: 31
Organization(ID68) => Min Interval: 12, Max Interval: 48
Organization(ID88) => Min Interval: 1, Max Interval: 43
Organization(ID91) => Min Interval: 7, Max Interval: 50
Organization(ID101) => Min Interval: 0, Max Interval: 34
Organization(ID105) => Min Interval: 0, Max Interval: 46
Organization(ID127) => Min Interval: 15, Max Interval: 40
Organization(ID144) => Min Interval: 1, Max Interval: 43
Organization(ID154) => Min Interval: 16, Max Interval: 49
Organization(ID158) => Min Interval: 24, Max Interval: 46
Organization(ID161) => Min Interval: 15, Max Interval: 48
Organization(ID177) => Min Interval: 2, Max Interval: 42
Organization(ID178) => Min Interval: 3, Max Interval: 49
Organization(ID180) => Min Interval: 1, Max Interval: 48
Organization(ID182) => Min Interval: 0, Max Interval: 50
Organization(ID196) => Min Interval: 2, Max Interval: 50
Organization(ID204) => Min Interval: 3, Max Interval: 41
Organization(ID208) => Min Interval: 6, Max Interval: 49
Organization(ID215) => Min Interval: 6, Max Interval: 35
Organization(ID224) => Min Interval: 0, Max Interval: 50
Organization(ID261) => Min Interval: 6, Max Interval: 48
Organization(ID282) => Min Interval: 9, Max Interval: 49
Organization(ID288) => Min Interval: 5, Max Interval: 50
Organization(ID301) => Min Interval: 9, Max Interval: 46
Organization(ID302) => Min Interval: 0, Max Interval: 37
Organization(ID314) => Min Interval: 1, Max Interval: 44
Organization(ID347) => Min Interval: 17, Max Interval: 48
Organization(ID360) => Min Interval: 6, Max Interval: 43
Organization(ID367) => Min Interval: 22, Max Interval: 50
Organization(ID379) => Min Interval: 14, Max Interval: 44
Organization(ID389) => Min Interval: 1, Max Interval: 45
Organization(ID397) => Min Interval: 0, Max Interval: 46
Organization(ID433) => Min Interval: 8, Max Interval: 49
Organization(ID439) => Min Interval: 4, Max Interval: 50
Organization(ID464) => Min Interval: 0, Max Interval: 44
Organization(ID476) => Min Interval: 6, Max Interval: 42
Organization(ID479) => Min Interval: 17, Max Interval: 50
Organization(ID482) => Min Interval: 1, Max Interval: 41
Organization(ID483) => Min Interval: 2, Max Interval: 50
Organization(ID486) => Min Interval: 1, Max Interval: 47
Organization(ID489) => Min Interval: 0, Max Interval: 36
Organization(ID493) => Min Interval: 15, Max Interval: 48
Organization(ID510) => Min Interval: 2, Max Interval: 49
Organization(ID517) => Min Interval: 2, Max Interval: 47
Organization(ID522) => Min Interval: 3, Max Interval: 45
Organization(ID528) => Min Interval: 8, Max Interval: 50
Organization(ID556) => Min Interval: 2, Max Interval: 49
Organization(ID559) => Min Interval: 1, Max Interval: 46
Organization(ID560) => Min Interval: 4, Max Interval: 48
Organization(ID582) => Min Interval: 4, Max Interval: 48
