Stored fact information:
Student(ID4) => Min Interval: 5, Max Interval: 50
Student(ID6) => Min Interval: 19, Max Interval: 49
Student(ID8) => Min Interval: 3, Max Interval: 46
Student(ID10) => Min Interval: 11, Max Interval: 44
Student(ID13) => Min Interval: 7, Max Interval: 43
Student(ID16) => Min Interval: 10, Max Interval: 36
Student(ID18) => Min Interval: 3, Max Interval: 48
Student(ID23) => Min Interval: 4, Max Interval: 38
Student(ID25) => Min Interval: 18, Max Interval: 45
Student(ID27) => Min Interval: 1, Max Interval: 40
Student(ID32) => Min Interval: 4, Max Interval: 37
Student(ID35) => Min Interval: 7, Max Interval: 45
Student(ID37) => Min Interval: 5, Max Interval: 42
Student(ID39) => Min Interval: 2, Max Interval: 42
Student(ID40) => Min Interval: 18, Max Interval: 48
Student(ID42) => Min Interval: 10, Max Interval: 41
Student(ID44) => Min Interval: 2, Max Interval: 44
Student(ID47) => Min Interval: 5, Max Interval: 49
Student(ID49) => Min Interval: 4, Max Interval: 49
Student(ID52) => Min Interval: 6, Max Interval: 48
Student(ID60) => Min Interval: 8, Max Interval: 44
Student(ID62) => Min Interval: 2, Max Interval: 43
Student(ID64) => Min Interval: 1, Max Interval: 49
Student(ID69) => Min Interval: 5, Max Interval: 45
Student(ID75) => Min Interval: 5, Max Interval: 42
Student(ID77) => Min Interval: 4, Max Interval: 46
Student(ID79) => Min Interval: 11, Max Interval: 37
Student(ID87) => Min Interval: 5, Max Interval: 46
Student(ID90) => Min Interval: 4, Max Interval: 49
Student(ID92) => Min Interval: 4, Max Interval: 49
Student(ID106) => Min Interval: 6, Max Interval: 48
Student(ID108) => Min Interval: 2, Max Interval: 29
Student(ID114) => Min Interval: 6, Max Interval: 48
Student(ID119) => Min Interval: 20, Max Interval: 36
Student(ID121) => Min Interval: 6, Max Interval: 39
Student(ID123) => Min Interval: 4, Max Interval: 48
Student(ID126) => Min Interval: 9, Max Interval: 49
Student(ID128) => Min Interval: 10, Max Interval: 41
Student(ID130) => Min Interval: 3, Max Interval: 46
Student(ID132) => Min Interval: 9, Max Interval: 48
Student(ID133) => Min Interval: 13, Max Interval: 42
Student(ID137) => Min Interval: 10, Max Interval: 48
Student(ID142) => Min Interval: 4, Max Interval: 46
Student(ID147) => Min Interval: 2, Max Interval: 37
Student(ID152) => Min Interval: 3, Max Interval: 48
Student(ID155) => Min Interval: 8, Max Interval: 45
Student(ID156) => Min Interval: 5, Max Interval: 47
Student(ID160) => Min Interval: 6, Max Interval: 46
Student(ID163) => Min Interval: 6, Max Interval: 44
Student(ID165) => Min Interval: 14, Max Interval: 46
Student(ID166) => Min Interval: 2, Max Interval: 49
Student(ID168) => Min Interval: 0, Max Interval: 49
Student(ID170) => Min Interval: 5, Max Interval: 49
Student(ID171) => Min Interval: 0, Max Interval: 42
Student(ID173) => Min Interval: 4, Max Interval: 44
Student(ID179) => Min Interval: 8, Max Interval: 44
Student(ID184) => Min Interval: 5, Max Interval: 43
