Stored fact information:
Faculty(ID0) => Min Interval: 0, Max Interval: 99
Faculty(ID3) => Min Interval: 1, Max Interval: 99
Faculty(ID4) => Min Interval: 16, Max Interval: 51
Faculty(ID8) => Min Interval: 21, Max Interval: 53
Faculty(ID10) => Min Interval: 38, Max Interval: 39
Faculty(ID13) => Min Interval: 15, Max Interval: 36
Faculty(ID16) => Min Interval: 22, Max Interval: 33
Faculty(ID18) => Min Interval: 11, Max Interval: 49
Faculty(ID20) => Min Interval: 1, Max Interval: 99
Faculty(ID23) => Min Interval: 44, Max Interval: 45
Faculty(ID25) => Min Interval: 35, Max Interval: 45
Faculty(ID27) => Min Interval: 9, Max Interval: 36
Faculty(ID30) => Min Interval: 3, Max Interval: 99
Faculty(ID32) => Min Interval: 8, Max Interval: 49
Faculty(ID35) => Min Interval: 24, Max Interval: 38
Faculty(ID37) => Min Interval: 22, Max Interval: 36
Faculty(ID39) => Min Interval: 15, Max Interval: 30
Faculty(ID40) => Min Interval: 2, Max Interval: 53
Faculty(ID42) => Min Interval: 32, Max Interval: 42
Faculty(ID44) => Min Interval: 4, Max Interval: 44
Faculty(ID47) => Min Interval: 8, Max Interval: 50
Faculty(ID49) => Min Interval: 36, Max Interval: 49
Faculty(ID52) => Min Interval: 14, Max Interval: 43
Faculty(ID58) => Min Interval: 0, Max Interval: 99
Faculty(ID60) => Min Interval: 16, Max Interval: 45
Faculty(ID61) => Min Interval: 0, Max Interval: 99
Faculty(ID62) => Min Interval: 17, Max Interval: 44
Faculty(ID64) => Min Interval: 9, Max Interval: 50
Faculty(ID66) => Min Interval: 2, Max Interval: 99
Faculty(ID75) => Min Interval: 13, Max Interval: 43
Faculty(ID77) => Min Interval: 12, Max Interval: 35
Faculty(ID79) => Min Interval: 23, Max Interval: 37
Faculty(ID84) => Min Interval: 0, Max Interval: 99
Faculty(ID87) => Min Interval: 28, Max Interval: 54
Faculty(ID90) => Min Interval: 2, Max Interval: 43
Faculty(ID92) => Min Interval: 0, Max Interval: 44
Faculty(ID96) => Min Interval: 0, Max Interval: 99
Faculty(ID100) => Min Interval: 1, Max Interval: 99
Faculty(ID103) => Min Interval: 0, Max Interval: 99
Faculty(ID106) => Min Interval: 15, Max Interval: 33
Faculty(ID107) => Min Interval: 0, Max Interval: 99
Faculty(ID108) => Min Interval: 5, Max Interval: 49
Faculty(ID109) => Min Interval: 1, Max Interval: 99
Faculty(ID111) => Min Interval: 0, Max Interval: 99
Faculty(ID113) => Min Interval: 1, Max Interval: 99
Faculty(ID114) => Min Interval: 14, Max Interval: 49
Faculty(ID119) => Min Interval: 2, Max Interval: 52
Faculty(ID121) => Min Interval: 18, Max Interval: 40
Faculty(ID123) => Min Interval: 12, Max Interval: 44
Faculty(ID128) => Min Interval: 18, Max Interval: 36
Faculty(ID130) => Min Interval: 28, Max Interval: 47
Faculty(ID132) => Min Interval: 4, Max Interval: 52
Faculty(ID133) => Min Interval: 24, Max Interval: 42
Faculty(ID139) => Min Interval: 4, Max Interval: 99
Faculty(ID141) => Min Interval: 2, Max Interval: 99
Faculty(ID142) => Min Interval: 6, Max Interval: 53
Faculty(ID143) => Min Interval: 0, Max Interval: 99
Faculty(ID152) => Min Interval: 11, Max Interval: 26
Faculty(ID155) => Min Interval: 1, Max Interval: 54
Faculty(ID156) => Min Interval: 10, Max Interval: 53
Faculty(ID159) => Min Interval: 2, Max Interval: 99
Faculty(ID160) => Min Interval: 14, Max Interval: 38
Faculty(ID163) => Min Interval: 2, Max Interval: 38
Faculty(ID165) => Min Interval: 5, Max Interval: 53
Faculty(ID168) => Min Interval: 8, Max Interval: 50
Faculty(ID170) => Min Interval: 24, Max Interval: 50
Faculty(ID171) => Min Interval: 8, Max Interval: 30
Faculty(ID173) => Min Interval: 4, Max Interval: 47
Faculty(ID179) => Min Interval: 32, Max Interval: 44
Faculty(ID184) => Min Interval: 11, Max Interval: 38
Faculty(ID185) => Min Interval: 0, Max Interval: 99
Faculty(ID190) => Min Interval: 18, Max Interval: 39
Faculty(ID192) => Min Interval: 13, Max Interval: 51
Faculty(ID193) => Min Interval: 9, Max Interval: 48
Faculty(ID195) => Min Interval: 2, Max Interval: 49
Faculty(ID197) => Min Interval: 8, Max Interval: 38
Faculty(ID198) => Min Interval: 9, Max Interval: 50
Faculty(ID200) => Min Interval: 12, Max Interval: 54
Faculty(ID202) => Min Interval: 0, Max Interval: 99
Faculty(ID203) => Min Interval: 4, Max Interval: 99
Faculty(ID207) => Min Interval: 0, Max Interval: 43
Faculty(ID209) => Min Interval: 1, Max Interval: 41
Faculty(ID210) => Min Interval: 8, Max Interval: 51
Faculty(ID214) => Min Interval: 1, Max Interval: 99
Faculty(ID217) => Min Interval: 17, Max Interval: 26
Faculty(ID219) => Min Interval: 12, Max Interval: 49
Faculty(ID221) => Min Interval: 19, Max Interval: 40
Faculty(ID227) => Min Interval: 11, Max Interval: 28
Faculty(ID229) => Min Interval: 14, Max Interval: 44
Faculty(ID231) => Min Interval: 1, Max Interval: 38
Faculty(ID233) => Min Interval: 6, Max Interval: 52
Faculty(ID234) => Min Interval: 18, Max Interval: 39
Faculty(ID236) => Min Interval: 35, Max Interval: 44
Faculty(ID238) => Min Interval: 44, Max Interval: 45
Faculty(ID239) => Min Interval: 15, Max Interval: 50
Faculty(ID240) => Min Interval: 15, Max Interval: 24
Faculty(ID241) => Min Interval: 11, Max Interval: 35
Faculty(ID243) => Min Interval: 8, Max Interval: 51
Faculty(ID244) => Min Interval: 33, Max Interval: 51
Faculty(ID246) => Min Interval: 26, Max Interval: 44
Faculty(ID256) => Min Interval: 4, Max Interval: 29
Faculty(ID259) => Min Interval: 0, Max Interval: 49
Faculty(ID263) => Min Interval: 3, Max Interval: 53
Faculty(ID265) => Min Interval: 4, Max Interval: 99
Faculty(ID266) => Min Interval: 11, Max Interval: 31
Faculty(ID270) => Min Interval: 9, Max Interval: 25
Faculty(ID271) => Min Interval: 19, Max Interval: 28
Faculty(ID277) => Min Interval: 12, Max Interval: 43
Faculty(ID278) => Min Interval: 15, Max Interval: 43
Faculty(ID279) => Min Interval: 18, Max Interval: 52
Faculty(ID289) => Min Interval: 9, Max Interval: 33
Faculty(ID292) => Min Interval: 8, Max Interval: 44
Faculty(ID293) => Min Interval: 19, Max Interval: 51
Faculty(ID295) => Min Interval: 21, Max Interval: 49
Faculty(ID297) => Min Interval: 9, Max Interval: 51
Faculty(ID299) => Min Interval: 8, Max Interval: 40
Faculty(ID303) => Min Interval: 15, Max Interval: 50
Faculty(ID305) => Min Interval: 6, Max Interval: 43
Faculty(ID308) => Min Interval: 0, Max Interval: 99
Faculty(ID309) => Min Interval: 18, Max Interval: 51
Faculty(ID311) => Min Interval: 3, Max Interval: 49
Faculty(ID312) => Min Interval: 32, Max Interval: 42
Faculty(ID315) => Min Interval: 14, Max Interval: 31
Faculty(ID316) => Min Interval: 8, Max Interval: 24
Faculty(ID318) => Min Interval: 25, Max Interval: 50
Faculty(ID319) => Min Interval: 31, Max Interval: 48
Faculty(ID320) => Min Interval: 14, Max Interval: 52
Faculty(ID321) => Min Interval: 3, Max Interval: 47
Faculty(ID323) => Min Interval: 1, Max Interval: 99
Faculty(ID326) => Min Interval: 3, Max Interval: 33
Faculty(ID327) => Min Interval: 0, Max Interval: 99
Faculty(ID328) => Min Interval: 23, Max Interval: 51
Faculty(ID330) => Min Interval: 11, Max Interval: 53
Faculty(ID331) => Min Interval: 34, Max Interval: 51
Faculty(ID332) => Min Interval: 40, Max Interval: 51
Faculty(ID335) => Min Interval: 10, Max Interval: 21
Faculty(ID338) => Min Interval: 3, Max Interval: 44
Faculty(ID340) => Min Interval: 6, Max Interval: 54
Faculty(ID344) => Min Interval: 23, Max Interval: 36
Faculty(ID350) => Min Interval: 19, Max Interval: 30
Faculty(ID351) => Min Interval: 19, Max Interval: 49
Faculty(ID353) => Min Interval: 10, Max Interval: 33
Faculty(ID356) => Min Interval: 2, Max Interval: 53
Faculty(ID358) => Min Interval: 3, Max Interval: 47
Faculty(ID361) => Min Interval: 12, Max Interval: 29
Faculty(ID363) => Min Interval: 10, Max Interval: 52
Faculty(ID364) => Min Interval: 20, Max Interval: 42
Faculty(ID366) => Min Interval: 18, Max Interval: 41
Faculty(ID369) => Min Interval: 8, Max Interval: 43
Faculty(ID371) => Min Interval: 7, Max Interval: 53
Faculty(ID372) => Min Interval: 18, Max Interval: 50
Faculty(ID374) => Min Interval: 25, Max Interval: 53
Faculty(ID376) => Min Interval: 23, Max Interval: 43
Faculty(ID380) => Min Interval: 34, Max Interval: 46
Faculty(ID383) => Min Interval: 5, Max Interval: 21
Faculty(ID384) => Min Interval: 27, Max Interval: 41
Faculty(ID388) => Min Interval: 21, Max Interval: 44
Faculty(ID390) => Min Interval: 3, Max Interval: 52
Faculty(ID392) => Min Interval: 3, Max Interval: 52
Faculty(ID393) => Min Interval: 17, Max Interval: 48
Faculty(ID396) => Min Interval: 14, Max Interval: 49
Faculty(ID400) => Min Interval: 11, Max Interval: 12
Faculty(ID404) => Min Interval: 9, Max Interval: 44
Faculty(ID405) => Min Interval: 36, Max Interval: 37
Faculty(ID412) => Min Interval: 19, Max Interval: 38
Faculty(ID413) => Min Interval: 11, Max Interval: 44
Faculty(ID414) => Min Interval: 1, Max Interval: 99
Faculty(ID415) => Min Interval: 23, Max Interval: 38
Faculty(ID418) => Min Interval: 19, Max Interval: 44
Faculty(ID419) => Min Interval: 40, Max Interval: 41
Faculty(ID420) => Min Interval: 9, Max Interval: 34
Faculty(ID421) => Min Interval: 15, Max Interval: 49
Faculty(ID423) => Min Interval: 39, Max Interval: 49
Faculty(ID429) => Min Interval: 10, Max Interval: 10
Faculty(ID431) => Min Interval: 11, Max Interval: 47
Faculty(ID432) => Min Interval: 18, Max Interval: 32
Faculty(ID434) => Min Interval: 9, Max Interval: 43
Faculty(ID435) => Min Interval: 0, Max Interval: 99
Faculty(ID437) => Min Interval: 12, Max Interval: 33
Faculty(ID438) => Min Interval: 7, Max Interval: 53
Faculty(ID443) => Min Interval: 3, Max Interval: 53
Faculty(ID444) => Min Interval: 36, Max Interval: 52
Faculty(ID446) => Min Interval: 13, Max Interval: 24
Faculty(ID449) => Min Interval: 10, Max Interval: 42
Faculty(ID453) => Min Interval: 17, Max Interval: 51
Faculty(ID454) => Min Interval: 15, Max Interval: 49
Faculty(ID455) => Min Interval: 9, Max Interval: 30
Faculty(ID456) => Min Interval: 11, Max Interval: 49
Faculty(ID458) => Min Interval: 7, Max Interval: 55
Faculty(ID460) => Min Interval: 20, Max Interval: 35
Faculty(ID463) => Min Interval: 1, Max Interval: 53
Faculty(ID465) => Min Interval: 3, Max Interval: 43
Faculty(ID469) => Min Interval: 9, Max Interval: 54
Faculty(ID472) => Min Interval: 28, Max Interval: 53
Faculty(ID473) => Min Interval: 24, Max Interval: 38
Faculty(ID475) => Min Interval: 7, Max Interval: 46
Faculty(ID477) => Min Interval: 8, Max Interval: 51
Faculty(ID478) => Min Interval: 6, Max Interval: 14
Faculty(ID480) => Min Interval: 14, Max Interval: 24
Faculty(ID481) => Min Interval: 8, Max Interval: 47
Faculty(ID487) => Min Interval: 19, Max Interval: 20
Faculty(ID492) => Min Interval: 1, Max Interval: 99
Faculty(ID496) => Min Interval: 3, Max Interval: 53
Faculty(ID499) => Min Interval: 7, Max Interval: 50
Faculty(ID501) => Min Interval: 13, Max Interval: 51
Faculty(ID503) => Min Interval: 0, Max Interval: 53
Faculty(ID508) => Min Interval: 9, Max Interval: 31
Faculty(ID509) => Min Interval: 3, Max Interval: 52
