Stored fact information:
Publication(ID2) => Min Interval: 17, Max Interval: 43
Publication(ID12) => Min Interval: 3, Max Interval: 47
Publication(ID15) => Min Interval: 2, Max Interval: 50
Publication(ID21) => Min Interval: 5, Max Interval: 34
Publication(ID28) => Min Interval: 5, Max Interval: 44
Publication(ID34) => Min Interval: 14, Max Interval: 50
Publication(ID46) => Min Interval: 1, Max Interval: 48
Publication(ID51) => Min Interval: 2, Max Interval: 50
Publication(ID55) => Min Interval: 4, Max Interval: 48
Publication(ID56) => Min Interval: 1, Max Interval: 45
Publication(ID57) => Min Interval: 2, Max Interval: 50
Publication(ID63) => Min Interval: 4, Max Interval: 45
Publication(ID73) => Min Interval: 0, Max Interval: 49
Publication(ID74) => Min Interval: 12, Max Interval: 50
Publication(ID80) => Min Interval: 0, Max Interval: 46
Publication(ID82) => Min Interval: 7, Max Interval: 41
Publication(ID83) => Min Interval: 13, Max Interval: 46
Publication(ID86) => Min Interval: 1, Max Interval: 45
Publication(ID89) => Min Interval: 0, Max Interval: 43
Publication(ID94) => Min Interval: 4, Max Interval: 50
Publication(ID95) => Min Interval: 1, Max Interval: 48
Publication(ID97) => Min Interval: 1, Max Interval: 47
Publication(ID102) => Min Interval: 1, Max Interval: 46
Publication(ID110) => Min Interval: 2, Max Interval: 38
Publication(ID112) => Min Interval: 9, Max Interval: 49
Publication(ID116) => Min Interval: 3, Max Interval: 49
Publication(ID117) => Min Interval: 4, Max Interval: 49
Publication(ID120) => Min Interval: 0, Max Interval: 45
Publication(ID122) => Min Interval: 0, Max Interval: 43
Publication(ID125) => Min Interval: 5, Max Interval: 50
Publication(ID135) => Min Interval: 2, Max Interval: 36
Publication(ID140) => Min Interval: 0, Max Interval: 49
Publication(ID145) => Min Interval: 1, Max Interval: 43
Publication(ID146) => Min Interval: 5, Max Interval: 49
Publication(ID153) => Min Interval: 6, Max Interval: 50
Publication(ID162) => Min Interval: 2, Max Interval: 47
Publication(ID164) => Min Interval: 16, Max Interval: 49
Publication(ID175) => Min Interval: 0, Max Interval: 50
Publication(ID181) => Min Interval: 0, Max Interval: 45
Publication(ID183) => Min Interval: 0, Max Interval: 49
Publication(ID186) => Min Interval: 4, Max Interval: 45
Publication(ID201) => Min Interval: 3, Max Interval: 48
Publication(ID205) => Min Interval: 15, Max Interval: 45
Publication(ID206) => Min Interval: 0, Max Interval: 45
Publication(ID211) => Min Interval: 10, Max Interval: 45
Publication(ID213) => Min Interval: 13, Max Interval: 46
Publication(ID216) => Min Interval: 0, Max Interval: 48
Publication(ID220) => Min Interval: 0, Max Interval: 38
Publication(ID222) => Min Interval: 10, Max Interval: 50
Publication(ID223) => Min Interval: 0, Max Interval: 37
Publication(ID225) => Min Interval: 0, Max Interval: 49
Publication(ID226) => Min Interval: 3, Max Interval: 29
Publication(ID228) => Min Interval: 7, Max Interval: 49
Publication(ID230) => Min Interval: 10, Max Interval: 50
Publication(ID232) => Min Interval: 4, Max Interval: 43
Publication(ID248) => Min Interval: 0, Max Interval: 46
Publication(ID251) => Min Interval: 4, Max Interval: 50
Publication(ID253) => Min Interval: 3, Max Interval: 43
Publication(ID254) => Min Interval: 1, Max Interval: 46
Publication(ID255) => Min Interval: 1, Max Interval: 49
Publication(ID257) => Min Interval: 5, Max Interval: 50
Publication(ID264) => Min Interval: 0, Max Interval: 49
Publication(ID273) => Min Interval: 5, Max Interval: 35
Publication(ID274) => Min Interval: 6, Max Interval: 46
Publication(ID275) => Min Interval: 3, Max Interval: 42
Publication(ID276) => Min Interval: 11, Max Interval: 46
Publication(ID280) => Min Interval: 2, Max Interval: 41
Publication(ID286) => Min Interval: 6, Max Interval: 50
Publication(ID290) => Min Interval: 4, Max Interval: 49
Publication(ID291) => Min Interval: 4, Max Interval: 50
Publication(ID298) => Min Interval: 0, Max Interval: 49
Publication(ID307) => Min Interval: 13, Max Interval: 28
Publication(ID313) => Min Interval: 16, Max Interval: 43
Publication(ID322) => Min Interval: 0, Max Interval: 48
Publication(ID325) => Min Interval: 15, Max Interval: 48
Publication(ID329) => Min Interval: 3, Max Interval: 49
Publication(ID333) => Min Interval: 0, Max Interval: 43
Publication(ID336) => Min Interval: 3, Max Interval: 44
Publication(ID337) => Min Interval: 1, Max Interval: 50
Publication(ID341) => Min Interval: 16, Max Interval: 45
Publication(ID343) => Min Interval: 3, Max Interval: 49
Publication(ID346) => Min Interval: 0, Max Interval: 50
Publication(ID348) => Min Interval: 6, Max Interval: 50
Publication(ID349) => Min Interval: 0, Max Interval: 45
Publication(ID352) => Min Interval: 5, Max Interval: 50
Publication(ID355) => Min Interval: 5, Max Interval: 46
Publication(ID362) => Min Interval: 10, Max Interval: 41
Publication(ID365) => Min Interval: 3, Max Interval: 50
Publication(ID370) => Min Interval: 18, Max Interval: 48
Publication(ID373) => Min Interval: 1, Max Interval: 43
Publication(ID375) => Min Interval: 10, Max Interval: 47
Publication(ID378) => Min Interval: 2, Max Interval: 49
Publication(ID386) => Min Interval: 0, Max Interval: 41
Publication(ID387) => Min Interval: 4, Max Interval: 49
Publication(ID395) => Min Interval: 0, Max Interval: 38
Publication(ID398) => Min Interval: 2, Max Interval: 34
Publication(ID399) => Min Interval: 16, Max Interval: 50
Publication(ID402) => Min Interval: 2, Max Interval: 49
Publication(ID403) => Min Interval: 0, Max Interval: 49
Publication(ID408) => Min Interval: 1, Max Interval: 45
Publication(ID409) => Min Interval: 2, Max Interval: 47
Publication(ID410) => Min Interval: 0, Max Interval: 49
Publication(ID411) => Min Interval: 3, Max Interval: 49
Publication(ID422) => Min Interval: 0, Max Interval: 42
