Stored fact information:
FullProfessorCandidate(ID0) => Min Interval: 15, Max Interval: 39
FullProfessorCandidate(ID3) => Min Interval: 8, Max Interval: 49
FullProfessorCandidate(ID8) => Min Interval: 26, Max Interval: 50
FullProfessorCandidate(ID20) => Min Interval: 15, Max Interval: 52
FullProfessorCandidate(ID32) => Min Interval: 13, Max Interval: 50
FullProfessorCandidate(ID40) => Min Interval: 7, Max Interval: 51
FullProfessorCandidate(ID44) => Min Interval: 9, Max Interval: 42
FullProfessorCandidate(ID52) => Min Interval: 19, Max Interval: 44
FullProfessorCandidate(ID58) => Min Interval: 10, Max Interval: 39
FullProfessorCandidate(ID61) => Min Interval: 3, Max Interval: 48
FullProfessorCandidate(ID87) => Min Interval: 33, Max Interval: 52
FullProfessorCandidate(ID90) => Min Interval: 7, Max Interval: 44
FullProfessorCandidate(ID92) => Min Interval: 5, Max Interval: 45
FullProfessorCandidate(ID100) => Min Interval: 22, Max Interval: 32
FullProfessorCandidate(ID107) => Min Interval: 3, Max Interval: 38
FullProfessorCandidate(ID109) => Min Interval: 6, Max Interval: 44
FullProfessorCandidate(ID111) => Min Interval: 5, Max Interval: 39
FullProfessorCandidate(ID113) => Min Interval: 8, Max Interval: 47
FullProfessorCandidate(ID119) => Min Interval: 7, Max Interval: 50
FullProfessorCandidate(ID121) => Min Interval: 23, Max Interval: 41
FullProfessorCandidate(ID132) => Min Interval: 10, Max Interval: 50
FullProfessorCandidate(ID139) => Min Interval: 25, Max Interval: 50
FullProfessorCandidate(ID141) => Min Interval: 6, Max Interval: 27
FullProfessorCandidate(ID142) => Min Interval: 11, Max Interval: 51
FullProfessorCandidate(ID143) => Min Interval: 0, Max Interval: 52
FullProfessorCandidate(ID155) => Min Interval: 6, Max Interval: 52
FullProfessorCandidate(ID156) => Min Interval: 24, Max Interval: 51
FullProfessorCandidate(ID159) => Min Interval: 7, Max Interval: 42
FullProfessorCandidate(ID163) => Min Interval: 7, Max Interval: 39
