Stored fact information:
FullProfessor(ID7) => Min Interval: 10, Max Interval: 99
FullProfessor(ID11) => Min Interval: 11, Max Interval: 99
FullProfessor(ID26) => Min Interval: 10, Max Interval: 99
FullProfessor(ID42) => Min Interval: 26, Max Interval: 99
FullProfessor(ID43) => Min Interval: 16, Max Interval: 99
FullProfessor(ID58) => Min Interval: 14, Max Interval: 99
FullProfessor(ID82) => Min Interval: 8, Max Interval: 99
FullProfessor(ID93) => Min Interval: 1, Max Interval: 99
FullProfessor(ID96) => Min Interval: 11, Max Interval: 99
FullProfessor(ID109) => Min Interval: 8, Max Interval: 99
FullProfessor(ID111) => Min Interval: 6, Max Interval: 99
FullProfessor(ID114) => Min Interval: 44, Max Interval: 99
FullProfessor(ID115) => Min Interval: 10, Max Interval: 99
FullProfessor(ID128) => Min Interval: 20, Max Interval: 99
FullProfessor(ID152) => Min Interval: 37, Max Interval: 99
FullProfessor(ID154) => Min Interval: 13, Max Interval: 99
FullProfessor(ID170) => Min Interval: 7, Max Interval: 99
FullProfessor(ID178) => Min Interval: 7, Max Interval: 99
FullProfessor(ID188) => Min Interval: 18, Max Interval: 99
FullProfessor(ID204) => Min Interval: 7, Max Interval: 99
FullProfessor(ID213) => Min Interval: 21, Max Interval: 99
FullProfessor(ID215) => Min Interval: 18, Max Interval: 99
FullProfessor(ID226) => Min Interval: 8, Max Interval: 99
FullProfessor(ID235) => Min Interval: 10, Max Interval: 99
FullProfessor(ID270) => Min Interval: 14, Max Interval: 99
FullProfessor(ID291) => Min Interval: 7, Max Interval: 99
FullProfessor(ID320) => Min Interval: 6, Max Interval: 99
FullProfessor(ID331) => Min Interval: 21, Max Interval: 99
FullProfessor(ID371) => Min Interval: 20, Max Interval: 99
FullProfessor(ID380) => Min Interval: 7, Max Interval: 99
FullProfessor(ID482) => Min Interval: 10, Max Interval: 99
FullProfessor(ID505) => Min Interval: 11, Max Interval: 99
FullProfessor(ID518) => Min Interval: 17, Max Interval: 99
FullProfessor(ID640) => Min Interval: 15, Max Interval: 99
FullProfessor(ID647) => Min Interval: 21, Max Interval: 99
FullProfessor(ID832) => Min Interval: 12, Max Interval: 99
FullProfessor(ID1355) => Min Interval: 22, Max Interval: 99
FullProfessor(ID1869) => Min Interval: 15, Max Interval: 99
FullProfessor(ID1886) => Min Interval: 32, Max Interval: 99
FullProfessor(ID1889) => Min Interval: 8, Max Interval: 99
FullProfessor(ID1891) => Min Interval: 16, Max Interval: 99
FullProfessor(ID1903) => Min Interval: 15, Max Interval: 99
FullProfessor(ID1905) => Min Interval: 3, Max Interval: 99
FullProfessor(ID1950) => Min Interval: 7, Max Interval: 99
FullProfessor(ID1962) => Min Interval: 18, Max Interval: 99
FullProfessor(ID1964) => Min Interval: 9, Max Interval: 99
FullProfessor(ID1982) => Min Interval: 7, Max Interval: 99
FullProfessor(ID1986) => Min Interval: 6, Max Interval: 99
FullProfessor(ID1990) => Min Interval: 13, Max Interval: 99
FullProfessor(ID1992) => Min Interval: 4, Max Interval: 99
FullProfessor(ID1996) => Min Interval: 8, Max Interval: 99
FullProfessor(ID2005) => Min Interval: 23, Max Interval: 99
FullProfessor(ID2030) => Min Interval: 23, Max Interval: 99
FullProfessor(ID2033) => Min Interval: 12, Max Interval: 99
FullProfessor(ID2036) => Min Interval: 6, Max Interval: 99
FullProfessor(ID2039) => Min Interval: 2, Max Interval: 99
FullProfessor(ID2068) => Min Interval: 10, Max Interval: 99
FullProfessor(ID2070) => Min Interval: 14, Max Interval: 99
