Stored fact information:
AssociateProfessor(ID0) => Min Interval: 13, Max Interval: 38
AssociateProfessor(ID3) => Min Interval: 6, Max Interval: 48
AssociateProfessor(ID4) => Min Interval: 23, Max Interval: 51
AssociateProfessor(ID8) => Min Interval: 28, Max Interval: 53
AssociateProfessor(ID13) => Min Interval: 22, Max Interval: 36
AssociateProfessor(ID16) => Min Interval: 29, Max Interval: 33
AssociateProfessor(ID18) => Min Interval: 18, Max Interval: 49
AssociateProfessor(ID20) => Min Interval: 17, Max Interval: 53
AssociateProfessor(ID25) => Min Interval: 42, Max Interval: 45
AssociateProfessor(ID27) => Min Interval: 16, Max Interval: 36
AssociateProfessor(ID30) => Min Interval: 16, Max Interval: 43
AssociateProfessor(ID32) => Min Interval: 15, Max Interval: 49
AssociateProfessor(ID35) => Min Interval: 31, Max Interval: 38
AssociateProfessor(ID37) => Min Interval: 29, Max Interval: 36
AssociateProfessor(ID39) => Min Interval: 22, Max Interval: 30
AssociateProfessor(ID40) => Min Interval: 9, Max Interval: 53
AssociateProfessor(ID42) => Min Interval: 39, Max Interval: 42
AssociateProfessor(ID44) => Min Interval: 11, Max Interval: 44
AssociateProfessor(ID47) => Min Interval: 15, Max Interval: 50
AssociateProfessor(ID49) => Min Interval: 43, Max Interval: 49
AssociateProfessor(ID52) => Min Interval: 21, Max Interval: 43
AssociateProfessor(ID58) => Min Interval: 8, Max Interval: 38
AssociateProfessor(ID60) => Min Interval: 23, Max Interval: 45
AssociateProfessor(ID61) => Min Interval: 1, Max Interval: 47
AssociateProfessor(ID62) => Min Interval: 24, Max Interval: 44
AssociateProfessor(ID64) => Min Interval: 16, Max Interval: 50
AssociateProfessor(ID75) => Min Interval: 20, Max Interval: 43
AssociateProfessor(ID77) => Min Interval: 19, Max Interval: 35
AssociateProfessor(ID79) => Min Interval: 30, Max Interval: 37
AssociateProfessor(ID87) => Min Interval: 35, Max Interval: 54
AssociateProfessor(ID90) => Min Interval: 9, Max Interval: 43
AssociateProfessor(ID92) => Min Interval: 7, Max Interval: 44
AssociateProfessor(ID100) => Min Interval: 5, Max Interval: 56
AssociateProfessor(ID106) => Min Interval: 22, Max Interval: 33
AssociateProfessor(ID107) => Min Interval: 0, Max Interval: 37
AssociateProfessor(ID108) => Min Interval: 12, Max Interval: 49
AssociateProfessor(ID109) => Min Interval: 4, Max Interval: 43
AssociateProfessor(ID111) => Min Interval: 3, Max Interval: 38
AssociateProfessor(ID113) => Min Interval: 6, Max Interval: 46
AssociateProfessor(ID114) => Min Interval: 21, Max Interval: 49
