Stored fact information:
Employee(ID0) => Min Interval: 0, Max Interval: 99
Employee(ID3) => Min Interval: 1, Max Interval: 99
Employee(ID4) => Min Interval: 16, Max Interval: 51
Employee(ID8) => Min Interval: 21, Max Interval: 53
Employee(ID10) => Min Interval: 38, Max Interval: 39
Employee(ID13) => Min Interval: 15, Max Interval: 36
Employee(ID16) => Min Interval: 22, Max Interval: 33
Employee(ID18) => Min Interval: 11, Max Interval: 49
Employee(ID20) => Min Interval: 1, Max Interval: 99
Employee(ID23) => Min Interval: 44, Max Interval: 45
Employee(ID25) => Min Interval: 35, Max Interval: 45
Employee(ID27) => Min Interval: 9, Max Interval: 36
Employee(ID30) => Min Interval: 3, Max Interval: 99
Employee(ID32) => Min Interval: 8, Max Interval: 49
Employee(ID35) => Min Interval: 24, Max Interval: 38
Employee(ID37) => Min Interval: 22, Max Interval: 36
Employee(ID39) => Min Interval: 15, Max Interval: 30
Employee(ID40) => Min Interval: 2, Max Interval: 53
Employee(ID42) => Min Interval: 32, Max Interval: 42
Employee(ID44) => Min Interval: 4, Max Interval: 44
Employee(ID47) => Min Interval: 8, Max Interval: 50
Employee(ID49) => Min Interval: 36, Max Interval: 49
Employee(ID52) => Min Interval: 14, Max Interval: 43
Employee(ID58) => Min Interval: 0, Max Interval: 99
Employee(ID60) => Min Interval: 16, Max Interval: 45
Employee(ID61) => Min Interval: 0, Max Interval: 99
Employee(ID62) => Min Interval: 17, Max Interval: 44
Employee(ID64) => Min Interval: 9, Max Interval: 50
Employee(ID66) => Min Interval: 2, Max Interval: 99
Employee(ID75) => Min Interval: 13, Max Interval: 43
Employee(ID77) => Min Interval: 12, Max Interval: 35
Employee(ID79) => Min Interval: 23, Max Interval: 37
Employee(ID84) => Min Interval: 0, Max Interval: 99
Employee(ID87) => Min Interval: 28, Max Interval: 54
Employee(ID90) => Min Interval: 2, Max Interval: 43
Employee(ID92) => Min Interval: 0, Max Interval: 44
Employee(ID96) => Min Interval: 0, Max Interval: 99
Employee(ID100) => Min Interval: 1, Max Interval: 99
Employee(ID103) => Min Interval: 0, Max Interval: 99
Employee(ID106) => Min Interval: 15, Max Interval: 33
Employee(ID107) => Min Interval: 0, Max Interval: 99
Employee(ID108) => Min Interval: 5, Max Interval: 49
Employee(ID109) => Min Interval: 1, Max Interval: 99
Employee(ID111) => Min Interval: 0, Max Interval: 99
Employee(ID113) => Min Interval: 1, Max Interval: 99
Employee(ID114) => Min Interval: 14, Max Interval: 49
Employee(ID119) => Min Interval: 2, Max Interval: 52
Employee(ID121) => Min Interval: 18, Max Interval: 40
Employee(ID123) => Min Interval: 12, Max Interval: 44
Employee(ID128) => Min Interval: 18, Max Interval: 36
Employee(ID130) => Min Interval: 28, Max Interval: 47
Employee(ID132) => Min Interval: 4, Max Interval: 52
Employee(ID133) => Min Interval: 24, Max Interval: 42
Employee(ID139) => Min Interval: 4, Max Interval: 99
Employee(ID141) => Min Interval: 2, Max Interval: 99
Employee(ID142) => Min Interval: 6, Max Interval: 53
Employee(ID143) => Min Interval: 0, Max Interval: 99
Employee(ID152) => Min Interval: 11, Max Interval: 26
Employee(ID155) => Min Interval: 1, Max Interval: 54
Employee(ID156) => Min Interval: 10, Max Interval: 53
Employee(ID159) => Min Interval: 2, Max Interval: 99
Employee(ID160) => Min Interval: 14, Max Interval: 38
Employee(ID163) => Min Interval: 2, Max Interval: 38
Employee(ID165) => Min Interval: 5, Max Interval: 53
Employee(ID168) => Min Interval: 8, Max Interval: 50
Employee(ID170) => Min Interval: 24, Max Interval: 50
Employee(ID171) => Min Interval: 8, Max Interval: 30
Employee(ID173) => Min Interval: 4, Max Interval: 47
Employee(ID179) => Min Interval: 32, Max Interval: 44
Employee(ID184) => Min Interval: 11, Max Interval: 38
Employee(ID185) => Min Interval: 0, Max Interval: 99
Employee(ID190) => Min Interval: 18, Max Interval: 39
Employee(ID192) => Min Interval: 13, Max Interval: 51
Employee(ID193) => Min Interval: 9, Max Interval: 48
Employee(ID195) => Min Interval: 2, Max Interval: 49
Employee(ID197) => Min Interval: 8, Max Interval: 38
Employee(ID198) => Min Interval: 9, Max Interval: 50
Employee(ID200) => Min Interval: 12, Max Interval: 54
Employee(ID202) => Min Interval: 0, Max Interval: 99
Employee(ID203) => Min Interval: 4, Max Interval: 99
Employee(ID207) => Min Interval: 0, Max Interval: 43
Employee(ID209) => Min Interval: 1, Max Interval: 41
Employee(ID210) => Min Interval: 8, Max Interval: 51
Employee(ID214) => Min Interval: 1, Max Interval: 99
Employee(ID217) => Min Interval: 17, Max Interval: 26
Employee(ID219) => Min Interval: 12, Max Interval: 49
Employee(ID221) => Min Interval: 19, Max Interval: 40
Employee(ID227) => Min Interval: 11, Max Interval: 28
Employee(ID229) => Min Interval: 14, Max Interval: 44
Employee(ID231) => Min Interval: 1, Max Interval: 38
Employee(ID233) => Min Interval: 6, Max Interval: 52
Employee(ID234) => Min Interval: 18, Max Interval: 39
Employee(ID236) => Min Interval: 35, Max Interval: 44
Employee(ID238) => Min Interval: 44, Max Interval: 45
Employee(ID239) => Min Interval: 15, Max Interval: 50
Employee(ID240) => Min Interval: 15, Max Interval: 24
Employee(ID241) => Min Interval: 11, Max Interval: 35
Employee(ID243) => Min Interval: 8, Max Interval: 51
Employee(ID244) => Min Interval: 33, Max Interval: 51
Employee(ID246) => Min Interval: 26, Max Interval: 44
Employee(ID256) => Min Interval: 4, Max Interval: 29
Employee(ID259) => Min Interval: 0, Max Interval: 49
Employee(ID263) => Min Interval: 3, Max Interval: 53
Employee(ID265) => Min Interval: 2, Max Interval: 99
Employee(ID266) => Min Interval: 11, Max Interval: 31
Employee(ID270) => Min Interval: 9, Max Interval: 25
Employee(ID271) => Min Interval: 19, Max Interval: 28
Employee(ID277) => Min Interval: 12, Max Interval: 43
Employee(ID278) => Min Interval: 15, Max Interval: 43
Employee(ID279) => Min Interval: 18, Max Interval: 52
Employee(ID289) => Min Interval: 9, Max Interval: 33
Employee(ID292) => Min Interval: 8, Max Interval: 44
Employee(ID293) => Min Interval: 19, Max Interval: 51
Employee(ID295) => Min Interval: 21, Max Interval: 49
Employee(ID297) => Min Interval: 9, Max Interval: 51
Employee(ID299) => Min Interval: 8, Max Interval: 40
Employee(ID303) => Min Interval: 15, Max Interval: 50
Employee(ID305) => Min Interval: 6, Max Interval: 43
Employee(ID308) => Min Interval: 0, Max Interval: 99
Employee(ID309) => Min Interval: 18, Max Interval: 51
Employee(ID311) => Min Interval: 3, Max Interval: 49
Employee(ID312) => Min Interval: 32, Max Interval: 42
Employee(ID315) => Min Interval: 14, Max Interval: 31
Employee(ID316) => Min Interval: 8, Max Interval: 24
Employee(ID318) => Min Interval: 25, Max Interval: 50
Employee(ID319) => Min Interval: 31, Max Interval: 48
Employee(ID320) => Min Interval: 14, Max Interval: 52
Employee(ID321) => Min Interval: 3, Max Interval: 47
Employee(ID323) => Min Interval: 1, Max Interval: 99
Employee(ID326) => Min Interval: 3, Max Interval: 33
Employee(ID327) => Min Interval: 0, Max Interval: 99
Employee(ID328) => Min Interval: 23, Max Interval: 51
Employee(ID330) => Min Interval: 11, Max Interval: 53
Employee(ID331) => Min Interval: 34, Max Interval: 51
Employee(ID332) => Min Interval: 40, Max Interval: 51
Employee(ID335) => Min Interval: 10, Max Interval: 21
Employee(ID338) => Min Interval: 3, Max Interval: 44
Employee(ID340) => Min Interval: 6, Max Interval: 54
Employee(ID344) => Min Interval: 23, Max Interval: 36
Employee(ID350) => Min Interval: 19, Max Interval: 30
Employee(ID351) => Min Interval: 19, Max Interval: 49
Employee(ID353) => Min Interval: 10, Max Interval: 33
Employee(ID356) => Min Interval: 2, Max Interval: 53
Employee(ID358) => Min Interval: 3, Max Interval: 47
Employee(ID361) => Min Interval: 12, Max Interval: 29
Employee(ID363) => Min Interval: 10, Max Interval: 52
Employee(ID364) => Min Interval: 20, Max Interval: 42
Employee(ID366) => Min Interval: 18, Max Interval: 41
Employee(ID369) => Min Interval: 8, Max Interval: 43
Employee(ID371) => Min Interval: 7, Max Interval: 53
Employee(ID372) => Min Interval: 18, Max Interval: 50
Employee(ID374) => Min Interval: 25, Max Interval: 53
Employee(ID376) => Min Interval: 23, Max Interval: 43
Employee(ID380) => Min Interval: 34, Max Interval: 46
Employee(ID383) => Min Interval: 5, Max Interval: 21
Employee(ID384) => Min Interval: 27, Max Interval: 41
Employee(ID388) => Min Interval: 21, Max Interval: 44
Employee(ID390) => Min Interval: 3, Max Interval: 52
Employee(ID392) => Min Interval: 3, Max Interval: 52
Employee(ID393) => Min Interval: 17, Max Interval: 48
Employee(ID396) => Min Interval: 14, Max Interval: 49
Employee(ID400) => Min Interval: 11, Max Interval: 12
Employee(ID404) => Min Interval: 9, Max Interval: 44
Employee(ID405) => Min Interval: 36, Max Interval: 37
Employee(ID412) => Min Interval: 19, Max Interval: 38
Employee(ID413) => Min Interval: 11, Max Interval: 44
Employee(ID414) => Min Interval: 1, Max Interval: 99
Employee(ID415) => Min Interval: 23, Max Interval: 38
Employee(ID418) => Min Interval: 19, Max Interval: 44
Employee(ID419) => Min Interval: 40, Max Interval: 41
Employee(ID420) => Min Interval: 9, Max Interval: 34
Employee(ID421) => Min Interval: 15, Max Interval: 49
Employee(ID423) => Min Interval: 39, Max Interval: 49
Employee(ID429) => Min Interval: 10, Max Interval: 10
Employee(ID431) => Min Interval: 11, Max Interval: 47
Employee(ID432) => Min Interval: 18, Max Interval: 32
Employee(ID434) => Min Interval: 9, Max Interval: 43
Employee(ID435) => Min Interval: 0, Max Interval: 99
Employee(ID437) => Min Interval: 12, Max Interval: 33
Employee(ID438) => Min Interval: 7, Max Interval: 53
Employee(ID443) => Min Interval: 3, Max Interval: 53
Employee(ID444) => Min Interval: 36, Max Interval: 52
Employee(ID446) => Min Interval: 13, Max Interval: 24
Employee(ID449) => Min Interval: 10, Max Interval: 42
Employee(ID453) => Min Interval: 17, Max Interval: 51
Employee(ID454) => Min Interval: 15, Max Interval: 49
Employee(ID455) => Min Interval: 9, Max Interval: 30
Employee(ID456) => Min Interval: 11, Max Interval: 49
Employee(ID458) => Min Interval: 7, Max Interval: 55
Employee(ID460) => Min Interval: 20, Max Interval: 35
Employee(ID463) => Min Interval: 1, Max Interval: 53
Employee(ID465) => Min Interval: 3, Max Interval: 43
Employee(ID469) => Min Interval: 9, Max Interval: 54
Employee(ID472) => Min Interval: 28, Max Interval: 53
Employee(ID473) => Min Interval: 24, Max Interval: 38
Employee(ID475) => Min Interval: 7, Max Interval: 46
Employee(ID477) => Min Interval: 8, Max Interval: 51
Employee(ID478) => Min Interval: 6, Max Interval: 14
Employee(ID480) => Min Interval: 14, Max Interval: 24
Employee(ID481) => Min Interval: 8, Max Interval: 47
Employee(ID487) => Min Interval: 19, Max Interval: 20
Employee(ID492) => Min Interval: 1, Max Interval: 99
Employee(ID496) => Min Interval: 3, Max Interval: 53
Employee(ID499) => Min Interval: 7, Max Interval: 50
Employee(ID501) => Min Interval: 13, Max Interval: 51
Employee(ID503) => Min Interval: 0, Max Interval: 53
Employee(ID508) => Min Interval: 9, Max Interval: 31
Employee(ID509) => Min Interval: 3, Max Interval: 52
Employee(ID511) => Min Interval: 19, Max Interval: 50
Employee(ID515) => Min Interval: 24, Max Interval: 50
Employee(ID518) => Min Interval: 6, Max Interval: 47
Employee(ID525) => Min Interval: 8, Max Interval: 43
Employee(ID531) => Min Interval: 7, Max Interval: 40
Employee(ID533) => Min Interval: 16, Max Interval: 45
Employee(ID536) => Min Interval: 20, Max Interval: 51
Employee(ID542) => Min Interval: 23, Max Interval: 38
Employee(ID544) => Min Interval: 20, Max Interval: 34
Employee(ID545) => Min Interval: 9, Max Interval: 48
Employee(ID546) => Min Interval: 18, Max Interval: 51
Employee(ID547) => Min Interval: 9, Max Interval: 53
Employee(ID551) => Min Interval: 32, Max Interval: 40
Employee(ID552) => Min Interval: 24, Max Interval: 36
Employee(ID554) => Min Interval: 32, Max Interval: 48
Employee(ID555) => Min Interval: 3, Max Interval: 50
Employee(ID558) => Min Interval: 5, Max Interval: 51
Employee(ID564) => Min Interval: 18, Max Interval: 50
Employee(ID576) => Min Interval: 5, Max Interval: 52
Employee(ID578) => Min Interval: 0, Max Interval: 51
Employee(ID580) => Min Interval: 10, Max Interval: 48
Employee(ID587) => Min Interval: 26, Max Interval: 48
Employee(ID588) => Min Interval: 13, Max Interval: 38
Employee(ID594) => Min Interval: 4, Max Interval: 30
Employee(ID598) => Min Interval: 4, Max Interval: 99
Employee(ID601) => Min Interval: 10, Max Interval: 10
Employee(ID605) => Min Interval: 23, Max Interval: 48
Employee(ID608) => Min Interval: 12, Max Interval: 49
Employee(ID609) => Min Interval: 15, Max Interval: 51
Employee(ID611) => Min Interval: 14, Max Interval: 26
Employee(ID618) => Min Interval: 19, Max Interval: 28
Employee(ID630) => Min Interval: 17, Max Interval: 42
Employee(ID635) => Min Interval: 13, Max Interval: 55
Employee(ID638) => Min Interval: 14, Max Interval: 46
Employee(ID640) => Min Interval: 19, Max Interval: 30
Employee(ID644) => Min Interval: 18, Max Interval: 49
Employee(ID647) => Min Interval: 8, Max Interval: 38
Employee(ID648) => Min Interval: 8, Max Interval: 23
Employee(ID649) => Min Interval: 16, Max Interval: 37
Employee(ID651) => Min Interval: 27, Max Interval: 39
Employee(ID653) => Min Interval: 19, Max Interval: 48
Employee(ID656) => Min Interval: 0, Max Interval: 99
Employee(ID660) => Min Interval: 22, Max Interval: 41
Employee(ID664) => Min Interval: 31, Max Interval: 45
Employee(ID668) => Min Interval: 9, Max Interval: 50
Employee(ID674) => Min Interval: 31, Max Interval: 49
Employee(ID676) => Min Interval: 33, Max Interval: 50
Employee(ID679) => Min Interval: 30, Max Interval: 41
Employee(ID681) => Min Interval: 13, Max Interval: 30
Employee(ID682) => Min Interval: 17, Max Interval: 45
Employee(ID684) => Min Interval: 13, Max Interval: 42
Employee(ID686) => Min Interval: 20, Max Interval: 43
Employee(ID688) => Min Interval: 10, Max Interval: 31
Employee(ID692) => Min Interval: 13, Max Interval: 31
Employee(ID695) => Min Interval: 8, Max Interval: 49
Employee(ID697) => Min Interval: 8, Max Interval: 49
Employee(ID699) => Min Interval: 5, Max Interval: 49
Employee(ID701) => Min Interval: 26, Max Interval: 48
Employee(ID707) => Min Interval: 29, Max Interval: 50
Employee(ID712) => Min Interval: 12, Max Interval: 37
Employee(ID723) => Min Interval: 16, Max Interval: 48
Employee(ID726) => Min Interval: 18, Max Interval: 44
