Stored fact information:
Work(ID1) => Min Interval: 4, Max Interval: 48
Work(ID5) => Min Interval: 0, Max Interval: 50
Work(ID9) => Min Interval: 6, Max Interval: 50
Work(ID14) => Min Interval: 11, Max Interval: 47
Work(ID17) => Min Interval: 1, Max Interval: 39
Work(ID19) => Min Interval: 0, Max Interval: 41
Work(ID24) => Min Interval: 4, Max Interval: 48
Work(ID26) => Min Interval: 7, Max Interval: 47
Work(ID29) => Min Interval: 17, Max Interval: 48
Work(ID33) => Min Interval: 4, Max Interval: 50
Work(ID36) => Min Interval: 1, Max Interval: 50
Work(ID38) => Min Interval: 5, Max Interval: 48
Work(ID43) => Min Interval: 1, Max Interval: 48
Work(ID48) => Min Interval: 1, Max Interval: 48
Work(ID50) => Min Interval: 1, Max Interval: 29
Work(ID53) => Min Interval: 0, Max Interval: 34
Work(ID54) => Min Interval: 1, Max Interval: 46
Work(ID59) => Min Interval: 0, Max Interval: 42
Work(ID65) => Min Interval: 0, Max Interval: 45
Work(ID67) => Min Interval: 6, Max Interval: 49
Work(ID70) => Min Interval: 3, Max Interval: 46
Work(ID71) => Min Interval: 9, Max Interval: 47
Work(ID76) => Min Interval: 7, Max Interval: 39
Work(ID98) => Min Interval: 6, Max Interval: 47
Work(ID129) => Min Interval: 1, Max Interval: 44
Work(ID138) => Min Interval: 2, Max Interval: 48
Work(ID149) => Min Interval: 14, Max Interval: 45
Work(ID151) => Min Interval: 0, Max Interval: 41
Work(ID157) => Min Interval: 2, Max Interval: 47
Work(ID167) => Min Interval: 3, Max Interval: 48
Work(ID169) => Min Interval: 0, Max Interval: 42
Work(ID174) => Min Interval: 1, Max Interval: 50
Work(ID188) => Min Interval: 8, Max Interval: 49
Work(ID189) => Min Interval: 4, Max Interval: 43
Work(ID199) => Min Interval: 10, Max Interval: 48
Work(ID218) => Min Interval: 0, Max Interval: 28
Work(ID237) => Min Interval: 1, Max Interval: 50
Work(ID242) => Min Interval: 0, Max Interval: 50
Work(ID247) => Min Interval: 1, Max Interval: 42
Work(ID249) => Min Interval: 3, Max Interval: 44
Work(ID260) => Min Interval: 1, Max Interval: 50
Work(ID262) => Min Interval: 6, Max Interval: 50
Work(ID281) => Min Interval: 4, Max Interval: 48
Work(ID294) => Min Interval: 1, Max Interval: 48
Work(ID296) => Min Interval: 7, Max Interval: 48
Work(ID306) => Min Interval: 5, Max Interval: 45
Work(ID310) => Min Interval: 9, Max Interval: 42
Work(ID317) => Min Interval: 8, Max Interval: 37
Work(ID345) => Min Interval: 4, Max Interval: 49
Work(ID357) => Min Interval: 10, Max Interval: 39
Work(ID359) => Min Interval: 25, Max Interval: 49
Work(ID377) => Min Interval: 1, Max Interval: 49
Work(ID381) => Min Interval: 1, Max Interval: 44
Work(ID391) => Min Interval: 3, Max Interval: 49
Work(ID401) => Min Interval: 5, Max Interval: 43
Work(ID407) => Min Interval: 3, Max Interval: 43
Work(ID416) => Min Interval: 1, Max Interval: 43
Work(ID425) => Min Interval: 3, Max Interval: 50
Work(ID436) => Min Interval: 6, Max Interval: 41
Work(ID459) => Min Interval: 6, Max Interval: 41
Work(ID470) => Min Interval: 1, Max Interval: 48
Work(ID485) => Min Interval: 2, Max Interval: 38
Work(ID490) => Min Interval: 4, Max Interval: 47
Work(ID498) => Min Interval: 7, Max Interval: 50
Work(ID502) => Min Interval: 2, Max Interval: 48
Work(ID504) => Min Interval: 4, Max Interval: 50
Work(ID505) => Min Interval: 4, Max Interval: 49
Work(ID519) => Min Interval: 5, Max Interval: 48
Work(ID527) => Min Interval: 2, Max Interval: 41
Work(ID550) => Min Interval: 0, Max Interval: 50
Work(ID568) => Min Interval: 0, Max Interval: 40
Work(ID602) => Min Interval: 1, Max Interval: 50
Work(ID622) => Min Interval: 8, Max Interval: 38
Work(ID626) => Min Interval: 1, Max Interval: 50
Work(ID642) => Min Interval: 0, Max Interval: 49
Work(ID645) => Min Interval: 0, Max Interval: 48
Work(ID689) => Min Interval: 5, Max Interval: 49
Work(ID705) => Min Interval: 0, Max Interval: 39
Work(ID713) => Min Interval: 0, Max Interval: 45
Work(ID714) => Min Interval: 1, Max Interval: 41
Work(ID718) => Min Interval: 5, Max Interval: 46
Work(ID731) => Min Interval: 18, Max Interval: 50
Work(ID733) => Min Interval: 4, Max Interval: 48
Work(ID737) => Min Interval: 19, Max Interval: 48
Work(ID750) => Min Interval: 12, Max Interval: 42
Work(ID761) => Min Interval: 3, Max Interval: 49
Work(ID797) => Min Interval: 4, Max Interval: 44
Work(ID812) => Min Interval: 4, Max Interval: 46
Work(ID822) => Min Interval: 3, Max Interval: 46
Work(ID824) => Min Interval: 0, Max Interval: 50
Work(ID839) => Min Interval: 2, Max Interval: 44
Work(ID883) => Min Interval: 0, Max Interval: 48
Work(ID910) => Min Interval: 0, Max Interval: 41
Work(ID964) => Min Interval: 6, Max Interval: 47
Work(ID1028) => Min Interval: 3, Max Interval: 45
Work(ID1129) => Min Interval: 1, Max Interval: 44
Work(ID1171) => Min Interval: 3, Max Interval: 45
Work(ID1632) => Min Interval: 15, Max Interval: 21
