Stored fact information:
ResearchAssistant(ID0) => Min Interval: 32, Max Interval: 40
ResearchAssistant(ID2) => Min Interval: 41, Max Interval: 42
ResearchAssistant(ID6) => Min Interval: 14, Max Interval: 49
ResearchAssistant(ID8) => Min Interval: 0, Max Interval: 36
ResearchAssistant(ID10) => Min Interval: 16, Max Interval: 48
ResearchAssistant(ID13) => Min Interval: 1, Max Interval: 49
ResearchAssistant(ID14) => Min Interval: 38, Max Interval: 47
ResearchAssistant(ID16) => Min Interval: 14, Max Interval: 23
ResearchAssistant(ID20) => Min Interval: 20, Max Interval: 28
ResearchAssistant(ID28) => Min Interval: 17, Max Interval: 48
ResearchAssistant(ID29) => Min Interval: 1, Max Interval: 44
ResearchAssistant(ID31) => Min Interval: 0, Max Interval: 45
ResearchAssistant(ID32) => Min Interval: 16, Max Interval: 23
ResearchAssistant(ID33) => Min Interval: 14, Max Interval: 50
ResearchAssistant(ID34) => Min Interval: 10, Max Interval: 46
ResearchAssistant(ID36) => Min Interval: 17, Max Interval: 41
ResearchAssistant(ID38) => Min Interval: 13, Max Interval: 35
ResearchAssistant(ID41) => Min Interval: 11, Max Interval: 42
ResearchAssistant(ID45) => Min Interval: 15, Max Interval: 42
ResearchAssistant(ID47) => Min Interval: 13, Max Interval: 45
ResearchAssistant(ID50) => Min Interval: 2, Max Interval: 50
ResearchAssistant(ID51) => Min Interval: 3, Max Interval: 39
ResearchAssistant(ID53) => Min Interval: 1, Max Interval: 48
ResearchAssistant(ID54) => Min Interval: 10, Max Interval: 45
ResearchAssistant(ID57) => Min Interval: 21, Max Interval: 41
ResearchAssistant(ID59) => Min Interval: 7, Max Interval: 43
ResearchAssistant(ID64) => Min Interval: 6, Max Interval: 48
ResearchAssistant(ID65) => Min Interval: 34, Max Interval: 46
ResearchAssistant(ID71) => Min Interval: 37, Max Interval: 47
ResearchAssistant(ID75) => Min Interval: 10, Max Interval: 48
ResearchAssistant(ID77) => Min Interval: 5, Max Interval: 32
ResearchAssistant(ID86) => Min Interval: 19, Max Interval: 50
ResearchAssistant(ID88) => Min Interval: 22, Max Interval: 41
ResearchAssistant(ID89) => Min Interval: 15, Max Interval: 41
ResearchAssistant(ID90) => Min Interval: 27, Max Interval: 39
ResearchAssistant(ID92) => Min Interval: 6, Max Interval: 28
ResearchAssistant(ID97) => Min Interval: 24, Max Interval: 52
ResearchAssistant(ID102) => Min Interval: 17, Max Interval: 18
ResearchAssistant(ID104) => Min Interval: 12, Max Interval: 38
ResearchAssistant(ID117) => Min Interval: 19, Max Interval: 48
ResearchAssistant(ID119) => Min Interval: 13, Max Interval: 21
ResearchAssistant(ID120) => Min Interval: 31, Max Interval: 39
ResearchAssistant(ID123) => Min Interval: 27, Max Interval: 47
ResearchAssistant(ID125) => Min Interval: 3, Max Interval: 48
ResearchAssistant(ID131) => Min Interval: 2, Max Interval: 47
ResearchAssistant(ID133) => Min Interval: 11, Max Interval: 50
ResearchAssistant(ID135) => Min Interval: 22, Max Interval: 40
ResearchAssistant(ID138) => Min Interval: 11, Max Interval: 48
ResearchAssistant(ID140) => Min Interval: 16, Max Interval: 37
ResearchAssistant(ID144) => Min Interval: 25, Max Interval: 30
ResearchAssistant(ID148) => Min Interval: 9, Max Interval: 35
ResearchAssistant(ID150) => Min Interval: 9, Max Interval: 47
ResearchAssistant(ID153) => Min Interval: 7, Max Interval: 51
ResearchAssistant(ID156) => Min Interval: 11, Max Interval: 33
ResearchAssistant(ID161) => Min Interval: 27, Max Interval: 42
