Stored fact information:
ResearchAssistantCandidate(ID4) => Min Interval: 13, Max Interval: 50
ResearchAssistantCandidate(ID6) => Min Interval: 42, Max Interval: 49
ResearchAssistantCandidate(ID8) => Min Interval: 20, Max Interval: 52
ResearchAssistantCandidate(ID10) => Min Interval: 35, Max Interval: 44
ResearchAssistantCandidate(ID13) => Min Interval: 12, Max Interval: 35
ResearchAssistantCandidate(ID16) => Min Interval: 19, Max Interval: 32
ResearchAssistantCandidate(ID18) => Min Interval: 8, Max Interval: 48
ResearchAssistantCandidate(ID23) => Min Interval: 35, Max Interval: 50
ResearchAssistantCandidate(ID25) => Min Interval: 32, Max Interval: 44
ResearchAssistantCandidate(ID27) => Min Interval: 6, Max Interval: 35
ResearchAssistantCandidate(ID32) => Min Interval: 5, Max Interval: 44
ResearchAssistantCandidate(ID35) => Min Interval: 21, Max Interval: 45
ResearchAssistantCandidate(ID37) => Min Interval: 10, Max Interval: 35
ResearchAssistantCandidate(ID39) => Min Interval: 12, Max Interval: 42
ResearchAssistantCandidate(ID40) => Min Interval: 32, Max Interval: 52
ResearchAssistantCandidate(ID42) => Min Interval: 29, Max Interval: 41
ResearchAssistantCandidate(ID44) => Min Interval: 14, Max Interval: 41
ResearchAssistantCandidate(ID47) => Min Interval: 5, Max Interval: 49
ResearchAssistantCandidate(ID49) => Min Interval: 33, Max Interval: 48
ResearchAssistantCandidate(ID52) => Min Interval: 13, Max Interval: 38
ResearchAssistantCandidate(ID60) => Min Interval: 13, Max Interval: 44
ResearchAssistantCandidate(ID62) => Min Interval: 14, Max Interval: 43
ResearchAssistantCandidate(ID64) => Min Interval: 6, Max Interval: 49
ResearchAssistantCandidate(ID69) => Min Interval: 10, Max Interval: 14
ResearchAssistantCandidate(ID75) => Min Interval: 10, Max Interval: 42
ResearchAssistantCandidate(ID77) => Min Interval: 9, Max Interval: 34
ResearchAssistantCandidate(ID79) => Min Interval: 20, Max Interval: 36
ResearchAssistantCandidate(ID87) => Min Interval: 29, Max Interval: 51
ResearchAssistantCandidate(ID90) => Min Interval: 1, Max Interval: 38
ResearchAssistantCandidate(ID92) => Min Interval: 1, Max Interval: 39
ResearchAssistantCandidate(ID106) => Min Interval: 12, Max Interval: 32
ResearchAssistantCandidate(ID108) => Min Interval: 2, Max Interval: 48
ResearchAssistantCandidate(ID114) => Min Interval: 11, Max Interval: 48
ResearchAssistantCandidate(ID119) => Min Interval: 1, Max Interval: 49
ResearchAssistantCandidate(ID121) => Min Interval: 19, Max Interval: 35
ResearchAssistantCandidate(ID123) => Min Interval: 9, Max Interval: 43
ResearchAssistantCandidate(ID126) => Min Interval: 14, Max Interval: 20
ResearchAssistantCandidate(ID128) => Min Interval: 15, Max Interval: 35
ResearchAssistantCandidate(ID130) => Min Interval: 25, Max Interval: 46
ResearchAssistantCandidate(ID132) => Min Interval: 1, Max Interval: 49
ResearchAssistantCandidate(ID133) => Min Interval: 21, Max Interval: 41
ResearchAssistantCandidate(ID137) => Min Interval: 15, Max Interval: 18
ResearchAssistantCandidate(ID142) => Min Interval: 7, Max Interval: 51
ResearchAssistantCandidate(ID147) => Min Interval: 7, Max Interval: 14
ResearchAssistantCandidate(ID152) => Min Interval: 8, Max Interval: 48
ResearchAssistantCandidate(ID155) => Min Interval: 1, Max Interval: 49
ResearchAssistantCandidate(ID156) => Min Interval: 7, Max Interval: 51
ResearchAssistantCandidate(ID160) => Min Interval: 11, Max Interval: 37
ResearchAssistantCandidate(ID163) => Min Interval: 2, Max Interval: 33
ResearchAssistantCandidate(ID165) => Min Interval: 3, Max Interval: 48
ResearchAssistantCandidate(ID168) => Min Interval: 5, Max Interval: 49
ResearchAssistantCandidate(ID170) => Min Interval: 11, Max Interval: 49
ResearchAssistantCandidate(ID171) => Min Interval: 5, Max Interval: 29
ResearchAssistantCandidate(ID173) => Min Interval: 1, Max Interval: 46
ResearchAssistantCandidate(ID179) => Min Interval: 29, Max Interval: 43
ResearchAssistantCandidate(ID184) => Min Interval: 12, Max Interval: 33
ResearchAssistantCandidate(ID187) => Min Interval: 42, Max Interval: 48
ResearchAssistantCandidate(ID190) => Min Interval: 15, Max Interval: 38
ResearchAssistantCandidate(ID192) => Min Interval: 12, Max Interval: 46
ResearchAssistantCandidate(ID193) => Min Interval: 6, Max Interval: 43
ResearchAssistantCandidate(ID195) => Min Interval: 1, Max Interval: 44
ResearchAssistantCandidate(ID197) => Min Interval: 5, Max Interval: 37
ResearchAssistantCandidate(ID198) => Min Interval: 6, Max Interval: 49
ResearchAssistantCandidate(ID200) => Min Interval: 13, Max Interval: 49
ResearchAssistantCandidate(ID207) => Min Interval: 9, Max Interval: 38
ResearchAssistantCandidate(ID209) => Min Interval: 6, Max Interval: 36
ResearchAssistantCandidate(ID210) => Min Interval: 9, Max Interval: 46
ResearchAssistantCandidate(ID217) => Min Interval: 18, Max Interval: 28
ResearchAssistantCandidate(ID219) => Min Interval: 11, Max Interval: 48
ResearchAssistantCandidate(ID221) => Min Interval: 16, Max Interval: 39
ResearchAssistantCandidate(ID227) => Min Interval: 8, Max Interval: 27
ResearchAssistantCandidate(ID229) => Min Interval: 11, Max Interval: 43
ResearchAssistantCandidate(ID231) => Min Interval: 2, Max Interval: 33
ResearchAssistantCandidate(ID233) => Min Interval: 6, Max Interval: 48
ResearchAssistantCandidate(ID234) => Min Interval: 19, Max Interval: 34
ResearchAssistantCandidate(ID236) => Min Interval: 22, Max Interval: 43
ResearchAssistantCandidate(ID238) => Min Interval: 41, Max Interval: 50
ResearchAssistantCandidate(ID239) => Min Interval: 12, Max Interval: 49
ResearchAssistantCandidate(ID240) => Min Interval: 12, Max Interval: 23
ResearchAssistantCandidate(ID241) => Min Interval: 8, Max Interval: 41
ResearchAssistantCandidate(ID243) => Min Interval: 5, Max Interval: 50
ResearchAssistantCandidate(ID244) => Min Interval: 30, Max Interval: 50
ResearchAssistantCandidate(ID246) => Min Interval: 23, Max Interval: 43
ResearchAssistantCandidate(ID256) => Min Interval: 1, Max Interval: 24
ResearchAssistantCandidate(ID263) => Min Interval: 0, Max Interval: 52
ResearchAssistantCandidate(ID266) => Min Interval: 8, Max Interval: 30
ResearchAssistantCandidate(ID268) => Min Interval: 11, Max Interval: 32
ResearchAssistantCandidate(ID270) => Min Interval: 6, Max Interval: 24
ResearchAssistantCandidate(ID271) => Min Interval: 16, Max Interval: 39
ResearchAssistantCandidate(ID277) => Min Interval: 9, Max Interval: 48
ResearchAssistantCandidate(ID278) => Min Interval: 12, Max Interval: 42
ResearchAssistantCandidate(ID279) => Min Interval: 19, Max Interval: 47
ResearchAssistantCandidate(ID289) => Min Interval: 6, Max Interval: 32
ResearchAssistantCandidate(ID292) => Min Interval: 5, Max Interval: 43
ResearchAssistantCandidate(ID293) => Min Interval: 16, Max Interval: 50
ResearchAssistantCandidate(ID295) => Min Interval: 18, Max Interval: 48
ResearchAssistantCandidate(ID297) => Min Interval: 6, Max Interval: 50
ResearchAssistantCandidate(ID299) => Min Interval: 9, Max Interval: 35
ResearchAssistantCandidate(ID303) => Min Interval: 12, Max Interval: 49
ResearchAssistantCandidate(ID305) => Min Interval: 5, Max Interval: 38
ResearchAssistantCandidate(ID309) => Min Interval: 15, Max Interval: 50
ResearchAssistantCandidate(ID311) => Min Interval: 3, Max Interval: 42
ResearchAssistantCandidate(ID312) => Min Interval: 29, Max Interval: 41
ResearchAssistantCandidate(ID315) => Min Interval: 11, Max Interval: 30
ResearchAssistantCandidate(ID316) => Min Interval: 5, Max Interval: 23
ResearchAssistantCandidate(ID318) => Min Interval: 22, Max Interval: 49
ResearchAssistantCandidate(ID319) => Min Interval: 28, Max Interval: 47
ResearchAssistantCandidate(ID320) => Min Interval: 21, Max Interval: 51
