Stored fact information:
Employee(ID0) => Min Interval: 30, Max Interval: 41
Employee(ID6) => Min Interval: 12, Max Interval: 50
Employee(ID7) => Min Interval: 0, Max Interval: 99
Employee(ID8) => Min Interval: 1, Max Interval: 37
Employee(ID10) => Min Interval: 16, Max Interval: 51
Employee(ID11) => Min Interval: 1, Max Interval: 99
Employee(ID13) => Min Interval: 0, Max Interval: 50
Employee(ID14) => Min Interval: 36, Max Interval: 48
Employee(ID16) => Min Interval: 12, Max Interval: 28
Employee(ID20) => Min Interval: 18, Max Interval: 29
Employee(ID26) => Min Interval: 0, Max Interval: 99
Employee(ID28) => Min Interval: 17, Max Interval: 53
Employee(ID29) => Min Interval: 0, Max Interval: 49
Employee(ID31) => Min Interval: 4, Max Interval: 46
Employee(ID32) => Min Interval: 14, Max Interval: 24
Employee(ID33) => Min Interval: 14, Max Interval: 55
Employee(ID34) => Min Interval: 8, Max Interval: 47
Employee(ID36) => Min Interval: 15, Max Interval: 42
Employee(ID38) => Min Interval: 11, Max Interval: 36
Employee(ID41) => Min Interval: 9, Max Interval: 23
Employee(ID42) => Min Interval: 0, Max Interval: 99
Employee(ID43) => Min Interval: 0, Max Interval: 99
Employee(ID45) => Min Interval: 13, Max Interval: 43
Employee(ID47) => Min Interval: 11, Max Interval: 49
Employee(ID50) => Min Interval: 10, Max Interval: 51
Employee(ID51) => Min Interval: 3, Max Interval: 44
Employee(ID53) => Min Interval: 1, Max Interval: 53
Employee(ID54) => Min Interval: 8, Max Interval: 46
Employee(ID57) => Min Interval: 19, Max Interval: 42
Employee(ID58) => Min Interval: 1, Max Interval: 99
Employee(ID59) => Min Interval: 5, Max Interval: 48
Employee(ID64) => Min Interval: 4, Max Interval: 53
Employee(ID65) => Min Interval: 32, Max Interval: 47
Employee(ID71) => Min Interval: 35, Max Interval: 48
Employee(ID75) => Min Interval: 8, Max Interval: 50
Employee(ID77) => Min Interval: 3, Max Interval: 37
Employee(ID82) => Min Interval: 0, Max Interval: 99
Employee(ID86) => Min Interval: 20, Max Interval: 51
Employee(ID88) => Min Interval: 20, Max Interval: 42
Employee(ID89) => Min Interval: 13, Max Interval: 42
Employee(ID90) => Min Interval: 25, Max Interval: 40
Employee(ID92) => Min Interval: 4, Max Interval: 33
Employee(ID93) => Min Interval: 1, Max Interval: 99
Employee(ID96) => Min Interval: 2, Max Interval: 99
Employee(ID97) => Min Interval: 22, Max Interval: 54
Employee(ID104) => Min Interval: 10, Max Interval: 39
Employee(ID109) => Min Interval: 0, Max Interval: 99
Employee(ID111) => Min Interval: 1, Max Interval: 99
Employee(ID114) => Min Interval: 5, Max Interval: 99
Employee(ID115) => Min Interval: 0, Max Interval: 99
Employee(ID117) => Min Interval: 17, Max Interval: 49
Employee(ID119) => Min Interval: 11, Max Interval: 22
Employee(ID120) => Min Interval: 29, Max Interval: 40
Employee(ID123) => Min Interval: 25, Max Interval: 48
Employee(ID125) => Min Interval: 3, Max Interval: 53
Employee(ID128) => Min Interval: 3, Max Interval: 99
Employee(ID131) => Min Interval: 2, Max Interval: 52
Employee(ID133) => Min Interval: 9, Max Interval: 51
Employee(ID135) => Min Interval: 20, Max Interval: 41
Employee(ID138) => Min Interval: 9, Max Interval: 49
Employee(ID140) => Min Interval: 14, Max Interval: 38
Employee(ID144) => Min Interval: 23, Max Interval: 31
Employee(ID148) => Min Interval: 7, Max Interval: 40
Employee(ID150) => Min Interval: 7, Max Interval: 52
Employee(ID152) => Min Interval: 5, Max Interval: 99
Employee(ID153) => Min Interval: 5, Max Interval: 52
Employee(ID154) => Min Interval: 0, Max Interval: 99
Employee(ID156) => Min Interval: 9, Max Interval: 34
Employee(ID161) => Min Interval: 25, Max Interval: 43
Employee(ID165) => Min Interval: 5, Max Interval: 33
Employee(ID168) => Min Interval: 28, Max Interval: 36
Employee(ID170) => Min Interval: 0, Max Interval: 99
Employee(ID173) => Min Interval: 11, Max Interval: 48
Employee(ID177) => Min Interval: 1, Max Interval: 51
Employee(ID178) => Min Interval: 0, Max Interval: 99
Employee(ID182) => Min Interval: 11, Max Interval: 25
Employee(ID187) => Min Interval: 8, Max Interval: 39
Employee(ID188) => Min Interval: 1, Max Interval: 99
Employee(ID190) => Min Interval: 17, Max Interval: 28
Employee(ID193) => Min Interval: 29, Max Interval: 44
Employee(ID194) => Min Interval: 17, Max Interval: 27
Employee(ID196) => Min Interval: 9, Max Interval: 50
Employee(ID198) => Min Interval: 7, Max Interval: 51
Employee(ID203) => Min Interval: 1, Max Interval: 54
Employee(ID204) => Min Interval: 3, Max Interval: 99
Employee(ID207) => Min Interval: 14, Max Interval: 48
Employee(ID209) => Min Interval: 15, Max Interval: 24
Employee(ID211) => Min Interval: 19, Max Interval: 34
Employee(ID213) => Min Interval: 2, Max Interval: 99
Employee(ID215) => Min Interval: 1, Max Interval: 99
Employee(ID218) => Min Interval: 34, Max Interval: 34
Employee(ID219) => Min Interval: 6, Max Interval: 30
Employee(ID222) => Min Interval: 35, Max Interval: 35
Employee(ID224) => Min Interval: 29, Max Interval: 42
Employee(ID226) => Min Interval: 2, Max Interval: 99
Employee(ID228) => Min Interval: 10, Max Interval: 42
