Stored fact information:
University(ID9) => Min Interval: 1, Max Interval: 48
University(ID19) => Min Interval: 3, Max Interval: 49
University(ID56) => Min Interval: 0, Max Interval: 47
University(ID70) => Min Interval: 11, Max Interval: 50
University(ID80) => Min Interval: 0, Max Interval: 49
University(ID98) => Min Interval: 0, Max Interval: 49
University(ID112) => Min Interval: 2, Max Interval: 48
University(ID116) => Min Interval: 5, Max Interval: 46
University(ID132) => Min Interval: 3, Max Interval: 50
University(ID163) => Min Interval: 0, Max Interval: 49
University(ID166) => Min Interval: 0, Max Interval: 50
University(ID185) => Min Interval: 1, Max Interval: 50
University(ID214) => Min Interval: 0, Max Interval: 31
University(ID216) => Min Interval: 3, Max Interval: 44
University(ID234) => Min Interval: 2, Max Interval: 49
University(ID238) => Min Interval: 7, Max Interval: 48
University(ID256) => Min Interval: 0, Max Interval: 48
University(ID257) => Min Interval: 0, Max Interval: 39
University(ID258) => Min Interval: 4, Max Interval: 44
University(ID263) => Min Interval: 2, Max Interval: 49
University(ID278) => Min Interval: 9, Max Interval: 48
University(ID283) => Min Interval: 0, Max Interval: 49
University(ID287) => Min Interval: 0, Max Interval: 42
University(ID316) => Min Interval: 18, Max Interval: 50
University(ID326) => Min Interval: 2, Max Interval: 49
University(ID329) => Min Interval: 1, Max Interval: 50
University(ID337) => Min Interval: 0, Max Interval: 49
University(ID372) => Min Interval: 1, Max Interval: 46
University(ID383) => Min Interval: 1, Max Interval: 48
University(ID408) => Min Interval: 0, Max Interval: 48
University(ID417) => Min Interval: 1, Max Interval: 47
University(ID426) => Min Interval: 2, Max Interval: 49
University(ID438) => Min Interval: 3, Max Interval: 48
University(ID489) => Min Interval: 0, Max Interval: 44
University(ID525) => Min Interval: 2, Max Interval: 42
University(ID526) => Min Interval: 1, Max Interval: 48
University(ID564) => Min Interval: 1, Max Interval: 48
University(ID571) => Min Interval: 0, Max Interval: 50
University(ID592) => Min Interval: 0, Max Interval: 48
University(ID622) => Min Interval: 9, Max Interval: 50
University(ID630) => Min Interval: 0, Max Interval: 47
University(ID644) => Min Interval: 2, Max Interval: 50
University(ID669) => Min Interval: 0, Max Interval: 50
University(ID672) => Min Interval: 0, Max Interval: 48
University(ID687) => Min Interval: 1, Max Interval: 49
University(ID699) => Min Interval: 1, Max Interval: 49
University(ID700) => Min Interval: 0, Max Interval: 48
University(ID728) => Min Interval: 3, Max Interval: 47
University(ID730) => Min Interval: 4, Max Interval: 48
University(ID739) => Min Interval: 5, Max Interval: 49
University(ID748) => Min Interval: 2, Max Interval: 48
University(ID750) => Min Interval: 6, Max Interval: 49
University(ID758) => Min Interval: 1, Max Interval: 50
University(ID763) => Min Interval: 12, Max Interval: 45
University(ID787) => Min Interval: 1, Max Interval: 48
University(ID807) => Min Interval: 0, Max Interval: 48
University(ID808) => Min Interval: 1, Max Interval: 43
University(ID818) => Min Interval: 0, Max Interval: 40
