Stored fact information:
AssistantProfessorCandidate(ID0) => Min Interval: 31, Max Interval: 38
AssistantProfessorCandidate(ID6) => Min Interval: 13, Max Interval: 47
AssistantProfessorCandidate(ID8) => Min Interval: 2, Max Interval: 34
AssistantProfessorCandidate(ID10) => Min Interval: 17, Max Interval: 48
AssistantProfessorCandidate(ID13) => Min Interval: 1, Max Interval: 47
AssistantProfessorCandidate(ID14) => Min Interval: 37, Max Interval: 45
AssistantProfessorCandidate(ID16) => Min Interval: 13, Max Interval: 25
AssistantProfessorCandidate(ID20) => Min Interval: 19, Max Interval: 26
AssistantProfessorCandidate(ID28) => Min Interval: 18, Max Interval: 50
AssistantProfessorCandidate(ID29) => Min Interval: 1, Max Interval: 46
AssistantProfessorCandidate(ID31) => Min Interval: 5, Max Interval: 43
AssistantProfessorCandidate(ID32) => Min Interval: 15, Max Interval: 21
AssistantProfessorCandidate(ID33) => Min Interval: 15, Max Interval: 52
AssistantProfessorCandidate(ID34) => Min Interval: 9, Max Interval: 44
AssistantProfessorCandidate(ID36) => Min Interval: 16, Max Interval: 39
AssistantProfessorCandidate(ID38) => Min Interval: 12, Max Interval: 33
AssistantProfessorCandidate(ID41) => Min Interval: 10, Max Interval: 20
AssistantProfessorCandidate(ID45) => Min Interval: 14, Max Interval: 40
AssistantProfessorCandidate(ID47) => Min Interval: 12, Max Interval: 46
AssistantProfessorCandidate(ID50) => Min Interval: 11, Max Interval: 48
AssistantProfessorCandidate(ID51) => Min Interval: 4, Max Interval: 41
AssistantProfessorCandidate(ID53) => Min Interval: 2, Max Interval: 50
AssistantProfessorCandidate(ID54) => Min Interval: 9, Max Interval: 43
AssistantProfessorCandidate(ID57) => Min Interval: 20, Max Interval: 39
AssistantProfessorCandidate(ID59) => Min Interval: 6, Max Interval: 45
AssistantProfessorCandidate(ID64) => Min Interval: 5, Max Interval: 50
AssistantProfessorCandidate(ID65) => Min Interval: 33, Max Interval: 44
AssistantProfessorCandidate(ID71) => Min Interval: 36, Max Interval: 45
AssistantProfessorCandidate(ID75) => Min Interval: 9, Max Interval: 47
AssistantProfessorCandidate(ID77) => Min Interval: 4, Max Interval: 34
AssistantProfessorCandidate(ID86) => Min Interval: 21, Max Interval: 48
AssistantProfessorCandidate(ID88) => Min Interval: 21, Max Interval: 39
AssistantProfessorCandidate(ID89) => Min Interval: 14, Max Interval: 39
AssistantProfessorCandidate(ID90) => Min Interval: 26, Max Interval: 37
AssistantProfessorCandidate(ID92) => Min Interval: 5, Max Interval: 30
AssistantProfessorCandidate(ID97) => Min Interval: 23, Max Interval: 51
AssistantProfessorCandidate(ID104) => Min Interval: 11, Max Interval: 36
AssistantProfessorCandidate(ID114) => Min Interval: 36, Max Interval: 53
AssistantProfessorCandidate(ID115) => Min Interval: 6, Max Interval: 52
AssistantProfessorCandidate(ID117) => Min Interval: 18, Max Interval: 46
AssistantProfessorCandidate(ID119) => Min Interval: 12, Max Interval: 19
