Stored fact information:
Scientist(ID7) => Min Interval: 9, Max Interval: 99
Scientist(ID11) => Min Interval: 12, Max Interval: 99
Scientist(ID26) => Min Interval: 11, Max Interval: 99
Scientist(ID42) => Min Interval: 25, Max Interval: 99
Scientist(ID43) => Min Interval: 15, Max Interval: 99
Scientist(ID58) => Min Interval: 13, Max Interval: 99
Scientist(ID82) => Min Interval: 7, Max Interval: 99
Scientist(ID93) => Min Interval: 2, Max Interval: 99
Scientist(ID96) => Min Interval: 10, Max Interval: 99
Scientist(ID109) => Min Interval: 7, Max Interval: 99
Scientist(ID111) => Min Interval: 5, Max Interval: 99
Scientist(ID114) => Min Interval: 43, Max Interval: 99
Scientist(ID115) => Min Interval: 9, Max Interval: 99
Scientist(ID128) => Min Interval: 19, Max Interval: 99
Scientist(ID152) => Min Interval: 36, Max Interval: 99
Scientist(ID154) => Min Interval: 12, Max Interval: 99
Scientist(ID170) => Min Interval: 6, Max Interval: 99
Scientist(ID178) => Min Interval: 6, Max Interval: 99
Scientist(ID188) => Min Interval: 19, Max Interval: 99
Scientist(ID204) => Min Interval: 6, Max Interval: 99
Scientist(ID213) => Min Interval: 20, Max Interval: 99
Scientist(ID215) => Min Interval: 17, Max Interval: 99
Scientist(ID226) => Min Interval: 7, Max Interval: 99
Scientist(ID235) => Min Interval: 9, Max Interval: 99
Scientist(ID270) => Min Interval: 13, Max Interval: 99
Scientist(ID291) => Min Interval: 6, Max Interval: 99
Scientist(ID320) => Min Interval: 5, Max Interval: 99
Scientist(ID331) => Min Interval: 20, Max Interval: 99
Scientist(ID371) => Min Interval: 19, Max Interval: 99
Scientist(ID380) => Min Interval: 6, Max Interval: 99
Scientist(ID482) => Min Interval: 9, Max Interval: 99
Scientist(ID505) => Min Interval: 10, Max Interval: 99
Scientist(ID518) => Min Interval: 16, Max Interval: 99
Scientist(ID640) => Min Interval: 14, Max Interval: 99
Scientist(ID647) => Min Interval: 20, Max Interval: 99
Scientist(ID832) => Min Interval: 11, Max Interval: 99
Scientist(ID1355) => Min Interval: 21, Max Interval: 99
Scientist(ID1869) => Min Interval: 14, Max Interval: 99
Scientist(ID1886) => Min Interval: 31, Max Interval: 99
Scientist(ID1889) => Min Interval: 7, Max Interval: 99
Scientist(ID1891) => Min Interval: 15, Max Interval: 99
Scientist(ID1903) => Min Interval: 14, Max Interval: 99
Scientist(ID1905) => Min Interval: 4, Max Interval: 99
Scientist(ID1950) => Min Interval: 6, Max Interval: 99
Scientist(ID1962) => Min Interval: 17, Max Interval: 99
Scientist(ID1964) => Min Interval: 8, Max Interval: 99
Scientist(ID1982) => Min Interval: 8, Max Interval: 99
Scientist(ID1986) => Min Interval: 6, Max Interval: 99
Scientist(ID1990) => Min Interval: 12, Max Interval: 99
Scientist(ID1992) => Min Interval: 5, Max Interval: 99
Scientist(ID1996) => Min Interval: 7, Max Interval: 99
Scientist(ID2005) => Min Interval: 22, Max Interval: 99
Scientist(ID2030) => Min Interval: 22, Max Interval: 99
Scientist(ID2033) => Min Interval: 11, Max Interval: 99
Scientist(ID2036) => Min Interval: 5, Max Interval: 99
Scientist(ID2039) => Min Interval: 3, Max Interval: 99
Scientist(ID2068) => Min Interval: 11, Max Interval: 99
Scientist(ID2070) => Min Interval: 13, Max Interval: 99
Scientist(ID2086) => Min Interval: 6, Max Interval: 99
Scientist(ID2101) => Min Interval: 5, Max Interval: 99
Scientist(ID2106) => Min Interval: 26, Max Interval: 99
Scientist(ID2112) => Min Interval: 41, Max Interval: 99
Scientist(ID2123) => Min Interval: 4, Max Interval: 99
Scientist(ID2147) => Min Interval: 9, Max Interval: 99
Scientist(ID2149) => Min Interval: 12, Max Interval: 99
Scientist(ID2198) => Min Interval: 11, Max Interval: 99
Scientist(ID2378) => Min Interval: 8, Max Interval: 99
Scientist(ID2873) => Min Interval: 18, Max Interval: 99
Scientist(ID2877) => Min Interval: 23, Max Interval: 99
Scientist(ID2918) => Min Interval: 23, Max Interval: 99
Scientist(ID2919) => Min Interval: 10, Max Interval: 99
Scientist(ID2924) => Min Interval: 35, Max Interval: 99
Scientist(ID2929) => Min Interval: 11, Max Interval: 99
Scientist(ID2944) => Min Interval: 18, Max Interval: 99
Scientist(ID2956) => Min Interval: 12, Max Interval: 99
Scientist(ID2963) => Min Interval: 6, Max Interval: 99
Scientist(ID2974) => Min Interval: 11, Max Interval: 99
Scientist(ID2980) => Min Interval: 3, Max Interval: 99
Scientist(ID2995) => Min Interval: 14, Max Interval: 99
Scientist(ID2996) => Min Interval: 23, Max Interval: 99
Scientist(ID3004) => Min Interval: 21, Max Interval: 99
Scientist(ID3018) => Min Interval: 13, Max Interval: 99
Scientist(ID3034) => Min Interval: 16, Max Interval: 99
Scientist(ID3035) => Min Interval: 8, Max Interval: 99
Scientist(ID3046) => Min Interval: 8, Max Interval: 99
Scientist(ID3048) => Min Interval: 6, Max Interval: 99
Scientist(ID3063) => Min Interval: 9, Max Interval: 99
Scientist(ID3065) => Min Interval: 17, Max Interval: 99
Scientist(ID3069) => Min Interval: 19, Max Interval: 99
Scientist(ID3107) => Min Interval: 32, Max Interval: 99
Scientist(ID3116) => Min Interval: 11, Max Interval: 99
Scientist(ID3118) => Min Interval: 14, Max Interval: 99
Scientist(ID3139) => Min Interval: 5, Max Interval: 99
Scientist(ID3162) => Min Interval: 11, Max Interval: 99
Scientist(ID3220) => Min Interval: 9, Max Interval: 99
Scientist(ID3236) => Min Interval: 7, Max Interval: 99
Scientist(ID3282) => Min Interval: 10, Max Interval: 99
Scientist(ID3291) => Min Interval: 11, Max Interval: 99
Scientist(ID3573) => Min Interval: 14, Max Interval: 99
Scientist(ID3753) => Min Interval: 23, Max Interval: 99
Scientist(ID3852) => Min Interval: 29, Max Interval: 99
Scientist(ID3853) => Min Interval: 9, Max Interval: 99
Scientist(ID3861) => Min Interval: 17, Max Interval: 99
Scientist(ID3864) => Min Interval: 16, Max Interval: 99
Scientist(ID3866) => Min Interval: 16, Max Interval: 99
Scientist(ID3871) => Min Interval: 8, Max Interval: 99
Scientist(ID3880) => Min Interval: 6, Max Interval: 99
Scientist(ID3894) => Min Interval: 8, Max Interval: 99
Scientist(ID3914) => Min Interval: 26, Max Interval: 99
Scientist(ID3922) => Min Interval: 22, Max Interval: 99
Scientist(ID3927) => Min Interval: 11, Max Interval: 99
Scientist(ID3932) => Min Interval: 7, Max Interval: 99
Scientist(ID3934) => Min Interval: 15, Max Interval: 99
Scientist(ID4005) => Min Interval: 5, Max Interval: 99
Scientist(ID4011) => Min Interval: 15, Max Interval: 99
Scientist(ID4023) => Min Interval: 10, Max Interval: 99
Scientist(ID4035) => Min Interval: 11, Max Interval: 99
Scientist(ID4038) => Min Interval: 10, Max Interval: 99
Scientist(ID4048) => Min Interval: 11, Max Interval: 99
Scientist(ID4057) => Min Interval: 8, Max Interval: 99
Scientist(ID4078) => Min Interval: 8, Max Interval: 99
Scientist(ID4082) => Min Interval: 13, Max Interval: 99
Scientist(ID4095) => Min Interval: 20, Max Interval: 99
Scientist(ID4112) => Min Interval: 9, Max Interval: 99
Scientist(ID4140) => Min Interval: 4, Max Interval: 99
Scientist(ID4152) => Min Interval: 10, Max Interval: 99
Scientist(ID4154) => Min Interval: 1, Max Interval: 99
Scientist(ID4210) => Min Interval: 16, Max Interval: 99
Scientist(ID4262) => Min Interval: 10, Max Interval: 99
Scientist(ID4272) => Min Interval: 5, Max Interval: 99
Scientist(ID4291) => Min Interval: 9, Max Interval: 99
Scientist(ID4393) => Min Interval: 9, Max Interval: 99
Scientist(ID4402) => Min Interval: 9, Max Interval: 99
Scientist(ID4479) => Min Interval: 11, Max Interval: 99
Scientist(ID4889) => Min Interval: 22, Max Interval: 99
Scientist(ID4891) => Min Interval: 5, Max Interval: 99
Scientist(ID4900) => Min Interval: 26, Max Interval: 99
Scientist(ID4901) => Min Interval: 10, Max Interval: 99
Scientist(ID4911) => Min Interval: 1, Max Interval: 99
Scientist(ID4922) => Min Interval: 14, Max Interval: 99
Scientist(ID4927) => Min Interval: 18, Max Interval: 99
Scientist(ID4930) => Min Interval: 33, Max Interval: 99
Scientist(ID4936) => Min Interval: 13, Max Interval: 99
Scientist(ID4953) => Min Interval: 29, Max Interval: 99
Scientist(ID4980) => Min Interval: 10, Max Interval: 99
Scientist(ID4988) => Min Interval: 5, Max Interval: 99
Scientist(ID5014) => Min Interval: 16, Max Interval: 99
Scientist(ID5020) => Min Interval: 7, Max Interval: 99
Scientist(ID5026) => Min Interval: 17, Max Interval: 99
Scientist(ID5034) => Min Interval: 23, Max Interval: 99
Scientist(ID5040) => Min Interval: 5, Max Interval: 99
Scientist(ID5061) => Min Interval: 7, Max Interval: 99
Scientist(ID5066) => Min Interval: 5, Max Interval: 99
Scientist(ID5086) => Min Interval: 8, Max Interval: 99
Scientist(ID5101) => Min Interval: 15, Max Interval: 99
Scientist(ID5115) => Min Interval: 7, Max Interval: 99
Scientist(ID5136) => Min Interval: 9, Max Interval: 99
Scientist(ID5170) => Min Interval: 10, Max Interval: 99
Scientist(ID5177) => Min Interval: 15, Max Interval: 99
Scientist(ID5193) => Min Interval: 17, Max Interval: 99
Scientist(ID5232) => Min Interval: 7, Max Interval: 99
Scientist(ID5241) => Min Interval: 7, Max Interval: 99
Scientist(ID5243) => Min Interval: 27, Max Interval: 99
Scientist(ID5261) => Min Interval: 3, Max Interval: 99
Scientist(ID5264) => Min Interval: 27, Max Interval: 99
Scientist(ID5267) => Min Interval: 15, Max Interval: 99
Scientist(ID5401) => Min Interval: 22, Max Interval: 99
Scientist(ID5465) => Min Interval: 5, Max Interval: 99
Scientist(ID5705) => Min Interval: 23, Max Interval: 99
Scientist(ID6236) => Min Interval: 13, Max Interval: 99
Scientist(ID6250) => Min Interval: 33, Max Interval: 99
Scientist(ID6266) => Min Interval: 11, Max Interval: 99
Scientist(ID6268) => Min Interval: 3, Max Interval: 99
Scientist(ID6276) => Min Interval: 10, Max Interval: 99
Scientist(ID6278) => Min Interval: 31, Max Interval: 99
Scientist(ID6298) => Min Interval: 38, Max Interval: 99
Scientist(ID6321) => Min Interval: 12, Max Interval: 99
Scientist(ID6332) => Min Interval: 6, Max Interval: 99
Scientist(ID6364) => Min Interval: 13, Max Interval: 99
Scientist(ID6366) => Min Interval: 11, Max Interval: 99
Scientist(ID6396) => Min Interval: 2, Max Interval: 99
Scientist(ID6399) => Min Interval: 31, Max Interval: 99
Scientist(ID6406) => Min Interval: 8, Max Interval: 99
Scientist(ID6413) => Min Interval: 4, Max Interval: 99
Scientist(ID6428) => Min Interval: 32, Max Interval: 99
Scientist(ID6436) => Min Interval: 17, Max Interval: 99
Scientist(ID6442) => Min Interval: 12, Max Interval: 99
Scientist(ID6474) => Min Interval: 17, Max Interval: 99
Scientist(ID6514) => Min Interval: 7, Max Interval: 99
Scientist(ID6517) => Min Interval: 4, Max Interval: 99
Scientist(ID6523) => Min Interval: 7, Max Interval: 99
Scientist(ID6535) => Min Interval: 5, Max Interval: 99
Scientist(ID6551) => Min Interval: 16, Max Interval: 99
Scientist(ID6556) => Min Interval: 9, Max Interval: 99
Scientist(ID6564) => Min Interval: 23, Max Interval: 99
Scientist(ID6593) => Min Interval: 12, Max Interval: 99
Scientist(ID6615) => Min Interval: 16, Max Interval: 99
Scientist(ID6709) => Min Interval: 5, Max Interval: 99
Scientist(ID6714) => Min Interval: 8, Max Interval: 99
Scientist(ID6737) => Min Interval: 19, Max Interval: 99
Scientist(ID6754) => Min Interval: 5, Max Interval: 99
Scientist(ID6762) => Min Interval: 3, Max Interval: 99
Scientist(ID6802) => Min Interval: 5, Max Interval: 99
Scientist(ID6814) => Min Interval: 5, Max Interval: 99
Scientist(ID6859) => Min Interval: 13, Max Interval: 99
Scientist(ID6956) => Min Interval: 14, Max Interval: 99
Scientist(ID6978) => Min Interval: 20, Max Interval: 99
Scientist(ID7210) => Min Interval: 15, Max Interval: 99
Scientist(ID7628) => Min Interval: 2, Max Interval: 99
Scientist(ID7644) => Min Interval: 8, Max Interval: 99
Scientist(ID7648) => Min Interval: 9, Max Interval: 99
Scientist(ID7660) => Min Interval: 8, Max Interval: 99
Scientist(ID7684) => Min Interval: 16, Max Interval: 99
Scientist(ID7689) => Min Interval: 24, Max Interval: 99
Scientist(ID7705) => Min Interval: 24, Max Interval: 99
Scientist(ID7708) => Min Interval: 14, Max Interval: 99
Scientist(ID7723) => Min Interval: 17, Max Interval: 99
Scientist(ID7737) => Min Interval: 9, Max Interval: 99
Scientist(ID7744) => Min Interval: 8, Max Interval: 99
Scientist(ID7754) => Min Interval: 15, Max Interval: 99
Scientist(ID7764) => Min Interval: 2, Max Interval: 99
Scientist(ID7788) => Min Interval: 11, Max Interval: 99
Scientist(ID7802) => Min Interval: 23, Max Interval: 99
Scientist(ID7831) => Min Interval: 29, Max Interval: 99
Scientist(ID7836) => Min Interval: 14, Max Interval: 99
Scientist(ID7848) => Min Interval: 19, Max Interval: 99
Scientist(ID7854) => Min Interval: 19, Max Interval: 99
Scientist(ID7860) => Min Interval: 7, Max Interval: 99
Scientist(ID7879) => Min Interval: 10, Max Interval: 99
Scientist(ID7888) => Min Interval: 7, Max Interval: 99
