Stored fact information:
Publication(ID12) => Min Interval: 5, Max Interval: 49
Publication(ID24) => Min Interval: 9, Max Interval: 40
Publication(ID27) => Min Interval: 6, Max Interval: 47
Publication(ID48) => Min Interval: 2, Max Interval: 46
Publication(ID49) => Min Interval: 2, Max Interval: 38
Publication(ID52) => Min Interval: 4, Max Interval: 46
Publication(ID63) => Min Interval: 6, Max Interval: 50
Publication(ID67) => Min Interval: 2, Max Interval: 47
Publication(ID79) => Min Interval: 13, Max Interval: 48
Publication(ID81) => Min Interval: 2, Max Interval: 45
Publication(ID85) => Min Interval: 0, Max Interval: 50
Publication(ID94) => Min Interval: 3, Max Interval: 49
Publication(ID95) => Min Interval: 3, Max Interval: 44
Publication(ID99) => Min Interval: 4, Max Interval: 48
Publication(ID108) => Min Interval: 2, Max Interval: 49
Publication(ID113) => Min Interval: 3, Max Interval: 47
Publication(ID122) => Min Interval: 1, Max Interval: 43
Publication(ID127) => Min Interval: 2, Max Interval: 44
Publication(ID129) => Min Interval: 1, Max Interval: 50
Publication(ID137) => Min Interval: 5, Max Interval: 50
Publication(ID142) => Min Interval: 2, Max Interval: 49
Publication(ID147) => Min Interval: 1, Max Interval: 49
Publication(ID149) => Min Interval: 0, Max Interval: 49
Publication(ID151) => Min Interval: 1, Max Interval: 39
Publication(ID155) => Min Interval: 0, Max Interval: 50
Publication(ID157) => Min Interval: 3, Max Interval: 46
Publication(ID159) => Min Interval: 10, Max Interval: 50
Publication(ID162) => Min Interval: 15, Max Interval: 45
Publication(ID167) => Min Interval: 6, Max Interval: 50
Publication(ID172) => Min Interval: 3, Max Interval: 42
Publication(ID176) => Min Interval: 0, Max Interval: 49
Publication(ID179) => Min Interval: 7, Max Interval: 48
Publication(ID184) => Min Interval: 1, Max Interval: 48
Publication(ID186) => Min Interval: 0, Max Interval: 38
Publication(ID199) => Min Interval: 1, Max Interval: 50
Publication(ID205) => Min Interval: 1, Max Interval: 48
Publication(ID212) => Min Interval: 3, Max Interval: 41
Publication(ID217) => Min Interval: 4, Max Interval: 49
Publication(ID225) => Min Interval: 4, Max Interval: 35
Publication(ID231) => Min Interval: 3, Max Interval: 37
Publication(ID241) => Min Interval: 11, Max Interval: 49
Publication(ID265) => Min Interval: 0, Max Interval: 46
Publication(ID266) => Min Interval: 6, Max Interval: 45
Publication(ID272) => Min Interval: 0, Max Interval: 49
Publication(ID273) => Min Interval: 0, Max Interval: 29
Publication(ID279) => Min Interval: 6, Max Interval: 50
Publication(ID284) => Min Interval: 3, Max Interval: 47
Publication(ID290) => Min Interval: 9, Max Interval: 46
Publication(ID293) => Min Interval: 0, Max Interval: 46
Publication(ID297) => Min Interval: 8, Max Interval: 45
Publication(ID300) => Min Interval: 1, Max Interval: 50
Publication(ID304) => Min Interval: 0, Max Interval: 49
Publication(ID307) => Min Interval: 19, Max Interval: 45
Publication(ID309) => Min Interval: 5, Max Interval: 41
Publication(ID310) => Min Interval: 0, Max Interval: 43
Publication(ID311) => Min Interval: 0, Max Interval: 50
Publication(ID313) => Min Interval: 1, Max Interval: 44
Publication(ID314) => Min Interval: 3, Max Interval: 46
Publication(ID317) => Min Interval: 3, Max Interval: 49
Publication(ID319) => Min Interval: 3, Max Interval: 43
