Stored fact information:
University(ID31) => Min Interval: 6, Max Interval: 50
University(ID45) => Min Interval: 4, Max Interval: 31
University(ID88) => Min Interval: 1, Max Interval: 43
University(ID101) => Min Interval: 0, Max Interval: 34
University(ID105) => Min Interval: 0, Max Interval: 46
University(ID127) => Min Interval: 15, Max Interval: 40
University(ID144) => Min Interval: 1, Max Interval: 43
University(ID154) => Min Interval: 16, Max Interval: 49
University(ID158) => Min Interval: 24, Max Interval: 46
University(ID161) => Min Interval: 15, Max Interval: 48
University(ID177) => Min Interval: 2, Max Interval: 42
University(ID178) => Min Interval: 3, Max Interval: 49
University(ID180) => Min Interval: 1, Max Interval: 48
University(ID182) => Min Interval: 0, Max Interval: 50
University(ID196) => Min Interval: 2, Max Interval: 50
University(ID204) => Min Interval: 3, Max Interval: 41
University(ID208) => Min Interval: 6, Max Interval: 49
University(ID215) => Min Interval: 6, Max Interval: 35
University(ID224) => Min Interval: 0, Max Interval: 50
University(ID261) => Min Interval: 6, Max Interval: 48
University(ID282) => Min Interval: 9, Max Interval: 49
University(ID288) => Min Interval: 5, Max Interval: 50
University(ID301) => Min Interval: 9, Max Interval: 46
University(ID302) => Min Interval: 0, Max Interval: 37
University(ID314) => Min Interval: 1, Max Interval: 44
University(ID347) => Min Interval: 17, Max Interval: 48
University(ID360) => Min Interval: 6, Max Interval: 43
University(ID367) => Min Interval: 22, Max Interval: 50
University(ID379) => Min Interval: 14, Max Interval: 44
University(ID389) => Min Interval: 1, Max Interval: 45
University(ID397) => Min Interval: 0, Max Interval: 46
University(ID433) => Min Interval: 8, Max Interval: 49
University(ID439) => Min Interval: 4, Max Interval: 50
University(ID464) => Min Interval: 0, Max Interval: 44
University(ID476) => Min Interval: 6, Max Interval: 42
University(ID479) => Min Interval: 17, Max Interval: 50
University(ID482) => Min Interval: 1, Max Interval: 41
University(ID483) => Min Interval: 2, Max Interval: 50
University(ID486) => Min Interval: 1, Max Interval: 47
University(ID489) => Min Interval: 0, Max Interval: 36
