Stored fact information:
Organization(ID9) => Min Interval: 1, Max Interval: 48
Organization(ID19) => Min Interval: 3, Max Interval: 49
Organization(ID23) => Min Interval: 0, Max Interval: 50
Organization(ID56) => Min Interval: 0, Max Interval: 47
Organization(ID70) => Min Interval: 11, Max Interval: 50
Organization(ID80) => Min Interval: 0, Max Interval: 49
Organization(ID98) => Min Interval: 0, Max Interval: 49
Organization(ID112) => Min Interval: 2, Max Interval: 48
Organization(ID116) => Min Interval: 5, Max Interval: 46
Organization(ID132) => Min Interval: 3, Max Interval: 50
Organization(ID163) => Min Interval: 0, Max Interval: 49
Organization(ID166) => Min Interval: 0, Max Interval: 50
Organization(ID169) => Min Interval: 3, Max Interval: 47
Organization(ID185) => Min Interval: 1, Max Interval: 50
Organization(ID208) => Min Interval: 5, Max Interval: 43
Organization(ID214) => Min Interval: 0, Max Interval: 31
Organization(ID216) => Min Interval: 3, Max Interval: 44
Organization(ID234) => Min Interval: 2, Max Interval: 49
Organization(ID238) => Min Interval: 7, Max Interval: 48
Organization(ID244) => Min Interval: 4, Max Interval: 40
Organization(ID256) => Min Interval: 0, Max Interval: 48
Organization(ID257) => Min Interval: 0, Max Interval: 39
Organization(ID258) => Min Interval: 4, Max Interval: 44
Organization(ID263) => Min Interval: 2, Max Interval: 49
Organization(ID278) => Min Interval: 9, Max Interval: 48
Organization(ID283) => Min Interval: 0, Max Interval: 49
Organization(ID287) => Min Interval: 0, Max Interval: 42
Organization(ID316) => Min Interval: 18, Max Interval: 50
Organization(ID326) => Min Interval: 2, Max Interval: 49
Organization(ID329) => Min Interval: 1, Max Interval: 50
Organization(ID337) => Min Interval: 0, Max Interval: 49
Organization(ID372) => Min Interval: 1, Max Interval: 46
Organization(ID383) => Min Interval: 1, Max Interval: 48
Organization(ID408) => Min Interval: 0, Max Interval: 48
Organization(ID417) => Min Interval: 1, Max Interval: 47
Organization(ID421) => Min Interval: 0, Max Interval: 44
Organization(ID426) => Min Interval: 2, Max Interval: 49
Organization(ID438) => Min Interval: 3, Max Interval: 48
Organization(ID489) => Min Interval: 0, Max Interval: 44
Organization(ID525) => Min Interval: 2, Max Interval: 42
Organization(ID526) => Min Interval: 1, Max Interval: 48
Organization(ID564) => Min Interval: 1, Max Interval: 48
Organization(ID571) => Min Interval: 0, Max Interval: 50
Organization(ID592) => Min Interval: 0, Max Interval: 48
Organization(ID622) => Min Interval: 9, Max Interval: 50
Organization(ID630) => Min Interval: 0, Max Interval: 47
Organization(ID644) => Min Interval: 2, Max Interval: 50
Organization(ID669) => Min Interval: 0, Max Interval: 50
Organization(ID672) => Min Interval: 0, Max Interval: 48
Organization(ID687) => Min Interval: 1, Max Interval: 49
Organization(ID699) => Min Interval: 1, Max Interval: 49
Organization(ID700) => Min Interval: 0, Max Interval: 48
