Stored fact information:
Lecturer(ID0) => Min Interval: 30, Max Interval: 35
Lecturer(ID6) => Min Interval: 12, Max Interval: 44
Lecturer(ID8) => Min Interval: 1, Max Interval: 31
Lecturer(ID10) => Min Interval: 16, Max Interval: 45
Lecturer(ID13) => Min Interval: 0, Max Interval: 44
Lecturer(ID14) => Min Interval: 36, Max Interval: 42
Lecturer(ID16) => Min Interval: 12, Max Interval: 22
Lecturer(ID20) => Min Interval: 18, Max Interval: 23
Lecturer(ID28) => Min Interval: 17, Max Interval: 47
Lecturer(ID29) => Min Interval: 0, Max Interval: 43
Lecturer(ID31) => Min Interval: 4, Max Interval: 40
Lecturer(ID32) => Min Interval: 14, Max Interval: 18
Lecturer(ID33) => Min Interval: 14, Max Interval: 49
Lecturer(ID34) => Min Interval: 8, Max Interval: 41
Lecturer(ID36) => Min Interval: 15, Max Interval: 36
Lecturer(ID38) => Min Interval: 11, Max Interval: 30
Lecturer(ID41) => Min Interval: 9, Max Interval: 17
Lecturer(ID45) => Min Interval: 13, Max Interval: 37
Lecturer(ID47) => Min Interval: 11, Max Interval: 43
Lecturer(ID50) => Min Interval: 10, Max Interval: 45
Lecturer(ID51) => Min Interval: 3, Max Interval: 38
Lecturer(ID53) => Min Interval: 1, Max Interval: 47
Lecturer(ID54) => Min Interval: 8, Max Interval: 40
Lecturer(ID57) => Min Interval: 19, Max Interval: 36
Lecturer(ID59) => Min Interval: 5, Max Interval: 42
Lecturer(ID64) => Min Interval: 4, Max Interval: 47
Lecturer(ID65) => Min Interval: 32, Max Interval: 41
Lecturer(ID71) => Min Interval: 35, Max Interval: 42
Lecturer(ID75) => Min Interval: 8, Max Interval: 44
Lecturer(ID77) => Min Interval: 3, Max Interval: 31
Lecturer(ID86) => Min Interval: 20, Max Interval: 45
Lecturer(ID88) => Min Interval: 20, Max Interval: 36
Lecturer(ID89) => Min Interval: 13, Max Interval: 36
Lecturer(ID90) => Min Interval: 25, Max Interval: 34
Lecturer(ID92) => Min Interval: 4, Max Interval: 27
Lecturer(ID97) => Min Interval: 22, Max Interval: 48
Lecturer(ID104) => Min Interval: 10, Max Interval: 33
Lecturer(ID114) => Min Interval: 35, Max Interval: 50
Lecturer(ID115) => Min Interval: 5, Max Interval: 49
Lecturer(ID117) => Min Interval: 17, Max Interval: 43
Lecturer(ID119) => Min Interval: 11, Max Interval: 16
Lecturer(ID120) => Min Interval: 29, Max Interval: 34
Lecturer(ID123) => Min Interval: 25, Max Interval: 42
Lecturer(ID125) => Min Interval: 3, Max Interval: 47
Lecturer(ID131) => Min Interval: 2, Max Interval: 46
Lecturer(ID133) => Min Interval: 9, Max Interval: 45
Lecturer(ID135) => Min Interval: 20, Max Interval: 35
