Stored fact information:
AssociateProfessorCandidate(ID4) => Min Interval: 22, Max Interval: 49
AssociateProfessorCandidate(ID8) => Min Interval: 27, Max Interval: 51
AssociateProfessorCandidate(ID13) => Min Interval: 21, Max Interval: 34
AssociateProfessorCandidate(ID16) => Min Interval: 28, Max Interval: 31
AssociateProfessorCandidate(ID18) => Min Interval: 17, Max Interval: 47
AssociateProfessorCandidate(ID20) => Min Interval: 16, Max Interval: 51
AssociateProfessorCandidate(ID25) => Min Interval: 41, Max Interval: 43
AssociateProfessorCandidate(ID27) => Min Interval: 15, Max Interval: 34
AssociateProfessorCandidate(ID30) => Min Interval: 15, Max Interval: 41
AssociateProfessorCandidate(ID32) => Min Interval: 14, Max Interval: 47
AssociateProfessorCandidate(ID35) => Min Interval: 30, Max Interval: 36
AssociateProfessorCandidate(ID37) => Min Interval: 28, Max Interval: 34
AssociateProfessorCandidate(ID39) => Min Interval: 21, Max Interval: 28
AssociateProfessorCandidate(ID40) => Min Interval: 8, Max Interval: 51
AssociateProfessorCandidate(ID42) => Min Interval: 38, Max Interval: 40
AssociateProfessorCandidate(ID44) => Min Interval: 10, Max Interval: 42
AssociateProfessorCandidate(ID47) => Min Interval: 14, Max Interval: 48
AssociateProfessorCandidate(ID49) => Min Interval: 42, Max Interval: 47
AssociateProfessorCandidate(ID52) => Min Interval: 20, Max Interval: 41
AssociateProfessorCandidate(ID60) => Min Interval: 22, Max Interval: 43
AssociateProfessorCandidate(ID62) => Min Interval: 23, Max Interval: 42
AssociateProfessorCandidate(ID64) => Min Interval: 15, Max Interval: 48
AssociateProfessorCandidate(ID75) => Min Interval: 19, Max Interval: 41
AssociateProfessorCandidate(ID77) => Min Interval: 18, Max Interval: 33
AssociateProfessorCandidate(ID79) => Min Interval: 29, Max Interval: 35
AssociateProfessorCandidate(ID87) => Min Interval: 34, Max Interval: 52
AssociateProfessorCandidate(ID90) => Min Interval: 8, Max Interval: 41
AssociateProfessorCandidate(ID92) => Min Interval: 6, Max Interval: 42
AssociateProfessorCandidate(ID100) => Min Interval: 4, Max Interval: 54
AssociateProfessorCandidate(ID106) => Min Interval: 21, Max Interval: 31
AssociateProfessorCandidate(ID107) => Min Interval: -1, Max Interval: 35
AssociateProfessorCandidate(ID108) => Min Interval: 11, Max Interval: 47
AssociateProfessorCandidate(ID114) => Min Interval: 20, Max Interval: 47
AssociateProfessorCandidate(ID119) => Min Interval: 8, Max Interval: 50
AssociateProfessorCandidate(ID121) => Min Interval: 24, Max Interval: 38
AssociateProfessorCandidate(ID123) => Min Interval: 18, Max Interval: 42
AssociateProfessorCandidate(ID128) => Min Interval: 24, Max Interval: 34
AssociateProfessorCandidate(ID130) => Min Interval: 34, Max Interval: 45
AssociateProfessorCandidate(ID132) => Min Interval: 10, Max Interval: 50
AssociateProfessorCandidate(ID133) => Min Interval: 30, Max Interval: 40
AssociateProfessorCandidate(ID142) => Min Interval: 12, Max Interval: 51
AssociateProfessorCandidate(ID143) => Min Interval: 1, Max Interval: 51
AssociateProfessorCandidate(ID152) => Min Interval: 17, Max Interval: 24
AssociateProfessorCandidate(ID155) => Min Interval: 7, Max Interval: 52
AssociateProfessorCandidate(ID156) => Min Interval: 16, Max Interval: 51
AssociateProfessorCandidate(ID159) => Min Interval: 8, Max Interval: 39
AssociateProfessorCandidate(ID160) => Min Interval: 20, Max Interval: 36
AssociateProfessorCandidate(ID163) => Min Interval: 8, Max Interval: 36
AssociateProfessorCandidate(ID165) => Min Interval: 11, Max Interval: 51
AssociateProfessorCandidate(ID168) => Min Interval: 14, Max Interval: 48
AssociateProfessorCandidate(ID170) => Min Interval: 30, Max Interval: 48
AssociateProfessorCandidate(ID171) => Min Interval: 14, Max Interval: 28
AssociateProfessorCandidate(ID173) => Min Interval: 10, Max Interval: 45
AssociateProfessorCandidate(ID179) => Min Interval: 38, Max Interval: 42
AssociateProfessorCandidate(ID184) => Min Interval: 17, Max Interval: 36
AssociateProfessorCandidate(ID185) => Min Interval: 7, Max Interval: 50
AssociateProfessorCandidate(ID190) => Min Interval: 24, Max Interval: 37
AssociateProfessorCandidate(ID192) => Min Interval: 19, Max Interval: 49
AssociateProfessorCandidate(ID193) => Min Interval: 15, Max Interval: 46
AssociateProfessorCandidate(ID195) => Min Interval: 8, Max Interval: 47
AssociateProfessorCandidate(ID197) => Min Interval: 14, Max Interval: 36
AssociateProfessorCandidate(ID198) => Min Interval: 15, Max Interval: 48
AssociateProfessorCandidate(ID200) => Min Interval: 18, Max Interval: 52
AssociateProfessorCandidate(ID207) => Min Interval: 6, Max Interval: 41
AssociateProfessorCandidate(ID209) => Min Interval: 7, Max Interval: 39
AssociateProfessorCandidate(ID210) => Min Interval: 14, Max Interval: 49
AssociateProfessorCandidate(ID214) => Min Interval: 3, Max Interval: 28
AssociateProfessorCandidate(ID217) => Min Interval: 23, Max Interval: 24
AssociateProfessorCandidate(ID219) => Min Interval: 18, Max Interval: 47
AssociateProfessorCandidate(ID221) => Min Interval: 25, Max Interval: 38
AssociateProfessorCandidate(ID227) => Min Interval: 17, Max Interval: 26
AssociateProfessorCandidate(ID229) => Min Interval: 20, Max Interval: 42
AssociateProfessorCandidate(ID231) => Min Interval: 7, Max Interval: 36
AssociateProfessorCandidate(ID233) => Min Interval: 12, Max Interval: 50
AssociateProfessorCandidate(ID234) => Min Interval: 24, Max Interval: 37
AssociateProfessorCandidate(ID236) => Min Interval: 41, Max Interval: 42
AssociateProfessorCandidate(ID239) => Min Interval: 21, Max Interval: 48
AssociateProfessorCandidate(ID240) => Min Interval: 21, Max Interval: 22
AssociateProfessorCandidate(ID241) => Min Interval: 17, Max Interval: 33
AssociateProfessorCandidate(ID243) => Min Interval: 14, Max Interval: 49
AssociateProfessorCandidate(ID244) => Min Interval: 39, Max Interval: 49
AssociateProfessorCandidate(ID246) => Min Interval: 32, Max Interval: 42
AssociateProfessorCandidate(ID256) => Min Interval: 10, Max Interval: 27
AssociateProfessorCandidate(ID259) => Min Interval: -1, Max Interval: 29
AssociateProfessorCandidate(ID263) => Min Interval: 9, Max Interval: 51
AssociateProfessorCandidate(ID265) => Min Interval: 19, Max Interval: 53
AssociateProfessorCandidate(ID266) => Min Interval: 17, Max Interval: 29
AssociateProfessorCandidate(ID270) => Min Interval: 15, Max Interval: 23
AssociateProfessorCandidate(ID271) => Min Interval: 25, Max Interval: 26
AssociateProfessorCandidate(ID277) => Min Interval: 18, Max Interval: 32
AssociateProfessorCandidate(ID278) => Min Interval: 21, Max Interval: 41
AssociateProfessorCandidate(ID279) => Min Interval: 24, Max Interval: 50
AssociateProfessorCandidate(ID289) => Min Interval: 15, Max Interval: 31
AssociateProfessorCandidate(ID292) => Min Interval: 14, Max Interval: 42
AssociateProfessorCandidate(ID293) => Min Interval: 25, Max Interval: 49
AssociateProfessorCandidate(ID295) => Min Interval: 27, Max Interval: 47
AssociateProfessorCandidate(ID297) => Min Interval: 15, Max Interval: 49
AssociateProfessorCandidate(ID299) => Min Interval: 14, Max Interval: 38
AssociateProfessorCandidate(ID303) => Min Interval: 21, Max Interval: 48
AssociateProfessorCandidate(ID305) => Min Interval: 12, Max Interval: 41
AssociateProfessorCandidate(ID309) => Min Interval: 24, Max Interval: 49
AssociateProfessorCandidate(ID311) => Min Interval: 9, Max Interval: 47
AssociateProfessorCandidate(ID312) => Min Interval: 38, Max Interval: 40
AssociateProfessorCandidate(ID315) => Min Interval: 20, Max Interval: 29
AssociateProfessorCandidate(ID316) => Min Interval: 14, Max Interval: 22
AssociateProfessorCandidate(ID318) => Min Interval: 31, Max Interval: 48
AssociateProfessorCandidate(ID319) => Min Interval: 37, Max Interval: 46
AssociateProfessorCandidate(ID320) => Min Interval: 20, Max Interval: 50
AssociateProfessorCandidate(ID321) => Min Interval: 9, Max Interval: 45
AssociateProfessorCandidate(ID326) => Min Interval: 9, Max Interval: 31
AssociateProfessorCandidate(ID328) => Min Interval: 29, Max Interval: 49
AssociateProfessorCandidate(ID330) => Min Interval: 17, Max Interval: 51
AssociateProfessorCandidate(ID331) => Min Interval: 40, Max Interval: 49
AssociateProfessorCandidate(ID332) => Min Interval: 46, Max Interval: 49
AssociateProfessorCandidate(ID335) => Min Interval: 16, Max Interval: 19
AssociateProfessorCandidate(ID338) => Min Interval: 9, Max Interval: 42
AssociateProfessorCandidate(ID340) => Min Interval: 12, Max Interval: 52
