i0,i1,i2
760.0,11022.0,38215.0
714.0,20100.0,47206.0
609.0,20042.0,38217.0
446.0,29081.0,47206.0
946.0,20046.0,47171.0
410.0,20080.0,47188.0
623.0,56092.0,83186.0
215.0,11077.0,201241.0
971.0,11025.0,192224.0
8.0,10024.0,182223.0
719.0,47074.0,74193.0
816.0,20038.0,38196.0
783.0,11034.0,38186.0
231.0,11054.0,38190.0
348.0,29077.0,47182.0
39.0,38082.0,56242.0
714.0,11065.0,38183.0
734.0,20078.0,47193.0
739.0,11037.0,38160.0
756.0,11034.0,201163.0
912.0,29083.0,56215.0
783.0,20069.0,38207.0
896.0,29076.0,56169.0
484.0,11102.0,38241.0
141.0,11018.0,192233.0
323.0,38073.0,65194.0
547.0,20026.0,38181.0
929.0,11068.0,201229.0
714.0,74072.0,92226.0
428.0,10056.0,182264.0
713.0,10031.0,191194.0
897.0,20050.0,47144.0
276.0,11066.0,38230.0
11.0,20078.0,38214.0
210.0,29062.0,47176.0
605.0,20036.0,38204.0
819.0,11020.0,201188.0
870.0,20117.0,47196.0
883.0,20042.0,38191.0
935.0,10024.0,182242.0
458.0,10017.0,182238.0
379.0,11081.0,38217.0
568.0,20074.0,47227.0
734.0,10076.0,191230.0
323.0,29059.0,56191.0
560.0,20052.0,38219.0
170.0,20059.0,47166.0
11.0,29091.0,47211.0
976.0,10004.0,191168.0
912.0,38092.0,65192.0
292.0,20077.0,47185.0
967.0,20069.0,47180.0
224.0,20054.0,38192.0
11.0,10053.0,182250.0
838.0,10032.0,191201.0
896.0,11046.0,38180.0
946.0,20028.0,38235.0
585.0,20042.0,38201.0
150.0,20092.0,47195.0
71.0,20055.0,47170.0
472.0,11040.0,38197.0
859.0,20083.0,47203.0
365.0,38045.0,56173.0
943.0,11062.0,201208.0
701.0,20054.0,47191.0
563.0,11044.0,38214.0
695.0,20096.0,47208.0
170.0,29059.0,56165.0
701.0,11080.0,38177.0
739.0,29082.0,47242.0
365.0,29043.0,47167.0
605.0,29034.0,47166.0
39.0,11085.0,38242.0
155.0,20063.0,47166.0
764.0,29060.0,56196.0
10.0,11085.0,38224.0
356.0,20056.0,38216.0
813.0,65052.0,83198.0
455.0,38045.0,56176.0
102.0,20084.0,47212.0
776.0,20046.0,38208.0
180.0,20058.0,38210.0
145.0,20057.0,38204.0
296.0,20081.0,47184.0
725.0,47062.0,65226.0
407.0,11008.0,192241.0
462.0,38042.0,56180.0
247.0,29017.0,47185.0
990.0,20062.0,47218.0
357.0,20051.0,47153.0
991.0,11049.0,201237.0
78.0,65053.0,92177.0
623.0,29062.0,47195.0
303.0,29053.0,56190.0
762.0,11048.0,38167.0
882.0,11049.0,201240.0
950.0,11000.0,201174.0
805.0,20037.0,38207.0
623.0,20062.0,47199.0
896.0,11018.0,201178.0
7.0,20081.0,38248.0
917.0,11051.0,38201.0
668.0,20050.0,47177.0
42.0,11056.0,38201.0
851.0,20051.0,38219.0
526.0,11028.0,38168.0
869.0,29057.0,47216.0
294.0,47103.0,74219.0
903.0,10068.0,182250.0
912.0,47077.0,65232.0
92.0,11032.0,38205.0
78.0,47048.0,65186.0
92.0,20033.0,38195.0
342.0,10024.0,182203.0
78.0,11072.0,38225.0
589.0,47097.0,65228.0
762.0,20032.0,47163.0
977.0,11043.0,201240.0
674.0,29079.0,47214.0
