i0,i1,i2,i3
169.0,605.0,11070.0,201255.0
150.0,766.0,20093.0,47198.0
632.0,969.0,20035.0,38196.0
577.0,642.0,11033.0,192207.0
971.0,900.0,20077.0,47195.0
499.0,845.0,20073.0,47170.0
842.0,123.0,11034.0,201181.0
623.0,329.0,11075.0,38204.0
714.0,925.0,56109.0,74222.0
101.0,802.0,20074.0,47180.0
418.0,707.0,11074.0,38188.0
295.0,506.0,56066.0,83164.0
628.0,587.0,38112.0,65193.0
851.0,602.0,20064.0,38214.0
739.0,353.0,11049.0,38195.0
894.0,542.0,38058.0,56192.0
357.0,386.0,20058.0,38214.0
724.0,274.0,29041.0,47149.0
547.0,249.0,20041.0,47136.0
941.0,325.0,20065.0,47172.0
420.0,525.0,47078.0,65181.0
401.0,150.0,11070.0,38200.0
242.0,748.0,20095.0,38206.0
290.0,616.0,10031.0,191160.0
963.0,523.0,10021.0,182207.0
182.0,667.0,11004.0,201162.0
323.0,852.0,56094.0,83184.0
511.0,662.0,20077.0,38205.0
882.0,487.0,11059.0,201228.0
785.0,740.0,11084.0,38219.0
111.0,394.0,11099.0,38221.0
667.0,182.0,10022.0,191150.0
454.0,768.0,20051.0,38185.0
644.0,559.0,11075.0,201233.0
249.0,734.0,20067.0,47149.0
896.0,915.0,11053.0,38164.0
380.0,768.0,20071.0,38225.0
191.0,876.0,10050.0,191215.0
382.0,290.0,11034.0,201182.0
620.0,487.0,11063.0,201224.0
644.0,32.0,11101.0,38219.0
745.0,727.0,38097.0,65188.0
941.0,706.0,20051.0,38189.0
224.0,142.0,65049.0,83171.0
725.0,26.0,20048.0,38198.0
633.0,762.0,38061.0,65155.0
294.0,195.0,38115.0,65207.0
934.0,59.0,29038.0,56141.0
414.0,436.0,29096.0,56196.0
337.0,681.0,20032.0,47143.0
778.0,428.0,11050.0,38189.0
537.0,399.0,47071.0,65161.0
698.0,848.0,38097.0,56201.0
960.0,245.0,10035.0,182223.0
589.0,333.0,29085.0,47209.0
462.0,473.0,11048.0,38150.0
82.0,23.0,38046.0,65144.0
152.0,720.0,20063.0,47165.0
574.0,83.0,29034.0,47163.0
78.0,34.0,74056.0,101168.0
484.0,997.0,11069.0,38177.0
144.0,839.0,10072.0,182211.0
511.0,173.0,38074.0,56180.0
719.0,481.0,29064.0,47205.0
225.0,562.0,47078.0,65199.0
757.0,199.0,10036.0,182197.0
605.0,389.0,38049.0,56186.0
47.0,831.0,11021.0,201181.0
79.0,431.0,10058.0,191223.0
153.0,488.0,11089.0,38224.0
818.0,592.0,10034.0,182209.0
522.0,830.0,11111.0,38211.0
66.0,900.0,10049.0,182240.0
971.0,706.0,29031.0,47148.0
343.0,954.0,29065.0,47187.0
420.0,517.0,11074.0,38226.0
232.0,642.0,11049.0,201197.0
295.0,335.0,29069.0,56169.0
762.0,631.0,20080.0,38207.0
267.0,173.0,11096.0,38221.0
954.0,741.0,11063.0,201200.0
637.0,822.0,10067.0,191173.0
116.0,870.0,20091.0,38244.0
275.0,247.0,11038.0,192256.0
339.0,319.0,11045.0,192218.0
100.0,198.0,11103.0,38215.0
267.0,279.0,29118.0,47212.0
870.0,543.0,20124.0,47180.0
92.0,140.0,29061.0,47157.0
761.0,371.0,29075.0,47200.0
977.0,90.0,10049.0,182222.0
847.0,192.0,11034.0,192236.0
294.0,716.0,38086.0,56190.0
303.0,748.0,38096.0,65170.0
806.0,554.0,20071.0,38209.0
583.0,911.0,9993.0,182221.0
569.0,133.0,20043.0,38185.0
489.0,408.0,38086.0,56203.0
414.0,835.0,29076.0,47214.0
510.0,586.0,11028.0,192168.0
548.0,154.0,20030.0,37175.0
816.0,266.0,38032.0,56173.0
896.0,767.0,29086.0,56169.0
849.0,793.0,20068.0,38218.0
465.0,675.0,20080.0,47185.0
668.0,74.0,20071.0,47184.0
588.0,621.0,10077.0,191211.0
971.0,298.0,11089.0,38205.0
714.0,403.0,20105.0,47205.0
950.0,560.0,11007.0,201161.0
10.0,475.0,20097.0,47181.0
144.0,367.0,38054.0,65148.0
946.0,136.0,20049.0,38224.0
889.0,120.0,11043.0,201243.0
592.0,30.0,11071.0,38199.0
395.0,447.0,65069.0,92150.0
424.0,797.0,11087.0,38199.0
813.0,755.0,47068.0,65194.0
334.0,827.0,11039.0,38182.0
154.0,188.0,11065.0,38219.0
181.0,324.0,38060.0,56175.0
529.0,138.0,20048.0,47148.0
82.0,682.0,38040.0,56165.0
67.0,897.0,11046.0,38214.0
981.0,615.0,29084.0,47201.0
819.0,716.0,11021.0,201168.0
308.0,818.0,47064.0,65183.0
262.0,687.0,20092.0,47180.0
819.0,167.0,20061.0,47167.0
898.0,299.0,20064.0,47179.0
734.0,800.0,20098.0,47178.0
918.0,821.0,29087.0,56190.0
629.0,41.0,11012.0,201164.0
92.0,382.0,38049.0,65149.0
714.0,176.0,38100.0,65210.0
146.0,889.0,20052.0,47155.0
446.0,426.0,20055.0,38210.0
714.0,958.0,83117.0,110191.0
467.0,547.0,11055.0,192236.0
40.0,55.0,20090.0,38211.0
146.0,677.0,29055.0,56138.0
226.0,788.0,11086.0,192266.0
87.0,901.0,38095.0,65175.0
89.0,352.0,38090.0,56221.0
205.0,391.0,11012.0,192207.0
968.0,353.0,29095.0,47199.0
95.0,538.0,11015.0,201187.0
225.0,627.0,20084.0,38229.0
473.0,782.0,10029.0,182191.0
719.0,481.0,20082.0,47179.0
79.0,29.0,20054.0,38229.0
232.0,201.0,11041.0,192169.0
489.0,408.0,29110.0,56201.0
42.0,246.0,20038.0,38181.0
859.0,444.0,11090.0,38222.0
167.0,240.0,20087.0,47191.0
180.0,325.0,20072.0,38205.0
217.0,126.0,11075.0,38192.0
783.0,609.0,29036.0,56167.0
762.0,631.0,11101.0,38202.0
177.0,610.0,11056.0,201206.0
348.0,320.0,47070.0,74178.0
671.0,563.0,47049.0,65175.0
761.0,219.0,29070.0,56179.0
480.0,765.0,11095.0,38206.0
323.0,613.0,38077.0,65181.0
475.0,202.0,11042.0,38199.0
339.0,507.0,11038.0,192220.0
305.0,229.0,10044.0,182210.0
440.0,994.0,20056.0,47160.0
364.0,487.0,11052.0,192208.0
918.0,636.0,38106.0,65192.0
146.0,889.0,29054.0,47162.0
968.0,735.0,38113.0,65197.0
726.0,506.0,11053.0,201199.0
294.0,174.0,29094.0,47217.0
395.0,665.0,56061.0,74166.0
537.0,945.0,11069.0,201211.0
810.0,663.0,11059.0,201217.0
319.0,217.0,29019.0,47141.0
58.0,518.0,20090.0,38219.0
701.0,929.0,20055.0,47187.0
16.0,944.0,20048.0,38212.0
897.0,855.0,65056.0,83174.0
303.0,484.0,29070.0,47197.0
87.0,819.0,38063.0,56175.0
782.0,215.0,11039.0,38178.0
869.0,948.0,47078.0,65198.0
601.0,530.0,11039.0,38177.0
266.0,908.0,47062.0,74143.0
178.0,124.0,38069.0,56185.0
303.0,463.0,11073.0,38177.0
321.0,426.0,20086.0,38197.0
395.0,293.0,11069.0,38181.0
537.0,68.0,10067.0,182220.0
855.0,31.0,11059.0,38187.0
69.0,96.0,47117.0,74201.0
761.0,371.0,20073.0,47181.0
342.0,118.0,10034.0,182195.0
576.0,811.0,10037.0,182221.0
203.0,966.0,11077.0,201260.0
823.0,225.0,11090.0,38208.0
489.0,722.0,11068.0,38209.0
92.0,394.0,47046.0,74138.0
931.0,727.0,20050.0,38180.0
39.0,328.0,83087.0,101219.0
18.0,418.0,20054.0,47183.0
519.0,298.0,10078.0,182224.0
221.0,553.0,11039.0,201204.0
776.0,868.0,10072.0,182238.0
376.0,958.0,20064.0,38196.0
148.0,843.0,20109.0,38234.0
934.0,989.0,20038.0,47141.0
145.0,540.0,20109.0,47176.0
714.0,384.0,65098.0,92194.0
995.0,337.0,11072.0,38201.0
813.0,312.0,38055.0,56172.0
303.0,484.0,20072.0,47191.0
198.0,897.0,10071.0,182243.0
785.0,217.0,10093.0,182280.0
816.0,839.0,11057.0,38194.0
560.0,383.0,11087.0,38202.0
89.0,612.0,38096.0,65205.0
960.0,245.0,10066.0,191200.0
524.0,249.0,20081.0,47175.0
806.0,554.0,11063.0,38184.0
217.0,126.0,20090.0,38216.0
870.0,434.0,11098.0,38214.0
755.0,145.0,56037.0,74171.0
358.0,689.0,20046.0,38161.0
469.0,150.0,11033.0,201214.0
524.0,208.0,11018.0,192184.0
414.0,290.0,11092.0,38227.0
968.0,727.0,11102.0,38224.0
317.0,462.0,47057.0,65172.0
39.0,478.0,92094.0,110215.0
343.0,846.0,11090.0,38224.0
739.0,210.0,20091.0,47206.0
52.0,184.0,20033.0,38165.0
420.0,167.0,38065.0,56183.0
609.0,888.0,29065.0,47199.0
484.0,913.0,20048.0,38187.0
632.0,134.0,20099.0,47203.0
69.0,500.0,47106.0,65202.0
78.0,270.0,29052.0,47170.0
233.0,502.0,11033.0,201227.0
308.0,227.0,29079.0,56175.0
323.0,865.0,11074.0,38196.0
483.0,186.0,11095.0,38221.0
441.0,552.0,29058.0,56165.0
217.0,687.0,38067.0,56194.0
819.0,716.0,11017.0,192168.0
734.0,87.0,11078.0,38221.0
422.0,298.0,11059.0,192260.0
519.0,950.0,20092.0,38209.0
357.0,386.0,11063.0,38208.0
5.0,399.0,10996.0,192177.0
398.0,679.0,11118.0,38218.0
911.0,583.0,11019.0,192199.0
52.0,808.0,11082.0,192215.0
727.0,337.0,20074.0,47191.0
714.0,427.0,56123.0,83222.0
912.0,552.0,29087.0,47222.0
825.0,563.0,20074.0,38195.0
671.0,285.0,20034.0,38197.0
982.0,138.0,11042.0,201204.0
755.0,438.0,38049.0,56150.0
39.0,328.0,74093.0,101195.0
9.0,85.0,11089.0,192233.0
851.0,343.0,11028.0,201193.0
315.0,172.0,11075.0,38217.0
869.0,824.0,20082.0,47180.0
424.0,461.0,20036.0,38189.0
87.0,180.0,20070.0,38213.0
11.0,942.0,10069.0,182243.0
167.0,103.0,11100.0,38207.0
863.0,268.0,20035.0,38193.0
343.0,846.0,20087.0,38229.0
764.0,438.0,29100.0,47203.0
992.0,232.0,11055.0,38182.0
304.0,854.0,11046.0,38197.0
996.0,648.0,10034.0,182218.0
446.0,158.0,47082.0,65208.0
764.0,654.0,38091.0,65211.0
