i0,i1,i2,i3
364.0,487.0,1087.0,201188.0
62.0,163.0,93.0,191167.0
159.0,531.0,84.0,191158.0
86.0,951.0,68.0,182145.0
190.0,13.0,77.0,191154.0
218.0,428.0,1118.0,201217.0
671.0,653.0,1094.0,201197.0
809.0,652.0,1072.0,201187.0
294.0,319.0,1055.0,201170.0
653.0,324.0,1088.0,201162.0
789.0,266.0,1069.0,201147.0
503.0,348.0,1058.0,201142.0
703.0,383.0,1066.0,201146.0
341.0,921.0,47.0,182189.0
121.0,906.0,1090.0,201175.0
215.0,711.0,1105.0,192208.0
894.0,914.0,1109.0,192222.0
151.0,930.0,104.0,182214.0
217.0,785.0,1106.0,192224.0
135.0,397.0,1065.0,201177.0
642.0,232.0,113.0,182188.0
174.0,653.0,1068.0,192161.0
430.0,209.0,1083.0,192208.0
332.0,638.0,1054.0,201150.0
864.0,863.0,1062.0,201143.0
732.0,496.0,34.0,191138.0
710.0,72.0,1041.0,192175.0
47.0,831.0,1057.0,201156.0
367.0,791.0,1074.0,201181.0
428.0,218.0,100.0,182236.0
282.0,706.0,1090.0,201179.0
772.0,49.0,1106.0,201218.0
620.0,935.0,1057.0,192188.0
31.0,797.0,1033.0,192163.0
472.0,729.0,100.0,182204.0
620.0,487.0,1076.0,192182.0
643.0,216.0,1088.0,201183.0
974.0,437.0,1062.0,201153.0
479.0,604.0,1050.0,192180.0
853.0,880.0,1070.0,192188.0
813.0,42.0,1075.0,201161.0
663.0,329.0,68.0,191159.0
582.0,202.0,1042.0,192150.0
692.0,573.0,1071.0,192161.0
958.0,938.0,1075.0,201157.0
738.0,465.0,1095.0,201181.0
126.0,179.0,1089.0,201173.0
851.0,343.0,1027.0,192151.0
714.0,268.0,52.0,182134.0
545.0,568.0,1104.0,192215.0
594.0,853.0,1058.0,192170.0
381.0,508.0,1099.0,201183.0
597.0,396.0,1104.0,201204.0
147.0,97.0,79.0,182202.0
400.0,222.0,1090.0,201201.0
886.0,560.0,56.0,182182.0
277.0,414.0,79.0,182233.0
218.0,276.0,1088.0,201185.0
838.0,119.0,77.0,191157.0
319.0,180.0,1080.0,192205.0
533.0,506.0,1087.0,201179.0
756.0,858.0,1091.0,201146.0
715.0,969.0,106.0,191188.0
933.0,891.0,1114.0,201214.0
72.0,958.0,65.0,191152.0
640.0,857.0,1115.0,201206.0
186.0,286.0,1088.0,192176.0
300.0,530.0,53.0,182191.0
324.0,653.0,102.0,191150.0
700.0,766.0,1102.0,201192.0
301.0,18.0,61.0,182153.0
442.0,525.0,1102.0,192204.0
123.0,979.0,1086.0,201188.0
532.0,496.0,1056.0,192175.0
653.0,174.0,73.0,191143.0
33.0,454.0,1058.0,192185.0
153.0,358.0,1095.0,201225.0
771.0,165.0,66.0,191135.0
993.0,469.0,1045.0,192188.0
201.0,232.0,56.0,182166.0
588.0,621.0,103.0,191161.0
777.0,879.0,1075.0,192207.0
352.0,40.0,1053.0,201122.0
611.0,283.0,66.0,182170.0
951.0,86.0,1055.0,201160.0
13.0,190.0,1067.0,192166.0
777.0,145.0,1115.0,201210.0
407.0,798.0,1067.0,201166.0
311.0,830.0,1087.0,201172.0
578.0,802.0,88.0,182229.0
21.0,844.0,1059.0,201188.0
369.0,233.0,1089.0,201177.0
829.0,391.0,1096.0,201197.0
738.0,55.0,40.0,182180.0
155.0,508.0,1097.0,201173.0
618.0,642.0,1096.0,201182.0
202.0,582.0,35.0,182182.0
294.0,390.0,1117.0,201208.0
811.0,576.0,1051.0,192176.0
318.0,256.0,30.0,182152.0
850.0,903.0,1109.0,201207.0
1.0,253.0,1078.0,201197.0
582.0,202.0,1039.0,201136.0
73.0,850.0,66.0,182160.0
965.0,68.0,1074.0,201156.0
313.0,449.0,1051.0,201169.0
573.0,692.0,57.0,182154.0
847.0,192.0,1070.0,192198.0
971.0,200.0,1078.0,201174.0
667.0,458.0,1051.0,201160.0
83.0,143.0,1067.0,201167.0
988.0,676.0,48.0,191138.0
205.0,41.0,1087.0,201178.0
98.0,404.0,1079.0,201162.0
743.0,738.0,1109.0,201202.0
554.0,982.0,1086.0,192195.0
943.0,689.0,73.0,182161.0
991.0,497.0,1085.0,192187.0
272.0,356.0,1083.0,201163.0
957.0,403.0,1104.0,201216.0
738.0,465.0,1080.0,192215.0
554.0,123.0,1059.0,201136.0
148.0,223.0,1052.0,201130.0
714.0,268.0,59.0,191142.0
88.0,686.0,1066.0,201158.0
785.0,217.0,107.0,182227.0
55.0,957.0,1080.0,192215.0
468.0,405.0,1077.0,192157.0
38.0,384.0,1083.0,201177.0
921.0,341.0,1070.0,201160.0
504.0,978.0,1091.0,201163.0
530.0,300.0,1063.0,192195.0
120.0,400.0,1075.0,201180.0
735.0,672.0,89.0,182192.0
376.0,375.0,1093.0,192218.0
373.0,697.0,1102.0,201204.0
786.0,853.0,1087.0,201195.0
697.0,373.0,111.0,182224.0
433.0,314.0,1041.0,192164.0
124.0,158.0,1059.0,201157.0
943.0,368.0,61.0,191176.0
343.0,180.0,120.0,191195.0
374.0,980.0,87.0,182177.0
342.0,118.0,59.0,182188.0
39.0,207.0,1078.0,201157.0
209.0,430.0,95.0,182195.0
207.0,39.0,75.0,182168.0
256.0,318.0,1039.0,192161.0
887.0,481.0,1104.0,192204.0
254.0,235.0,1050.0,201173.0
879.0,648.0,51.0,182173.0
206.0,257.0,84.0,182205.0
49.0,722.0,1054.0,201155.0
935.0,500.0,1084.0,201187.0
191.0,876.0,76.0,191181.0
74.0,152.0,63.0,182173.0
476.0,560.0,1072.0,201169.0
590.0,845.0,1076.0,192199.0
278.0,605.0,52.0,191158.0
958.0,72.0,1087.0,201166.0
726.0,506.0,1066.0,192193.0
577.0,642.0,1059.0,192188.0
850.0,73.0,1065.0,201161.0
790.0,683.0,51.0,182125.0
397.0,727.0,40.0,182161.0
714.0,981.0,1065.0,201162.0
667.0,458.0,1054.0,192188.0
136.0,56.0,1066.0,192186.0
370.0,475.0,70.0,182201.0
984.0,265.0,73.0,191159.0
829.0,391.0,1083.0,192208.0
844.0,92.0,1054.0,201151.0
274.0,909.0,1061.0,201131.0
726.0,506.0,1098.0,201186.0
225.0,739.0,1060.0,201160.0
703.0,160.0,1085.0,201177.0
359.0,146.0,1053.0,192184.0
637.0,822.0,78.0,191159.0
616.0,761.0,1059.0,201178.0
980.0,374.0,1088.0,201153.0
721.0,765.0,1066.0,201167.0
469.0,150.0,1066.0,192167.0
535.0,420.0,1054.0,192146.0
408.0,37.0,79.0,182177.0
79.0,431.0,88.0,191195.0
322.0,155.0,74.0,182201.0
751.0,52.0,1107.0,201211.0
525.0,818.0,1061.0,192191.0
362.0,815.0,1102.0,192192.0
962.0,378.0,1055.0,201135.0
508.0,155.0,96.0,182178.0
415.0,466.0,111.0,191199.0
487.0,620.0,82.0,182205.0
706.0,282.0,91.0,182199.0
368.0,943.0,1098.0,201175.0
909.0,274.0,58.0,191136.0
746.0,728.0,1069.0,201170.0
514.0,310.0,1041.0,192189.0
645.0,659.0,1047.0,201186.0
503.0,907.0,1089.0,201201.0
802.0,578.0,1095.0,192226.0
398.0,255.0,1054.0,192163.0
432.0,552.0,57.0,182140.0
576.0,535.0,87.0,182208.0
764.0,74.0,1072.0,201187.0
479.0,604.0,1035.0,201166.0
278.0,579.0,1102.0,192216.0
847.0,741.0,1048.0,192183.0
790.0,585.0,70.0,182205.0
298.0,777.0,1098.0,201157.0
497.0,991.0,68.0,182183.0
322.0,649.0,1095.0,201184.0
819.0,751.0,1114.0,201188.0
362.0,826.0,1118.0,201201.0
158.0,508.0,1076.0,201186.0
86.0,933.0,1046.0,192159.0
591.0,123.0,1083.0,201172.0
868.0,776.0,1070.0,192190.0
838.0,226.0,1049.0,201147.0
978.0,504.0,97.0,191173.0
90.0,704.0,49.0,191144.0
906.0,628.0,1091.0,201202.0
335.0,509.0,85.0,182225.0
976.0,855.0,43.0,182129.0
329.0,437.0,1100.0,192218.0
993.0,469.0,1065.0,201179.0
26.0,477.0,1087.0,201164.0
643.0,711.0,1074.0,201191.0
151.0,50.0,1063.0,201170.0
996.0,500.0,1074.0,201184.0
930.0,151.0,1110.0,201188.0
825.0,789.0,1083.0,192183.0
110.0,689.0,1068.0,201195.0
268.0,890.0,87.0,182200.0
229.0,305.0,1066.0,192182.0
586.0,510.0,69.0,191139.0
441.0,760.0,1076.0,201169.0
146.0,241.0,1080.0,192200.0
683.0,822.0,75.0,191153.0
637.0,540.0,1077.0,201190.0
332.0,884.0,1104.0,192204.0
988.0,679.0,1057.0,192170.0
179.0,126.0,82.0,182183.0
833.0,336.0,1087.0,201182.0
312.0,176.0,47.0,182157.0
34.0,386.0,83.0,191176.0
471.0,954.0,1073.0,192206.0
517.0,504.0,1106.0,192209.0
365.0,514.0,1070.0,192200.0
413.0,584.0,1088.0,201203.0
339.0,281.0,1082.0,192206.0
353.0,981.0,1078.0,201172.0
788.0,99.0,1056.0,201145.0
898.0,623.0,1056.0,192194.0
207.0,39.0,68.0,191171.0
245.0,52.0,1043.0,192164.0
757.0,199.0,67.0,182155.0
250.0,896.0,70.0,191155.0
281.0,339.0,79.0,191177.0
576.0,811.0,53.0,182182.0
172.0,231.0,1038.0,192167.0
559.0,644.0,104.0,182220.0
111.0,261.0,65.0,182181.0
301.0,60.0,1110.0,192222.0
554.0,982.0,1087.0,201191.0
876.0,191.0,1091.0,201157.0
471.0,851.0,112.0,182215.0
128.0,459.0,1028.0,192147.0
306.0,669.0,1056.0,192171.0
870.0,618.0,1091.0,192217.0
320.0,170.0,1104.0,192189.0
738.0,255.0,1037.0,192164.0
602.0,392.0,60.0,182173.0
866.0,631.0,1074.0,201176.0
319.0,192.0,1091.0,192201.0
10.0,110.0,1074.0,201198.0
904.0,296.0,1092.0,192202.0
895.0,917.0,1068.0,201152.0
858.0,756.0,83.0,182177.0
268.0,714.0,1064.0,201158.0
180.0,343.0,1112.0,201196.0
981.0,353.0,58.0,182196.0
734.0,614.0,1108.0,192215.0
833.0,451.0,1106.0,201202.0
938.0,748.0,1056.0,192181.0
159.0,189.0,1077.0,192185.0
329.0,437.0,1116.0,201198.0
