i0,i1,i2
751.0,56037.0,83164.0
771.0,47058.0,74158.0
831.0,11011.0,201187.0
643.0,10038.0,182212.0
597.0,20036.0,38189.0
238.0,38072.0,56234.0
868.0,29040.0,47171.0
444.0,20036.0,38210.0
442.0,11083.0,38209.0
245.0,10045.0,191190.0
482.0,11048.0,201225.0
235.0,11017.0,192220.0
74.0,11021.0,201190.0
288.0,11045.0,201226.0
249.0,20060.0,47180.0
889.0,29046.0,47182.0
217.0,10080.0,182283.0
211.0,10983.0,192195.0
599.0,38053.0,65172.0
23.0,38048.0,65163.0
255.0,11083.0,201232.0
496.0,10015.0,191167.0
400.0,29074.0,47209.0
557.0,56062.0,74180.0
848.0,11051.0,38187.0
192.0,20031.0,38188.0
602.0,20085.0,47215.0
276.0,11080.0,38234.0
173.0,20085.0,47202.0
706.0,20064.0,38203.0
931.0,29040.0,47162.0
404.0,10064.0,191198.0
250.0,20048.0,38190.0
726.0,11076.0,38190.0
520.0,11098.0,38222.0
88.0,56052.0,74182.0
803.0,11044.0,38172.0
849.0,20058.0,47201.0
155.0,11058.0,38191.0
469.0,10990.0,192204.0
487.0,38052.0,56205.0
697.0,11013.0,38158.0
107.0,20069.0,47197.0
831.0,83069.0,110173.0
679.0,11110.0,38221.0
5.0,29085.0,47245.0
727.0,20047.0,38197.0
224.0,20046.0,47180.0
617.0,11033.0,38176.0
858.0,11024.0,38213.0
553.0,29089.0,47225.0
139.0,11034.0,201199.0
492.0,20092.0,47183.0
976.0,11037.0,38168.0
845.0,11053.0,201218.0
613.0,20047.0,47148.0
521.0,10992.0,201181.0
384.0,74069.0,92226.0
934.0,29061.0,56191.0
696.0,56054.0,83182.0
133.0,11066.0,38193.0
988.0,47089.0,74192.0
996.0,11030.0,192218.0
244.0,20020.0,47145.0
859.0,20038.0,38188.0
999.0,74059.0,101161.0
818.0,38054.0,65180.0
386.0,20056.0,47163.0
249.0,20034.0,47147.0
320.0,47081.0,74185.0
973.0,38043.0,56184.0
912.0,11079.0,38216.0
188.0,11068.0,201246.0
527.0,11036.0,38180.0
144.0,10978.0,192187.0
870.0,20080.0,38262.0
426.0,10039.0,191191.0
987.0,20065.0,47183.0
33.0,9987.0,182203.0
245.0,10014.0,182217.0
952.0,20061.0,38212.0
571.0,20058.0,47175.0
825.0,38064.0,65192.0
559.0,11061.0,201247.0
27.0,47033.0,65174.0
857.0,11076.0,201242.0
352.0,11050.0,38237.0
718.0,11047.0,192269.0
18.0,20036.0,47161.0
138.0,29041.0,46165.0
634.0,11092.0,38241.0
210.0,29086.0,47233.0
370.0,11029.0,201202.0
162.0,38062.0,56205.0
398.0,47036.0,65158.0
308.0,101105.0,128221.0
853.0,11070.0,201239.0
193.0,56040.0,83171.0
138.0,56038.0,83137.0
119.0,10025.0,191199.0
787.0,11079.0,38219.0
682.0,29053.0,56167.0
170.0,38056.0,65187.0
343.0,11016.0,201196.0
583.0,47034.0,74142.0
520.0,38080.0,56211.0
610.0,38032.0,56160.0
279.0,29115.0,47227.0
962.0,10001.0,182195.0
665.0,56057.0,74170.0
472.0,11060.0,192264.0
560.0,11055.0,38232.0
24.0,38083.0,65214.0
427.0,65067.0,83240.0
427.0,20065.0,47173.0
497.0,11040.0,192226.0
239.0,10046.0,191187.0
407.0,10051.0,182225.0
667.0,10995.0,201181.0
481.0,20072.0,47188.0
535.0,10010.0,182192.0
778.0,11014.0,38176.0
782.0,29029.0,47156.0
751.0,65023.0,83189.0
324.0,38054.0,56175.0
138.0,20038.0,47153.0
140.0,29041.0,47168.0
266.0,38039.0,65162.0
263.0,20084.0,38226.0
931.0,20102.0,38227.0
265.0,47094.0,74191.0
996.0,11051.0,201216.0
663.0,11048.0,201216.0
110.0,29096.0,47224.0
808.0,11087.0,38239.0
802.0,20048.0,47176.0
595.0,20048.0,38190.0
504.0,20092.0,47210.0
327.0,47051.0,65191.0
813.0,20025.0,38222.0
648.0,10037.0,182237.0
570.0,38077.0,56243.0
514.0,20087.0,47198.0
621.0,83036.0,101194.0
575.0,11082.0,201256.0
297.0,20073.0,47188.0
505.0,38068.0,65217.0
126.0,11066.0,38199.0
82.0,20054.0,38216.0
444.0,29031.0,47186.0
298.0,10059.0,182239.0
980.0,20065.0,47196.0
