Stored fact information:
g4866(302.0,68.0) => Min Interval: 1200, Max Interval: 19800
g4866(337.0,83.0) => Min Interval: 1200, Max Interval: 19800
g4866(590.0,1.0) => Min Interval: 200, Max Interval: 19800
g4866(1471.0,63.0) => Min Interval: 200, Max Interval: 19800
g4866(1901.0,44.0) => Min Interval: 1200, Max Interval: 19800
g4866(2345.0,42.0) => Min Interval: 1200, Max Interval: 19800
g4866(2522.0,96.0) => Min Interval: 1200, Max Interval: 19800
g4866(2809.0,82.0) => Min Interval: 1200, Max Interval: 19800
g4866(2896.0,34.0) => Min Interval: 1200, Max Interval: 19800
g4866(3054.0,50.0) => Min Interval: 200, Max Interval: 19800
g4866(3358.0,91.0) => Min Interval: 1200, Max Interval: 19800
g4866(3518.0,16.0) => Min Interval: 1200, Max Interval: 19800
g4866(3535.0,74.0) => Min Interval: 200, Max Interval: 19800
g4866(3708.0,24.0) => Min Interval: 1200, Max Interval: 19800
g4866(4199.0,10.0) => Min Interval: 1200, Max Interval: 19800
g4866(4451.0,77.0) => Min Interval: 1200, Max Interval: 19800
g4866(4460.0,49.0) => Min Interval: 1200, Max Interval: 19800
g4866(4661.0,36.0) => Min Interval: 1200, Max Interval: 19800
g4866(5063.0,87.0) => Min Interval: 1200, Max Interval: 19800
g4866(5134.0,76.0) => Min Interval: 200, Max Interval: 19800
g4866(5889.0,80.0) => Min Interval: 200, Max Interval: 19800
g4866(6184.0,55.0) => Min Interval: 200, Max Interval: 19800
g4866(6187.0,24.0) => Min Interval: 200, Max Interval: 19800
g4866(6616.0,51.0) => Min Interval: 1200, Max Interval: 19800
g4866(6679.0,9.0) => Min Interval: 1200, Max Interval: 19800
g4866(7057.0,28.0) => Min Interval: 1200, Max Interval: 19800
g4866(7352.0,0.0) => Min Interval: 1200, Max Interval: 19800
g4866(7542.0,69.0) => Min Interval: 200, Max Interval: 19800
g4866(8347.0,53.0) => Min Interval: 200, Max Interval: 19800
g4866(8769.0,22.0) => Min Interval: 1200, Max Interval: 19800
g4866(8841.0,67.0) => Min Interval: 1200, Max Interval: 19800
g4866(9357.0,12.0) => Min Interval: 200, Max Interval: 19800
g4866(9591.0,0.0) => Min Interval: 200, Max Interval: 19800
g4866(9594.0,53.0) => Min Interval: 200, Max Interval: 19800
g4866(9647.0,16.0) => Min Interval: 200, Max Interval: 19800
g4866(9650.0,38.0) => Min Interval: 1200, Max Interval: 19800
g4866(9689.0,89.0) => Min Interval: 1200, Max Interval: 19800
