Stored fact information:
g4862(38.0,92.0) => Min Interval: 10200, Max Interval: 19800
g4862(94.0,36.0) => Min Interval: 1200, Max Interval: 19800
g4862(130.0,1.0) => Min Interval: 1200, Max Interval: 19800
g4862(136.0,97.0) => Min Interval: 1200, Max Interval: 19800
g4862(218.0,41.0) => Min Interval: 1200, Max Interval: 19800
g4862(337.0,83.0) => Min Interval: 200, Max Interval: 19800
g4862(497.0,48.0) => Min Interval: 19200, Max Interval: 19800
g4862(580.0,92.0) => Min Interval: 1200, Max Interval: 19800
g4862(652.0,81.0) => Min Interval: 1200, Max Interval: 19800
g4862(686.0,10.0) => Min Interval: 1200, Max Interval: 19800
g4862(694.0,1.0) => Min Interval: 10200, Max Interval: 19800
g4862(844.0,16.0) => Min Interval: 1200, Max Interval: 19800
g4862(980.0,3.0) => Min Interval: 1200, Max Interval: 19800
g4862(1131.0,81.0) => Min Interval: 1200, Max Interval: 19800
g4862(1157.0,61.0) => Min Interval: 1200, Max Interval: 19800
g4862(1570.0,82.0) => Min Interval: 10200, Max Interval: 19800
g4862(1709.0,31.0) => Min Interval: 19200, Max Interval: 19800
g4862(1766.0,59.0) => Min Interval: 10200, Max Interval: 19800
g4862(1888.0,92.0) => Min Interval: 1200, Max Interval: 19800
g4862(1901.0,44.0) => Min Interval: 200, Max Interval: 19800
g4862(1945.0,57.0) => Min Interval: 10200, Max Interval: 19800
g4862(2017.0,31.0) => Min Interval: 1200, Max Interval: 19800
g4862(2168.0,25.0) => Min Interval: 1200, Max Interval: 19800
g4862(2209.0,62.0) => Min Interval: 10200, Max Interval: 19800
g4862(2250.0,71.0) => Min Interval: 10200, Max Interval: 19800
g4862(2425.0,94.0) => Min Interval: 1200, Max Interval: 19800
g4862(2896.0,34.0) => Min Interval: 200, Max Interval: 19800
g4862(2898.0,80.0) => Min Interval: 10200, Max Interval: 19800
g4862(3100.0,28.0) => Min Interval: 10200, Max Interval: 19800
g4862(3111.0,45.0) => Min Interval: 1200, Max Interval: 19800
g4862(3373.0,87.0) => Min Interval: 10200, Max Interval: 19800
g4862(3535.0,74.0) => Min Interval: 1200, Max Interval: 19800
g4862(3593.0,83.0) => Min Interval: 200, Max Interval: 19800
g4862(3678.0,23.0) => Min Interval: 1200, Max Interval: 19800
g4862(3731.0,34.0) => Min Interval: 1200, Max Interval: 19800
g4862(3740.0,24.0) => Min Interval: 1200, Max Interval: 19800
g4862(3878.0,32.0) => Min Interval: 1200, Max Interval: 19800
g4862(3943.0,12.0) => Min Interval: 10200, Max Interval: 19800
g4862(4051.0,79.0) => Min Interval: 1200, Max Interval: 19800
g4862(4219.0,84.0) => Min Interval: 1200, Max Interval: 19800
g4862(4331.0,0.0) => Min Interval: 10200, Max Interval: 19800
g4862(4373.0,97.0) => Min Interval: 19200, Max Interval: 19800
g4862(4472.0,41.0) => Min Interval: 1200, Max Interval: 19800
g4862(4791.0,60.0) => Min Interval: 200, Max Interval: 19800
g4862(4957.0,32.0) => Min Interval: 1200, Max Interval: 19800
g4862(5055.0,62.0) => Min Interval: 1200, Max Interval: 19800
g4862(5063.0,87.0) => Min Interval: 200, Max Interval: 19800
g4862(5134.0,73.0) => Min Interval: 1200, Max Interval: 19800
g4862(5160.0,67.0) => Min Interval: 1200, Max Interval: 19800
g4862(5265.0,52.0) => Min Interval: 200, Max Interval: 19800
g4862(5643.0,83.0) => Min Interval: 1200, Max Interval: 19800
g4862(5659.0,7.0) => Min Interval: 200, Max Interval: 19800
g4862(5665.0,16.0) => Min Interval: 1200, Max Interval: 19800
g4862(5696.0,50.0) => Min Interval: 200, Max Interval: 19800
g4862(5927.0,18.0) => Min Interval: 10200, Max Interval: 19800
g4862(6194.0,73.0) => Min Interval: 1200, Max Interval: 19800
g4862(6276.0,14.0) => Min Interval: 1200, Max Interval: 19800
g4862(6551.0,86.0) => Min Interval: 1200, Max Interval: 19800
g4862(6616.0,51.0) => Min Interval: 200, Max Interval: 19800
g4862(6656.0,77.0) => Min Interval: 1200, Max Interval: 19800
g4862(6820.0,87.0) => Min Interval: 10200, Max Interval: 19800
g4862(6821.0,75.0) => Min Interval: 10200, Max Interval: 19800
g4862(6884.0,17.0) => Min Interval: 1200, Max Interval: 19800
g4862(6902.0,87.0) => Min Interval: 1200, Max Interval: 19800
g4862(7057.0,28.0) => Min Interval: 200, Max Interval: 19800
g4862(7071.0,49.0) => Min Interval: 1200, Max Interval: 19800
g4862(7079.0,63.0) => Min Interval: 10200, Max Interval: 19800
g4862(7438.0,27.0) => Min Interval: 1200, Max Interval: 19800
g4862(7502.0,86.0) => Min Interval: 10200, Max Interval: 19800
g4862(7711.0,73.0) => Min Interval: 1200, Max Interval: 19800
g4862(8060.0,80.0) => Min Interval: 1200, Max Interval: 19800
g4862(8561.0,29.0) => Min Interval: 1200, Max Interval: 19800
g4862(8769.0,22.0) => Min Interval: 200, Max Interval: 19800
g4862(9007.0,10.0) => Min Interval: 10200, Max Interval: 19800
g4862(9094.0,71.0) => Min Interval: 200, Max Interval: 19800
g4862(9549.0,7.0) => Min Interval: 1200, Max Interval: 19800
g4862(9594.0,53.0) => Min Interval: 1200, Max Interval: 19800
g4862(9647.0,16.0) => Min Interval: 1200, Max Interval: 19800
g4862(9707.0,5.0) => Min Interval: 200, Max Interval: 19800
g4862(9747.0,10.0) => Min Interval: 200, Max Interval: 19800
g4862(9755.0,48.0) => Min Interval: 10200, Max Interval: 19800
g4862(9877.0,75.0) => Min Interval: 1200, Max Interval: 19800
