Stored fact information:
g4863(302.0,68.0) => Min Interval: 1200, Max Interval: 19800
g4863(337.0,83.0) => Min Interval: 1200, Max Interval: 19800
g4863(590.0,1.0) => Min Interval: 200, Max Interval: 19800
g4863(652.0,81.0) => Min Interval: 200, Max Interval: 19800
g4863(1023.0,16.0) => Min Interval: 1200, Max Interval: 19800
g4863(1206.0,92.0) => Min Interval: 200, Max Interval: 19800
g4863(1471.0,63.0) => Min Interval: 200, Max Interval: 19800
g4863(1901.0,44.0) => Min Interval: 1200, Max Interval: 19800
g4863(2248.0,12.0) => Min Interval: 1200, Max Interval: 19800
g4863(2345.0,42.0) => Min Interval: 1200, Max Interval: 19800
g4863(2522.0,96.0) => Min Interval: 1200, Max Interval: 19800
g4863(2746.0,95.0) => Min Interval: 1200, Max Interval: 19800
g4863(2809.0,82.0) => Min Interval: 1200, Max Interval: 19800
g4863(2896.0,34.0) => Min Interval: 1200, Max Interval: 19800
g4863(3054.0,50.0) => Min Interval: 200, Max Interval: 19800
g4863(3358.0,91.0) => Min Interval: 1200, Max Interval: 19800
g4863(3518.0,16.0) => Min Interval: 1200, Max Interval: 19800
g4863(3535.0,74.0) => Min Interval: 200, Max Interval: 19800
g4863(3708.0,24.0) => Min Interval: 1200, Max Interval: 19800
g4863(3878.0,32.0) => Min Interval: 200, Max Interval: 19800
g4863(4103.0,17.0) => Min Interval: 200, Max Interval: 19800
g4863(4199.0,10.0) => Min Interval: 1200, Max Interval: 19800
g4863(4451.0,77.0) => Min Interval: 1200, Max Interval: 19800
g4863(4460.0,49.0) => Min Interval: 1200, Max Interval: 19800
g4863(4661.0,36.0) => Min Interval: 1200, Max Interval: 19800
g4863(5063.0,87.0) => Min Interval: 1200, Max Interval: 19800
g4863(5133.0,11.0) => Min Interval: 1200, Max Interval: 19800
g4863(5134.0,76.0) => Min Interval: 200, Max Interval: 19800
g4863(5583.0,72.0) => Min Interval: 200, Max Interval: 19800
g4863(5889.0,80.0) => Min Interval: 200, Max Interval: 19800
g4863(6035.0,10.0) => Min Interval: 1200, Max Interval: 19800
g4863(6184.0,55.0) => Min Interval: 200, Max Interval: 19800
g4863(6187.0,24.0) => Min Interval: 200, Max Interval: 19800
g4863(6194.0,73.0) => Min Interval: 200, Max Interval: 19800
g4863(6616.0,51.0) => Min Interval: 1200, Max Interval: 19800
g4863(6679.0,9.0) => Min Interval: 1200, Max Interval: 19800
g4863(7057.0,28.0) => Min Interval: 1200, Max Interval: 19800
g4863(7304.0,61.0) => Min Interval: 1200, Max Interval: 19800
g4863(7351.0,84.0) => Min Interval: 200, Max Interval: 19800
g4863(7352.0,0.0) => Min Interval: 1200, Max Interval: 19800
g4863(7542.0,69.0) => Min Interval: 200, Max Interval: 19800
g4863(7838.0,94.0) => Min Interval: 1200, Max Interval: 19800
g4863(8347.0,53.0) => Min Interval: 200, Max Interval: 19800
g4863(8769.0,22.0) => Min Interval: 1200, Max Interval: 19800
g4863(8841.0,67.0) => Min Interval: 1200, Max Interval: 19800
g4863(9357.0,12.0) => Min Interval: 200, Max Interval: 19800
g4863(9591.0,0.0) => Min Interval: 200, Max Interval: 19800
g4863(9594.0,53.0) => Min Interval: 200, Max Interval: 19800
g4863(9647.0,16.0) => Min Interval: 200, Max Interval: 19800
g4863(9650.0,38.0) => Min Interval: 1200, Max Interval: 19800
g4863(9689.0,89.0) => Min Interval: 1200, Max Interval: 19800
g4863(9836.0,29.0) => Min Interval: 1200, Max Interval: 19800
g4863(9890.0,62.0) => Min Interval: 1200, Max Interval: 19800
