Stored fact information:
g4869(36.0,94.0) => Min Interval: 11200, Max Interval: 19800
g4869(302.0,68.0) => Min Interval: 11200, Max Interval: 19800
g4869(337.0,83.0) => Min Interval: 11200, Max Interval: 19800
g4869(590.0,1.0) => Min Interval: 10200, Max Interval: 19800
g4869(1013.0,11.0) => Min Interval: 11200, Max Interval: 19800
g4869(1277.0,11.0) => Min Interval: 11200, Max Interval: 19800
g4869(1471.0,63.0) => Min Interval: 10000, Max Interval: 19800
g4869(1822.0,53.0) => Min Interval: 11200, Max Interval: 19800
g4869(1888.0,92.0) => Min Interval: 10200, Max Interval: 19800
g4869(1901.0,44.0) => Min Interval: 11000, Max Interval: 19800
g4869(2345.0,42.0) => Min Interval: 11000, Max Interval: 19800
g4869(2495.0,44.0) => Min Interval: 11200, Max Interval: 19800
g4869(2522.0,96.0) => Min Interval: 11200, Max Interval: 19800
g4869(2801.0,80.0) => Min Interval: 11200, Max Interval: 19800
g4869(2809.0,82.0) => Min Interval: 11200, Max Interval: 19800
g4869(2896.0,34.0) => Min Interval: 11200, Max Interval: 19800
g4869(3054.0,50.0) => Min Interval: 10200, Max Interval: 19800
g4869(3265.0,32.0) => Min Interval: 11200, Max Interval: 19800
g4869(3346.0,12.0) => Min Interval: 11200, Max Interval: 19800
g4869(3356.0,73.0) => Min Interval: 11200, Max Interval: 19800
g4869(3358.0,91.0) => Min Interval: 11200, Max Interval: 19800
g4869(3470.0,83.0) => Min Interval: 11200, Max Interval: 19800
g4869(3518.0,16.0) => Min Interval: 11200, Max Interval: 19800
g4869(3521.0,76.0) => Min Interval: 11200, Max Interval: 19800
g4869(3535.0,74.0) => Min Interval: 10000, Max Interval: 19800
g4869(3657.0,36.0) => Min Interval: 11200, Max Interval: 19800
g4869(3681.0,72.0) => Min Interval: 11200, Max Interval: 19800
g4869(3708.0,24.0) => Min Interval: 11200, Max Interval: 19800
g4869(3729.0,67.0) => Min Interval: 11200, Max Interval: 19800
g4869(3956.0,72.0) => Min Interval: 11200, Max Interval: 19800
g4869(4199.0,10.0) => Min Interval: 11200, Max Interval: 19800
g4869(4451.0,77.0) => Min Interval: 11200, Max Interval: 19800
g4869(4460.0,49.0) => Min Interval: 11200, Max Interval: 19800
g4869(4649.0,50.0) => Min Interval: 11200, Max Interval: 19800
g4869(4661.0,36.0) => Min Interval: 11200, Max Interval: 19800
g4869(4700.0,61.0) => Min Interval: 11200, Max Interval: 19800
g4869(4723.0,24.0) => Min Interval: 11200, Max Interval: 19800
g4869(4957.0,32.0) => Min Interval: 10200, Max Interval: 19800
g4869(5063.0,87.0) => Min Interval: 11200, Max Interval: 19800
g4869(5134.0,76.0) => Min Interval: 10200, Max Interval: 19800
g4869(5326.0,77.0) => Min Interval: 11200, Max Interval: 19800
g4869(5523.0,51.0) => Min Interval: 11200, Max Interval: 19800
g4869(5754.0,72.0) => Min Interval: 11200, Max Interval: 19800
g4869(5889.0,80.0) => Min Interval: 10200, Max Interval: 19800
g4869(6184.0,55.0) => Min Interval: 10200, Max Interval: 19800
g4869(6187.0,24.0) => Min Interval: 10000, Max Interval: 19800
g4869(6211.0,67.0) => Min Interval: 11200, Max Interval: 19800
g4869(6536.0,17.0) => Min Interval: 11200, Max Interval: 19800
g4869(6616.0,51.0) => Min Interval: 11200, Max Interval: 19800
g4869(6679.0,9.0) => Min Interval: 11200, Max Interval: 19800
g4869(6988.0,10.0) => Min Interval: 11200, Max Interval: 19800
g4869(7057.0,28.0) => Min Interval: 11200, Max Interval: 19800
g4869(7234.0,38.0) => Min Interval: 11200, Max Interval: 19800
g4869(7352.0,0.0) => Min Interval: 11200, Max Interval: 19800
g4869(7501.0,38.0) => Min Interval: 11200, Max Interval: 19800
g4869(7542.0,69.0) => Min Interval: 10200, Max Interval: 19800
g4869(7589.0,38.0) => Min Interval: 11200, Max Interval: 19800
g4869(7699.0,34.0) => Min Interval: 11200, Max Interval: 19800
g4869(7764.0,53.0) => Min Interval: 11200, Max Interval: 19800
g4869(7977.0,73.0) => Min Interval: 11200, Max Interval: 19800
g4869(8347.0,53.0) => Min Interval: 10200, Max Interval: 19800
g4869(8769.0,22.0) => Min Interval: 11200, Max Interval: 19800
g4869(8841.0,67.0) => Min Interval: 11200, Max Interval: 19800
g4869(9209.0,0.0) => Min Interval: 11200, Max Interval: 19800
g4869(9210.0,80.0) => Min Interval: 11200, Max Interval: 19800
g4869(9357.0,12.0) => Min Interval: 10200, Max Interval: 19800
g4869(9591.0,0.0) => Min Interval: 10200, Max Interval: 19800
g4869(9594.0,53.0) => Min Interval: 10200, Max Interval: 19800
g4869(9647.0,16.0) => Min Interval: 10200, Max Interval: 19800
g4869(9650.0,38.0) => Min Interval: 11200, Max Interval: 19800
g4869(9689.0,89.0) => Min Interval: 11200, Max Interval: 19800
