Stored fact information:
g4862(3.0,68.0) => Min Interval: 1200, Max Interval: 19800
g4862(4.0,12.0) => Min Interval: 1200, Max Interval: 19800
g4862(5.0,32.0) => Min Interval: 19200, Max Interval: 19800
g4862(5.0,38.0) => Min Interval: 10200, Max Interval: 19800
g4862(5.0,67.0) => Min Interval: 1200, Max Interval: 19800
g4862(5.0,77.0) => Min Interval: 1200, Max Interval: 19800
g4862(5.0,93.0) => Min Interval: 200, Max Interval: 19800
g4862(7.0,1.0) => Min Interval: 1200, Max Interval: 19800
g4862(7.0,4.0) => Min Interval: 1200, Max Interval: 19800
g4862(7.0,18.0) => Min Interval: 1200, Max Interval: 19800
g4862(7.0,21.0) => Min Interval: 10200, Max Interval: 19800
g4862(7.0,30.0) => Min Interval: 19200, Max Interval: 19800
g4862(7.0,36.0) => Min Interval: 1200, Max Interval: 19800
g4862(7.0,37.0) => Min Interval: 19200, Max Interval: 19800
g4862(7.0,52.0) => Min Interval: 10200, Max Interval: 19800
g4862(7.0,53.0) => Min Interval: 10200, Max Interval: 19800
g4862(7.0,62.0) => Min Interval: 19200, Max Interval: 19800
g4862(7.0,65.0) => Min Interval: 10200, Max Interval: 19800
g4862(7.0,75.0) => Min Interval: 1200, Max Interval: 19800
g4862(7.0,95.0) => Min Interval: 19200, Max Interval: 19800
g4862(7.0,99.0) => Min Interval: 1200, Max Interval: 19800
g4862(8.0,26.0) => Min Interval: 1200, Max Interval: 19800
g4862(8.0,49.0) => Min Interval: 200, Max Interval: 19800
g4862(15.0,22.0) => Min Interval: 200, Max Interval: 19800
g4862(17.0,53.0) => Min Interval: 1200, Max Interval: 19800
g4862(17.0,66.0) => Min Interval: 1200, Max Interval: 19800
g4862(20.0,62.0) => Min Interval: 0, Max Interval: 19800
g4862(20.0,81.0) => Min Interval: 1000, Max Interval: 19800
g4862(33.0,26.0) => Min Interval: 1000, Max Interval: 19800
g4862(34.0,99.0) => Min Interval: 1200, Max Interval: 19800
g4862(37.0,44.0) => Min Interval: 1000, Max Interval: 19800
g4862(37.0,92.0) => Min Interval: 1200, Max Interval: 19800
g4862(38.0,31.0) => Min Interval: 1200, Max Interval: 19800
g4862(40.0,11.0) => Min Interval: 0, Max Interval: 19800
g4862(40.0,19.0) => Min Interval: 10200, Max Interval: 19800
g4862(40.0,24.0) => Min Interval: 1200, Max Interval: 19800
g4862(40.0,66.0) => Min Interval: 19200, Max Interval: 19800
g4862(41.0,98.0) => Min Interval: 1200, Max Interval: 19800
g4862(44.0,24.0) => Min Interval: 1200, Max Interval: 19800
g4862(48.0,24.0) => Min Interval: 1200, Max Interval: 19800
g4862(48.0,78.0) => Min Interval: 1200, Max Interval: 19800
g4862(48.0,98.0) => Min Interval: 10200, Max Interval: 19800
g4862(49.0,8.0) => Min Interval: 1200, Max Interval: 19800
g4862(49.0,27.0) => Min Interval: 1200, Max Interval: 19800
g4862(56.0,7.0) => Min Interval: 1200, Max Interval: 19800
g4862(56.0,28.0) => Min Interval: 10200, Max Interval: 19800
g4862(56.0,59.0) => Min Interval: 1200, Max Interval: 19800
g4862(56.0,61.0) => Min Interval: 1200, Max Interval: 19800
g4862(57.0,17.0) => Min Interval: 1200, Max Interval: 19800
g4862(57.0,25.0) => Min Interval: 1200, Max Interval: 19800
g4862(57.0,54.0) => Min Interval: 1200, Max Interval: 19800
g4862(57.0,91.0) => Min Interval: 10200, Max Interval: 19800
g4862(60.0,54.0) => Min Interval: 200, Max Interval: 19800
g4862(61.0,12.0) => Min Interval: 1200, Max Interval: 19800
g4862(61.0,24.0) => Min Interval: 10200, Max Interval: 19800
g4862(61.0,27.0) => Min Interval: 1200, Max Interval: 19800
g4862(61.0,38.0) => Min Interval: 19200, Max Interval: 19800
g4862(61.0,74.0) => Min Interval: 10200, Max Interval: 19800
g4862(61.0,83.0) => Min Interval: 1200, Max Interval: 19800
g4862(66.0,26.0) => Min Interval: 0, Max Interval: 19800
g4862(68.0,85.0) => Min Interval: 200, Max Interval: 19800
g4862(77.0,25.0) => Min Interval: 1200, Max Interval: 19800
g4862(77.0,51.0) => Min Interval: 10200, Max Interval: 19800
g4862(77.0,94.0) => Min Interval: 1200, Max Interval: 19800
g4862(84.0,57.0) => Min Interval: 1200, Max Interval: 19800
g4862(85.0,68.0) => Min Interval: 1200, Max Interval: 19800
g4862(88.0,66.0) => Min Interval: 1200, Max Interval: 19800
g4862(88.0,92.0) => Min Interval: 200, Max Interval: 19800
g4862(92.0,42.0) => Min Interval: 1200, Max Interval: 19800
g4862(92.0,88.0) => Min Interval: 1200, Max Interval: 19800
g4862(95.0,97.0) => Min Interval: 1000, Max Interval: 19800
g4862(97.0,1.0) => Min Interval: 10200, Max Interval: 19800
g4862(97.0,41.0) => Min Interval: 1200, Max Interval: 19800
g4862(97.0,61.0) => Min Interval: 0, Max Interval: 19800
g4862(97.0,95.0) => Min Interval: 0, Max Interval: 19800
