i0,i1,i2,i3
7.0,56.0,67.0,182196.0
68.0,85.0,56.0,182204.0
61.0,83.0,1044.0,201159.0
40.0,11.0,6.0,182121.0
3.0,68.0,1044.0,192186.0
97.0,61.0,3.0,182152.0
31.0,38.0,70.0,182190.0
5.0,67.0,1030.0,192133.0
48.0,43.0,1058.0,201174.0
77.0,94.0,1039.0,201161.0
32.0,55.0,1047.0,192178.0
3.0,28.0,1034.0,201171.0
7.0,99.0,1057.0,201182.0
92.0,88.0,1055.0,192192.0
56.0,7.0,1068.0,201182.0
57.0,25.0,1018.0,201139.0
37.0,44.0,1012.0,192161.0
41.0,98.0,1046.0,201168.0
40.0,97.0,1010.0,201138.0
61.0,97.0,1024.0,201156.0
91.0,15.0,1048.0,201185.0
95.0,97.0,1010.0,201137.0
85.0,68.0,1058.0,201187.0
82.0,7.0,69.0,191165.0
20.0,81.0,1020.0,201137.0
11.0,40.0,1020.0,192140.0
3.0,68.0,1073.0,201174.0
60.0,54.0,35.0,182155.0
66.0,26.0,0.0,182157.0
97.0,95.0,5.0,182169.0
9.0,59.0,7.0,191134.0
95.0,97.0,1014.0,192180.0
49.0,8.0,1060.0,201147.0
41.0,98.0,1039.0,192176.0
15.0,22.0,42.0,191156.0
88.0,66.0,1061.0,201143.0
48.0,78.0,1062.0,201171.0
88.0,92.0,41.0,182210.0
99.0,7.0,43.0,182173.0
57.0,25.0,1005.0,192149.0
20.0,62.0,13.0,182179.0
44.0,24.0,1027.0,201169.0
8.0,23.0,62.0,182206.0
84.0,57.0,1051.0,201174.0
8.0,49.0,43.0,191173.0
34.0,99.0,1068.0,192207.0
38.0,31.0,1069.0,201187.0
33.0,26.0,1013.0,192155.0
26.0,66.0,1012.0,192157.0
5.0,93.0,32.0,182171.0
54.0,19.0,55.0,182178.0
4.0,12.0,1059.0,201156.0
7.0,42.0,18.0,191097.0
44.0,37.0,3.0,182161.0
8.0,26.0,1010.0,201114.0
37.0,44.0,1011.0,201171.0
17.0,66.0,1058.0,201202.0
7.0,82.0,1090.0,201205.0
