i0,i1,i2
44.0,20056.0,38218.0
19.0,20056.0,38220.0
55.0,29052.0,47209.0
49.0,10027.0,191192.0
7.0,11000.0,38156.0
42.0,11050.0,38228.0
30.0,11041.0,38169.0
15.0,47015.0,65164.0
4.0,11022.0,38159.0
0.0,29036.0,56142.0
25.0,10985.0,201184.0
86.0,20045.0,38208.0
62.0,29054.0,56181.0
36.0,11048.0,38200.0
60.0,11015.0,38163.0
11.0,9984.0,182150.0
17.0,38015.0,56140.0
19.0,11092.0,38199.0
47.0,10015.0,182196.0
20.0,20016.0,47150.0
49.0,11042.0,38174.0
38.0,29014.0,56131.0
93.0,11034.0,38178.0
11.0,29035.0,29137.0
21.0,20033.0,47140.0
38.0,29070.0,56159.0
46.0,11023.0,38176.0
36.0,20011.0,47115.0
81.0,20032.0,47127.0
28.0,10990.0,192220.0
99.0,11032.0,192242.0
4.0,20061.0,47185.0
59.0,20036.0,38184.0
24.0,11027.0,38158.0
63.0,20057.0,47166.0
11.0,11008.0,38136.0
61.0,10015.0,191168.0
68.0,11023.0,201234.0
98.0,65001.0,83161.0
66.0,29016.0,56167.0
95.0,29049.0,47175.0
59.0,11045.0,38173.0
78.0,11015.0,201202.0
41.0,10992.0,38135.0
68.0,11044.0,201199.0
11.0,38011.0,65129.0
74.0,11051.0,38146.0
72.0,11041.0,38152.0
74.0,20001.0,47135.0
11.0,9963.0,191118.0
67.0,11002.0,192167.0
42.0,11010.0,38171.0
97.0,11039.0,38208.0
89.0,11080.0,38202.0
44.0,11076.0,38211.0
31.0,46998.0,74138.0
79.0,20038.0,47143.0
97.0,10971.0,201165.0
1.0,11019.0,38175.0
90.0,29015.0,47159.0
95.0,29041.0,56154.0
26.0,10987.0,192182.0
28.0,20039.0,47163.0
52.0,29025.0,47138.0
62.0,29036.0,56130.0
12.0,20008.0,38178.0
37.0,29033.0,56178.0
54.0,47043.0,65166.0
75.0,11051.0,38203.0
95.0,20039.0,47152.0
86.0,56022.0,74148.0
85.0,74015.0,92161.0
24.0,20024.0,47137.0
19.0,20034.0,47177.0
59.0,47003.0,65169.0
72.0,38061.0,65158.0
97.0,20057.0,38204.0
98.0,19987.0,47122.0
90.0,29053.0,56171.0
37.0,38019.0,56175.0
61.0,9962.0,182166.0
17.0,20017.0,38177.0
38.0,38000.0,56137.0
33.0,20004.0,38178.0
