i0,i1,i2,i3
49.0,96.0,24.0,191112.0
43.0,82.0,1068.0,201177.0
82.0,43.0,45.0,182195.0
5.0,67.0,1046.0,192130.0
90.0,47.0,61.0,182162.0
8.0,23.0,76.0,182200.0
7.0,99.0,1060.0,201170.0
88.0,66.0,1078.0,201143.0
48.0,43.0,1076.0,201171.0
3.0,28.0,1048.0,201168.0
98.0,19.0,1067.0,201172.0
95.0,97.0,1026.0,192168.0
19.0,54.0,1054.0,201166.0
3.0,68.0,1060.0,192168.0
23.0,8.0,1071.0,201174.0
57.0,0.0,1063.0,201172.0
68.0,3.0,74.0,191143.0
25.0,57.0,21.0,182143.0
84.0,57.0,1051.0,201160.0
61.0,97.0,999.0,192138.0
85.0,88.0,1045.0,192148.0
66.0,88.0,78.0,191150.0
1.0,47.0,77.0,191148.0
20.0,62.0,30.0,182177.0
41.0,98.0,1053.0,201157.0
9.0,59.0,16.0,191113.0
42.0,7.0,994.0,192108.0
40.0,11.0,14.0,191094.0
55.0,32.0,54.0,182166.0
35.0,3.0,1034.0,201114.0
26.0,66.0,1035.0,201109.0
7.0,56.0,101.0,191176.0
59.0,9.0,1025.0,201095.0
66.0,17.0,69.0,182173.0
11.0,40.0,1030.0,201110.0
96.0,49.0,1033.0,201115.0
49.0,8.0,1078.0,201142.0
92.0,88.0,1062.0,201171.0
85.0,68.0,1066.0,192167.0
82.0,7.0,73.0,191161.0
15.0,22.0,54.0,191140.0
61.0,97.0,1021.0,201140.0
49.0,91.0,1005.0,192143.0
48.0,56.0,76.0,182215.0
56.0,48.0,1096.0,201196.0
99.0,34.0,56.0,182183.0
0.0,28.0,1064.0,201177.0
77.0,94.0,1046.0,201158.0
60.0,54.0,42.0,182149.0
62.0,20.0,1050.0,192170.0
26.0,66.0,1009.0,192136.0
34.0,85.0,1090.0,201200.0
56.0,59.0,1071.0,201204.0
32.0,55.0,1065.0,201158.0
54.0,60.0,1002.0,192157.0
56.0,59.0,1088.0,192207.0
7.0,56.0,71.0,182187.0
52.0,17.0,1046.0,201143.0
32.0,17.0,1077.0,201165.0
91.0,15.0,1059.0,201169.0
44.0,24.0,1039.0,201153.0
31.0,38.0,81.0,182182.0
5.0,93.0,50.0,182157.0
7.0,99.0,1058.0,192173.0
68.0,85.0,61.0,182194.0
11.0,40.0,1037.0,192112.0
41.0,98.0,1047.0,192155.0
20.0,81.0,1031.0,201128.0
66.0,88.0,51.0,182147.0
19.0,54.0,1058.0,192194.0
43.0,82.0,1071.0,192166.0
88.0,66.0,1053.0,192147.0
85.0,88.0,1054.0,201141.0
57.0,25.0,1009.0,192140.0
91.0,49.0,21.0,182168.0
94.0,34.0,1062.0,201168.0
0.0,28.0,1026.0,192182.0
17.0,53.0,1046.0,201180.0
34.0,99.0,1073.0,192195.0
87.0,49.0,1068.0,201152.0
37.0,44.0,1016.0,201144.0
98.0,41.0,41.0,182171.0
87.0,58.0,1034.0,201160.0
33.0,26.0,1033.0,192144.0
38.0,31.0,1082.0,201196.0
47.0,1.0,1083.0,201157.0
66.0,26.0,49.0,191124.0
24.0,95.0,1041.0,201145.0
47.0,1.0,1062.0,192151.0
