i0,i1,i2
0.0,46981.0,64103.0
6.0,28985.0,47112.0
6.0,82997.0,110093.0
6.0,37998.0,56117.0
6.0,28999.0,29115.0
7.0,46970.0,65115.0
9.0,29026.0,47162.0
6.0,28996.0,56110.0
3.0,10968.0,192167.0
3.0,19992.0,38126.0
5.0,10995.0,201154.0
2.0,11036.0,38198.0
6.0,19989.0,47127.0
5.0,38044.0,65154.0
0.0,73990.0,101098.0
7.0,37984.0,65113.0
7.0,19981.0,37136.0
7.0,11017.0,38153.0
0.0,73977.0,74145.0
9.0,9952.0,182138.0
4.0,11039.0,38191.0
9.0,20047.0,47145.0
2.0,29000.0,56103.0
0.0,29028.0,56141.0
1.0,64971.0,83126.0
6.0,19986.0,20108.0
6.0,91982.0,110115.0
3.0,91999.0,119113.0
0.0,64976.0,65105.0
4.0,20014.0,38184.0
3.0,10978.0,192145.0
0.0,55996.0,73109.0
3.0,11003.0,38131.0
0.0,38010.0,56169.0
0.0,82971.0,101135.0
1.0,55991.0,83107.0
7.0,10989.0,28122.0
