i0,i1,i2,i3
9.0,3.0,10986.0,192136.0
4.0,9.0,29021.0,47149.0
6.0,6.0,83003.0,110092.0
6.0,0.0,56009.0,73097.0
7.0,5.0,10995.0,201133.0
6.0,0.0,73992.0,101100.0
4.0,5.0,38048.0,65150.0
4.0,9.0,20043.0,47136.0
7.0,6.0,20008.0,47114.0
7.0,6.0,28991.0,47106.0
7.0,2.0,29004.0,56088.0
5.0,2.0,11034.0,38188.0
7.0,3.0,19997.0,38127.0
6.0,1.0,64989.0,83114.0
3.0,9.0,9969.0,182119.0
6.0,6.0,29004.0,56091.0
6.0,0.0,64987.0,65101.0
4.0,4.0,11050.0,38181.0
6.0,7.0,19984.0,37114.0
6.0,0.0,73994.0,74131.0
3.0,3.0,10976.0,192155.0
9.0,7.0,11033.0,38144.0
4.0,0.0,29043.0,56136.0
6.0,6.0,20004.0,20097.0
6.0,7.0,46995.0,65118.0
6.0,3.0,92005.0,119096.0
4.0,4.0,20023.0,38169.0
6.0,7.0,11003.0,28100.0
7.0,3.0,11008.0,38114.0
4.0,0.0,38028.0,56146.0
6.0,0.0,46994.0,64081.0
6.0,6.0,38000.0,56087.0
6.0,0.0,82988.0,101124.0
6.0,7.0,38001.0,65101.0
6.0,1.0,55990.0,83089.0
6.0,6.0,29009.0,29092.0
6.0,6.0,91986.0,110108.0
