i0,i1,i2
6.0,10983.0,28103.0
6.0,37983.0,56109.0
6.0,73993.0,101096.0
7.0,29001.0,56105.0
6.0,29002.0,29115.0
7.0,28993.0,47103.0
9.0,11007.0,38156.0
3.0,9967.0,182136.0
7.0,19996.0,47126.0
6.0,28994.0,56110.0
6.0,92000.0,119109.0
4.0,20052.0,47145.0
6.0,46989.0,64103.0
3.0,10954.0,192173.0
6.0,55984.0,83094.0
6.0,64978.0,83128.0
4.0,38011.0,56164.0
7.0,10984.0,201148.0
6.0,19984.0,37141.0
4.0,20010.0,38189.0
6.0,37989.0,65110.0
6.0,55991.0,73100.0
4.0,29026.0,56141.0
7.0,19996.0,38127.0
5.0,11043.0,38191.0
6.0,91983.0,110117.0
6.0,82970.0,101140.0
7.0,10990.0,38132.0
6.0,46975.0,65130.0
4.0,29024.0,47158.0
6.0,83005.0,110098.0
6.0,73991.0,74146.0
6.0,19990.0,20104.0
9.0,10976.0,192149.0
4.0,38043.0,65142.0
6.0,64989.0,65104.0
4.0,11036.0,38186.0
