i0,i1,i2
5287.0,38029.0,65156.0
4752.0,10043.0,182232.0
2894.0,10990.0,192194.0
368.0,20074.0,47186.0
9347.0,38048.0,56200.0
642.0,11052.0,38192.0
6675.0,11044.0,38162.0
1880.0,38048.0,56205.0
3012.0,11082.0,38236.0
8039.0,10979.0,192189.0
5323.0,65022.0,83165.0
9676.0,29063.0,56195.0
826.0,47036.0,74155.0
6356.0,47039.0,74153.0
5198.0,11044.0,201201.0
8111.0,11015.0,201203.0
4112.0,11010.0,192188.0
9940.0,29019.0,47163.0
221.0,11066.0,38228.0
230.0,11074.0,38227.0
3006.0,11038.0,192275.0
7505.0,11095.0,38250.0
3137.0,10008.0,191174.0
8001.0,10036.0,182273.0
701.0,29069.0,56198.0
9261.0,9959.0,182209.0
2439.0,29030.0,47186.0
2916.0,11017.0,201220.0
8127.0,11028.0,201235.0
2786.0,11040.0,38164.0
8075.0,47016.0,65161.0
676.0,11033.0,192228.0
9737.0,74047.0,92161.0
8522.0,20032.0,38239.0
5560.0,11052.0,38211.0
5928.0,11052.0,38206.0
504.0,20028.0,47157.0
4235.0,29054.0,56184.0
1413.0,11079.0,38195.0
6119.0,11039.0,201240.0
9805.0,47080.0,74200.0
6073.0,11075.0,38212.0
4219.0,29064.0,47217.0
5794.0,20040.0,47159.0
8864.0,20039.0,47158.0
5670.0,20083.0,47185.0
7566.0,11033.0,38170.0
7624.0,11006.0,38177.0
7879.0,11084.0,38212.0
7438.0,11047.0,38197.0
7942.0,38031.0,65181.0
947.0,38084.0,65177.0
8154.0,10038.0,191219.0
340.0,20059.0,38208.0
7090.0,11008.0,38165.0
6835.0,29011.0,56145.0
351.0,11027.0,201203.0
6366.0,11042.0,192251.0
2436.0,11073.0,38199.0
7996.0,29023.0,47150.0
8152.0,20051.0,38207.0
2611.0,11014.0,192180.0
9491.0,47081.0,74215.0
3986.0,20052.0,38205.0
7575.0,29041.0,47158.0
5079.0,10059.0,182250.0
5175.0,38033.0,65147.0
1727.0,11088.0,38234.0
7318.0,11041.0,201251.0
2155.0,10068.0,191209.0
6143.0,128071.0,146188.0
3740.0,20034.0,38206.0
7364.0,20031.0,38196.0
6835.0,47012.0,65169.0
6837.0,20035.0,38163.0
403.0,11033.0,201203.0
3546.0,20008.0,47143.0
6143.0,38081.0,56204.0
484.0,10007.0,182212.0
5858.0,11009.0,192164.0
291.0,11049.0,201206.0
3600.0,47060.0,74169.0
5422.0,11020.0,38202.0
2541.0,10045.0,191205.0
7866.0,20050.0,38219.0
6523.0,38058.0,56198.0
3582.0,11071.0,201208.0
3322.0,29018.0,56137.0
2249.0,11033.0,38170.0
9305.0,11063.0,201243.0
2182.0,11053.0,192243.0
9500.0,47042.0,74173.0
6455.0,101023.0,119159.0
5703.0,11056.0,38187.0
142.0,74034.0,92195.0
4652.0,20033.0,47172.0
1018.0,38083.0,65201.0
2000.0,10071.0,191235.0
5619.0,20067.0,38198.0
7781.0,11041.0,38193.0
5231.0,29019.0,47191.0
5010.0,20044.0,38212.0
2436.0,20031.0,38164.0
6222.0,11057.0,38167.0
2450.0,20058.0,38200.0
5642.0,47042.0,74190.0
1175.0,11039.0,192204.0
5619.0,29080.0,56201.0
1991.0,11076.0,38236.0
7928.0,101041.0,128162.0
3743.0,10014.0,182207.0
1712.0,11080.0,38215.0
9682.0,20079.0,38212.0
3697.0,11057.0,201175.0
3974.0,11025.0,192211.0
6539.0,11057.0,201229.0
8826.0,11008.0,192256.0
9444.0,11059.0,38187.0
6465.0,20035.0,38188.0
3604.0,29069.0,56199.0
1129.0,11029.0,201233.0
4293.0,10021.0,191195.0
4233.0,11039.0,201222.0
3975.0,11034.0,38189.0
586.0,10988.0,192195.0
593.0,65068.0,92163.0
8676.0,56032.0,74176.0
142.0,29037.0,47160.0
4206.0,11069.0,38191.0
9900.0,11093.0,38220.0
1167.0,11059.0,201222.0
4874.0,29036.0,56142.0
421.0,38076.0,65214.0
5892.0,11028.0,201176.0
9363.0,29035.0,56166.0
242.0,11053.0,38169.0
3740.0,65083.0,83220.0
1551.0,11075.0,38203.0
5898.0,47077.0,65206.0
5240.0,11053.0,38188.0
1453.0,10988.0,192207.0
8315.0,11078.0,38241.0
1886.0,11066.0,201239.0
8501.0,20076.0,47192.0
7928.0,119018.0,137189.0
6069.0,20018.0,38175.0
2170.0,11055.0,192253.0
5281.0,11079.0,38234.0
1529.0,11047.0,201213.0
3720.0,11078.0,38181.0
4948.0,10004.0,191172.0
2413.0,29066.0,47202.0
7004.0,29068.0,56185.0
4570.0,20055.0,47195.0
5032.0,11083.0,38232.0
6455.0,83020.0,101143.0
8318.0,47042.0,65184.0
1463.0,83016.0,101190.0
9575.0,38091.0,65215.0
4694.0,11068.0,38202.0
3713.0,20014.0,38183.0
4957.0,11011.0,192170.0
513.0,11037.0,38187.0
372.0,11079.0,201212.0
1691.0,29053.0,56180.0
7547.0,47020.0,65158.0
7329.0,11039.0,38201.0
2238.0,20062.0,47177.0
1519.0,56040.0,74206.0
7779.0,20043.0,38188.0
4064.0,29057.0,47196.0
6182.0,47068.0,74180.0
7481.0,11059.0,38198.0
2045.0,11063.0,192239.0
6707.0,11073.0,38222.0
2299.0,20058.0,47187.0
8053.0,11076.0,38227.0
226.0,38022.0,65166.0
6065.0,92088.0,110229.0
9484.0,11035.0,192231.0
4293.0,11031.0,192229.0
1083.0,47014.0,65185.0
5675.0,29057.0,56193.0
8528.0,11055.0,192221.0
7526.0,20057.0,47193.0
3576.0,11016.0,192216.0
4755.0,11058.0,38209.0
6453.0,38065.0,65175.0
2613.0,47054.0,74171.0
6228.0,11069.0,192248.0
2105.0,10036.0,191192.0
8335.0,11064.0,38176.0
218.0,29056.0,47204.0
3182.0,11012.0,201204.0
4870.0,11045.0,38177.0
8860.0,38009.0,65154.0
5916.0,20042.0,47158.0
9948.0,11076.0,38210.0
9028.0,38018.0,56165.0
2508.0,10054.0,182234.0
