i0,i1,i2,i3
1167.0,9790.0,1092.0,201204.0
9690.0,7186.0,64.0,182178.0
6168.0,4864.0,1085.0,201187.0
6035.0,1255.0,1069.0,192194.0
1883.0,7877.0,1055.0,201167.0
1468.0,9290.0,1067.0,201198.0
5705.0,944.0,1073.0,201192.0
6226.0,3022.0,1053.0,201169.0
2664.0,1291.0,1073.0,201213.0
1021.0,6396.0,1066.0,201188.0
1590.0,5554.0,1083.0,192230.0
4139.0,2449.0,1074.0,201195.0
2041.0,6113.0,1057.0,201137.0
4798.0,3573.0,26.0,182157.0
3434.0,5468.0,106.0,182233.0
134.0,2846.0,1044.0,192194.0
6432.0,7105.0,1033.0,201143.0
1011.0,336.0,1055.0,192156.0
5509.0,1498.0,1070.0,201200.0
9753.0,2411.0,1076.0,192202.0
6212.0,4867.0,31.0,182171.0
3760.0,7213.0,1052.0,201177.0
1583.0,566.0,1042.0,192163.0
2528.0,328.0,1072.0,201173.0
8278.0,8217.0,39.0,191152.0
8400.0,6154.0,1058.0,192179.0
8753.0,9680.0,1062.0,201194.0
3921.0,4434.0,1044.0,201166.0
4109.0,9054.0,1054.0,201162.0
3564.0,9224.0,65.0,182215.0
1553.0,6163.0,1044.0,192157.0
6426.0,7872.0,33.0,182168.0
2228.0,3301.0,58.0,182192.0
3929.0,8615.0,1071.0,201187.0
7946.0,9305.0,109.0,191205.0
8920.0,7559.0,1038.0,201178.0
657.0,6211.0,1088.0,192232.0
459.0,2429.0,1060.0,201174.0
4685.0,5250.0,44.0,182193.0
7249.0,4130.0,1030.0,192179.0
3528.0,8676.0,1081.0,201190.0
8183.0,6311.0,1088.0,201211.0
2681.0,7897.0,1052.0,201143.0
9138.0,4722.0,1061.0,192228.0
4097.0,755.0,1071.0,201195.0
1512.0,7556.0,1063.0,201206.0
3602.0,3219.0,1064.0,192191.0
2218.0,2228.0,73.0,182207.0
7907.0,862.0,1104.0,201202.0
740.0,4593.0,1029.0,192181.0
1427.0,8329.0,1075.0,201183.0
4688.0,4995.0,1079.0,192227.0
2089.0,8002.0,1073.0,201200.0
1888.0,9795.0,32.0,182191.0
9535.0,9039.0,1030.0,192208.0
4196.0,2959.0,1077.0,192197.0
8958.0,1089.0,102.0,191199.0
2684.0,3622.0,48.0,182178.0
2264.0,3545.0,63.0,191162.0
5250.0,2847.0,1092.0,201192.0
8757.0,7449.0,1064.0,192208.0
1361.0,5683.0,1046.0,201191.0
4146.0,3629.0,1080.0,192208.0
3192.0,4118.0,52.0,191145.0
6813.0,9501.0,1104.0,201211.0
68.0,302.0,1080.0,201196.0
669.0,2429.0,1051.0,201155.0
8322.0,5104.0,81.0,182220.0
5934.0,3275.0,1090.0,201229.0
2064.0,2009.0,96.0,182230.0
471.0,1025.0,1089.0,192204.0
7848.0,2648.0,51.0,191145.0
7925.0,1606.0,28.0,182165.0
